0.00,0.43,0.28,0.46,0.29,0.30,0.41,0.50,0.50,0.59
0.43,0.00,0.71,0.03,0.72,0.12,0.84,0.08,0.08,0.16
0.28,0.71,0.00,0.74,0.00,0.59,0.12,0.79,0.79,0.88
0.46,0.03,0.74,0.00,0.75,0.16,0.87,0.05,0.04,0.13
0.29,0.72,0.00,0.75,0.00,0.59,0.12,0.79,0.79,0.88
0.30,0.12,0.59,0.16,0.59,0.00,0.71,0.20,0.20,0.29
0.41,0.84,0.12,0.87,0.12,0.71,0.00,0.91,0.91,1.00
0.50,0.08,0.79,0.05,0.79,0.20,0.91,0.00,0.00,0.09
0.50,0.08,0.79,0.04,0.79,0.20,0.91,0.00,0.00,0.09
0.59,0.16,0.88,0.13,0.88,0.29,1.00,0.09,0.09,0.00
