0.00,0.59,0.13,0.49,0.12,0.22,0.20,0.27,0.56,0.88,0.51,0.33,0.07,0.15,0.05,0.30,0.10,0.12,0.26,0.01
0.59,0.00,0.47,0.11,0.71,0.37,0.40,0.32,0.04,0.29,0.09,0.27,0.52,0.45,0.64,0.29,0.69,0.47,0.33,0.60
0.13,0.47,0.00,0.36,0.25,0.10,0.07,0.14,0.43,0.75,0.38,0.20,0.06,0.02,0.17,0.17,0.22,0.00,0.13,0.13
0.49,0.11,0.36,0.00,0.61,0.26,0.29,0.22,0.07,0.39,0.02,0.16,0.42,0.34,0.53,0.19,0.58,0.36,0.23,0.49
0.12,0.71,0.25,0.61,0.00,0.35,0.32,0.39,0.68,1.00,0.63,0.45,0.19,0.27,0.07,0.42,0.02,0.25,0.38,0.11
0.22,0.37,0.10,0.26,0.35,0.00,0.03,0.04,0.33,0.65,0.28,0.10,0.16,0.08,0.27,0.07,0.32,0.10,0.03,0.23
0.20,0.40,0.07,0.29,0.32,0.03,0.00,0.07,0.36,0.68,0.31,0.13,0.13,0.05,0.25,0.10,0.30,0.07,0.06,0.20
0.27,0.32,0.14,0.22,0.39,0.04,0.07,0.00,0.29,0.61,0.24,0.06,0.20,0.12,0.32,0.03,0.37,0.14,0.01,0.28
0.56,0.04,0.43,0.07,0.68,0.33,0.36,0.29,0.00,0.32,0.05,0.23,0.49,0.41,0.60,0.26,0.65,0.43,0.30,0.56
0.88,0.29,0.75,0.39,1.00,0.65,0.68,0.61,0.32,0.00,0.37,0.55,0.81,0.73,0.93,0.58,0.98,0.75,0.62,0.89
0.51,0.09,0.38,0.02,0.63,0.28,0.31,0.24,0.05,0.37,0.00,0.18,0.44,0.36,0.55,0.21,0.60,0.38,0.25,0.51
0.33,0.27,0.20,0.16,0.45,0.10,0.13,0.06,0.23,0.55,0.18,0.00,0.26,0.18,0.37,0.03,0.42,0.20,0.07,0.33
0.07,0.52,0.06,0.42,0.19,0.16,0.13,0.20,0.49,0.81,0.44,0.26,0.00,0.08,0.12,0.23,0.17,0.05,0.19,0.08
0.15,0.45,0.02,0.34,0.27,0.08,0.05,0.12,0.41,0.73,0.36,0.18,0.08,0.00,0.19,0.15,0.25,0.02,0.11,0.15
0.05,0.64,0.17,0.53,0.07,0.27,0.25,0.32,0.60,0.93,0.55,0.37,0.12,0.19,0.00,0.35,0.05,0.17,0.31,0.04
0.30,0.29,0.17,0.19,0.42,0.07,0.10,0.03,0.26,0.58,0.21,0.03,0.23,0.15,0.35,0.00,0.40,0.17,0.04,0.31
0.10,0.69,0.22,0.58,0.02,0.32,0.30,0.37,0.65,0.98,0.60,0.42,0.17,0.25,0.05,0.40,0.00,0.22,0.36,0.09
0.12,0.47,0.00,0.36,0.25,0.10,0.07,0.14,0.43,0.75,0.38,0.20,0.05,0.02,0.17,0.17,0.22,0.00,0.14,0.13
0.26,0.33,0.13,0.23,0.38,0.03,0.06,0.01,0.30,0.62,0.25,0.07,0.19,0.11,0.31,0.04,0.36,0.14,0.00,0.27
0.01,0.60,0.13,0.49,0.11,0.23,0.20,0.28,0.56,0.89,0.51,0.33,0.08,0.15,0.04,0.31,0.09,0.13,0.27,0.00
