0.00,4.00,48.24,39.19,82.21,81.48,25.56,15.10,73.47,7.31
4.00,0.00,44.25,35.20,78.21,77.49,21.56,11.11,69.47,11.31
48.24,44.25,0.00,9.05,33.96,33.24,22.68,33.14,25.23,55.55
39.19,35.20,9.05,0.00,43.01,42.29,13.64,24.09,34.27,46.51
82.21,78.21,33.96,43.01,0.00,0.72,56.65,67.10,8.74,89.52
81.48,77.49,33.24,42.29,0.72,0.00,55.92,66.38,8.02,88.80
25.56,21.56,22.68,13.64,56.65,55.92,0.00,10.45,47.91,32.87
15.10,11.11,33.14,24.09,67.10,66.38,10.45,0.00,58.36,22.42
73.47,69.47,25.23,34.27,8.74,8.02,47.91,58.36,0.00,80.78
7.31,11.31,55.55,46.51,89.52,88.80,32.87,22.42,80.78,0.00
