11.407515.2f,55.962798.2f,67.182238.2f,60.629748.2f,51.972843.2f,33.734206.2f,22.754690.2f,33.043453.2f,78.772585.2f,66.332442.2f,105.958354.2f,38.499423.2f,51.750745.2f,80.649593.2f,8.984054.2f,59.786196.2f,56.194769.2f,73.954144.2f,58.895813.2f,36.919026.2f,54.739250.2f,63.899607.2f,45.630752.2f,11.328159.2f,79.502059.2f,41.920168.2f,36.163070.2f,35.010596.2f,29.739865.2f,53.467386.2f
66.728060.2f,26.037118.2f,36.237872.2f,58.297744.2f,21.625365.2f,44.058936.2f,51.730496.2f,43.743416.2f,48.199372.2f,75.385028.2f,44.634200.2f,38.551786.2f,28.917584.2f,47.692137.2f,75.382388.2f,14.770837.2f,53.221158.2f,63.236164.2f,15.665295.2f,40.419422.2f,55.921203.2f,10.144094.2f,67.701515.2f,77.055045.2f,29.026542.2f,31.858293.2f,94.703205.2f,44.083885.2f,44.003864.2f,83.551193.2f
20.642514.2f,48.040810.2f,62.445383.2f,62.557377.2f,40.107529.2f,17.385869.2f,18.337048.2f,17.153931.2f,75.920888.2f,72.265991.2f,97.634521.2f,31.914179.2f,35.653437.2f,77.432308.2f,15.510462.2f,45.946468.2f,38.847206.2f,75.544741.2f,45.032861.2f,30.980582.2f,56.534397.2f,50.410204.2f,52.232664.2f,27.465415.2f,72.021628.2f,31.246207.2f,52.474615.2f,30.992380.2f,20.982171.2f,63.739222.2f
63.108709.2f,58.491781.2f,47.743843.2f,24.957079.2f,71.115186.2f,81.595521.2f,63.235484.2f,79.981977.2f,42.269448.2f,8.702879.2f,79.705312.2f,57.949449.2f,87.548276.2f,44.347980.2f,82.634271.2f,80.775169.2f,109.957664.2f,22.929746.2f,80.529877.2f,57.221471.2f,28.815551.2f,80.924468.2f,28.523975.2f,64.986182.2f,61.671621.2f,66.939867.2f,55.595943.2f,54.422885.2f,65.529960.2f,24.247318.2f
53.393558.2f,27.978263.2f,15.589660.2f,9.243035.2f,42.009124.2f,58.955015.2f,45.929237.2f,57.444813.2f,16.025165.2f,25.278943.2f,52.751289.2f,34.060982.2f,59.878069.2f,18.344803.2f,71.972474.2f,50.552472.2f,84.933511.2f,13.352034.2f,50.466758.2f,34.254924.2f,11.887044.2f,49.973453.2f,27.882143.2f,60.135776.2f,30.511197.2f,40.866163.2f,63.873487.2f,33.288945.2f,44.440479.2f,39.754726.2f
39.396760.2f,8.410113.2f,24.357967.2f,35.856817.2f,10.966295.2f,28.890452.2f,25.284600.2f,27.609384.2f,39.000201.2f,51.802046.2f,58.360821.2f,9.879626.2f,27.782455.2f,40.012861.2f,52.249125.2f,21.301166.2f,52.864137.2f,45.532157.2f,20.864826.2f,11.699061.2f,31.486572.2f,22.865582.2f,39.820210.2f,49.410217.2f,32.407931.2f,9.564922.2f,65.442739.2f,14.998874.2f,19.014356.2f,55.826464.2f
88.653690.2f,45.122239.2f,31.994285.2f,49.199845.2f,56.516873.2f,81.433234.2f,77.071002.2f,80.371535.2f,24.679244.2f,61.489509.2f,15.288108.2f,61.511588.2f,72.793787.2f,22.310722.2f,104.685950.2f,58.271470.2f,99.271858.2f,42.629989.2f,58.825589.2f,62.783839.2f,52.166048.2f,54.655177.2f,68.274854.2f,97.128037.2f,21.784243.2f,62.564192.2f,104.079816.2f,64.131800.2f,72.155364.2f,79.443665.2f
22.688961.2f,27.538713.2f,41.623413.2f,44.385175.2f,22.635437.2f,16.168847.2f,7.671322.2f,14.556405.2f,55.297913.2f,56.809599.2f,77.562486.2f,11.112366.2f,27.689455.2f,56.732754.2f,33.079023.2f,31.404781.2f,44.910172.2f,56.711818.2f,30.569515.2f,10.379462.2f,38.591537.2f,35.120045.2f,39.025014.2f,33.042788.2f,51.546549.2f,12.455641.2f,53.526456.2f,11.506853.2f,0.243588.2f,53.562619.2f
91.299345.2f,47.033035.2f,34.745905.2f,52.712012.2f,57.817284.2f,82.973751.2f,79.407927.2f,81.963062.2f,28.236795.2f,65.175238.2f,11.834341.2f,63.741514.2f,73.612270.2f,25.872859.2f,107.002518.2f,58.923500.2f,99.909385.2f,46.330223.2f,59.521592.2f,65.076263.2f,55.538150.2f,55.126734.2f,71.667573.2f,99.930186.2f,23.236493.2f,64.318841.2f,107.374884.2f,66.585268.2f,74.252060.2f,83.025069.2f
24.118750.2f,68.314943.2f,74.838224.2f,60.571301.2f,68.703917.2f,55.574270.2f,38.979016.2f,54.586993.2f,83.159232.2f,59.889891.2f,115.849949.2f,51.986063.2f,72.662297.2f,85.365543.2f,30.318660.2f,78.026645.2f,79.718593.2f,72.916160.2f,77.202535.2f,50.127915.2f,55.704650.2f,81.578552.2f,41.435267.2f,14.094250.2f,89.529107.2f,58.540948.2f,14.409365.2f,46.849871.2f,46.891584.2f,41.722803.2f
73.052665.2f,55.946676.2f,41.377555.2f,25.694596.2f,70.046423.2f,85.522077.2f,69.723639.2f,83.951164.2f,31.185075.2f,19.968992.2f,65.910058.2f,60.636117.2f,87.845803.2f,32.724962.2f,92.692946.2f,78.446978.2f,112.478048.2f,14.738309.2f,78.399359.2f,60.439833.2f,31.571058.2f,77.586008.2f,39.242997.2f,76.903232.2f,52.189316.2f,68.363464.2f,71.309788.2f,58.572776.2f,70.078184.2f,40.314138.2f
