56.023217.2f,95.484760.2f,120.339613.2f,56.304693.2f,106.190338.2f,11.878334.2f,99.869119.2f,54.296089.2f,80.647574.2f,62.359931.2f,9.709006.2f,53.758275.2f,69.912835.2f,51.553628.2f,23.353314.2f,104.274544.2f,41.183348.2f,8.671040.2f,85.391098.2f,90.052435.2f,82.455320.2f,60.334014.2f,95.951705.2f,107.005360.2f,95.940253.2f,85.877425.2f,6.158922.2f,30.538921.2f,17.768624.2f,90.037466.2f,107.837570.2f,64.029802.2f,73.939086.2f,88.044674.2f,34.660309.2f,79.602627.2f,93.998243.2f,51.943621.2f,89.787164.2f,46.917049.2f
41.233469.2f,82.109783.2f,84.895301.2f,38.926267.2f,74.117488.2f,84.959980.2f,37.695493.2f,70.335703.2f,21.434627.2f,80.427301.2f,85.645722.2f,103.899288.2f,47.797170.2f,76.845089.2f,83.908513.2f,83.710994.2f,54.470367.2f,85.664912.2f,18.532445.2f,59.727288.2f,125.715528.2f,56.796096.2f,14.391677.2f,69.303890.2f,8.015627.2f,29.242881.2f,89.121831.2f,66.257752.2f,86.081022.2f,90.107816.2f,79.222268.2f,33.817417.2f,33.274227.2f,24.505963.2f,60.800589.2f,79.551438.2f,4.280405.2f,42.491274.2f,85.495115.2f,47.350321.2f
22.774652.2f,66.608739.2f,88.639027.2f,24.884099.2f,74.150540.2f,23.522932.2f,64.931645.2f,26.653543.2f,47.143796.2f,38.759265.2f,25.259904.2f,47.868847.2f,35.332087.2f,28.183406.2f,20.236521.2f,74.498934.2f,23.548075.2f,27.958659.2f,51.941203.2f,56.840685.2f,75.958650.2f,27.061818.2f,62.805031.2f,74.087666.2f,67.185909.2f,51.199394.2f,28.892165.2f,24.367375.2f,36.711101.2f,64.620136.2f,76.591901.2f,40.507803.2f,39.267283.2f,53.724850.2f,21.311672.2f,52.440682.2f,64.451865.2f,26.066067.2f,62.867755.2f,21.205664.2f
64.784375.2f,7.359751.2f,20.742993.2f,69.632722.2f,11.257849.2f,89.362950.2f,45.618854.2f,46.656685.2f,61.443510.2f,40.620370.2f,92.016173.2f,65.631357.2f,41.655243.2f,49.996787.2f,77.947327.2f,3.926386.2f,87.759378.2f,96.465887.2f,62.404570.2f,20.807236.2f,68.035781.2f,44.412497.2f,67.163015.2f,16.978928.2f,88.156685.2f,51.220679.2f,95.026598.2f,93.871132.2f,107.261476.2f,20.004174.2f,8.634140.2f,88.068992.2f,52.528590.2f,55.768870.2f,89.202343.2f,22.875275.2f,84.169750.2f,80.000742.2f,15.992091.2f,79.329046.2f
31.803156.2f,72.861845.2f,77.879264.2f,30.211354.2f,66.207642.2f,76.543837.2f,31.717171.2f,59.907822.2f,11.099799.2f,69.972812.2f,77.445104.2f,93.552796.2f,37.430310.2f,66.448474.2f,74.603676.2f,75.091534.2f,48.044367.2f,77.926731.2f,9.102547.2f,50.759268.2f,115.261384.2f,46.338680.2f,11.721571.2f,61.807380.2f,17.324866.2f,20.318737.2f,80.999222.2f,59.754562.2f,79.624519.2f,80.315233.2f,71.183562.2f,30.110743.2f,22.867856.2f,16.169957.2f,54.054125.2f,69.482869.2f,13.362864.2f,35.588366.2f,75.797727.2f,39.983534.2f
25.725536.2f,43.651912.2f,54.424640.2f,29.353381.2f,40.722316.2f,65.939991.2f,22.647943.2f,34.928551.2f,19.032014.2f,42.343534.2f,67.819090.2f,68.726200.2f,9.807666.2f,41.793328.2f,59.212938.2f,47.250929.2f,50.351945.2f,70.400676.2f,21.507532.2f,22.917199.2f,87.127622.2f,21.352088.2f,30.182460.2f,37.978978.2f,47.310412.2f,12.600476.2f,71.433201.2f,59.531201.2f,77.183365.2f,50.359555.2f,45.050906.2f,45.344362.2f,9.147999.2f,17.364495.2f,53.901230.2f,39.552398.2f,43.328217.2f,39.899757.2f,45.916416.2f,40.947672.2f
46.592305.2f,20.597706.2f,46.520478.2f,51.836554.2f,33.515105.2f,63.466052.2f,49.326410.2f,20.861919.2f,53.113881.2f,15.043143.2f,66.177211.2f,42.575317.2f,27.164026.2f,23.744418.2f,51.778644.2f,29.409972.2f,66.419265.2f,70.833531.2f,55.973908.2f,23.860378.2f,54.077434.2f,23.218852.2f,64.316590.2f,36.376621.2f,81.505229.2f,46.476469.2f,69.071456.2f,70.676001.2f,82.264427.2f,18.864575.2f,33.876595.2f,72.023405.2f,41.601951.2f,51.450422.2f,66.646056.2f,6.231502.2f,77.568417.2f,61.120216.2f,16.313474.2f,59.155498.2f
16.845583.2f,76.383236.2f,88.710538.2f,12.210881.2f,75.142132.2f,55.818917.2f,48.200415.2f,50.501146.2f,22.328926.2f,62.709948.2f,56.320740.2f,81.195238.2f,36.197326.2f,55.886888.2f,56.247846.2f,81.140677.2f,25.150819.2f,56.117289.2f,25.815444.2f,57.204540.2f,106.566725.2f,39.584798.2f,34.198386.2f,72.202141.2f,31.531734.2f,32.887286.2f,59.733463.2f,36.918376.2f,56.800680.2f,80.442488.2f,79.438106.2f,10.923690.2f,25.395979.2f,31.815542.2f,31.323682.2f,68.140479.2f,29.318139.2f,12.910715.2f,76.750779.2f,17.800035.2f
39.943853.2f,23.403169.2f,40.969226.2f,44.833235.2f,26.457827.2f,68.402656.2f,33.541369.2f,27.590417.2f,39.909455.2f,28.418350.2f,70.842418.2f,56.684368.2f,16.933348.2f,33.219395.2f,58.419068.2f,28.770461.2f,63.074727.2f,74.733791.2f,42.071962.2f,10.190770.2f,69.859269.2f,20.645891.2f,49.479953.2f,26.747243.2f,68.076053.2f,31.772686.2f,74.146164.2f,69.751168.2f,84.407708.2f,29.526354.2f,29.202996.2f,63.677841.2f,29.369350.2f,36.757719.2f,64.845958.2f,19.542889.2f,64.076472.2f,55.159183.2f,25.030421.2f,54.517317.2f
17.812907.2f,80.630718.2f,96.072809.2f,12.937282.2f,81.976148.2f,45.240963.2f,58.797832.2f,48.871303.2f,33.687410.2f,61.650831.2f,45.388272.2f,76.181119.2f,40.913329.2f,53.109373.2f,47.657402.2f,86.468677.2f,12.767488.2f,44.591972.2f,37.641413.2f,63.637643.2f,103.289643.2f,40.760076.2f,46.553246.2f,79.761091.2f,42.729220.2f,43.233741.2f,48.634034.2f,24.559288.2f,44.420111.2f,82.816511.2f,85.844601.2f,11.890886.2f,33.693834.2f,42.989500.2f,19.115850.2f,70.207402.2f,40.996532.2f,2.984826.2f,79.683366.2f,7.585510.2f
34.901243.2f,82.913424.2f,88.697996.2f,31.770362.2f,76.911716.2f,76.972752.2f,42.433299.2f,66.284285.2f,20.559770.2f,77.252259.2f,77.484887.2f,99.095929.2f,45.797827.2f,72.485346.2f,76.853109.2f,85.534517.2f,45.502996.2f,77.187992.2f,19.746210.2f,61.089243.2f,122.371272.2f,53.335474.2f,20.740705.2f,72.590999.2f,10.561269.2f,30.916380.2f,80.889477.2f,57.253237.2f,76.994913.2f,89.750526.2f,81.847984.2f,24.345675.2f,31.368783.2f,26.963501.2f,51.925042.2f,78.479974.2f,8.191726.2f,33.876500.2f,85.378203.2f,38.923888.2f
18.369168.2f,80.692914.2f,97.259567.2f,14.211665.2f,83.009564.2f,40.924412.2f,61.532426.2f,47.162743.2f,36.964603.2f,59.992054.2f,41.022828.2f,73.166003.2f,41.581465.2f,50.959620.2f,43.767250.2f,86.902453.2f,8.615331.2f,40.186572.2f,41.113400.2f,64.631429.2f,100.709675.2f,40.177753.2f,50.368637.2f,81.092274.2f,47.129832.2f,45.970003.2f,44.249243.2f,20.358002.2f,40.240952.2f,82.192209.2f,86.693381.2f,15.906588.2f,35.801419.2f,46.094891.2f,14.797824.2f,69.554775.2f,45.365342.2f,4.055651.2f,79.275102.2f,4.482278.2f
58.421795.2f,26.856844.2f,54.666681.2f,63.627936.2f,44.100609.2f,64.332949.2f,65.163219.2f,26.446007.2f,68.279616.2f,13.893927.2f,67.184843.2f,31.698027.2f,41.956402.2f,24.870514.2f,51.555502.2f,35.926905.2f,74.912733.2f,72.419883.2f,71.414579.2f,38.852343.2f,38.220968.2f,35.229721.2f,80.090798.2f,48.341121.2f,96.565083.2f,62.262677.2f,69.479147.2f,76.941023.2f,85.182377.2f,16.530097.2f,42.740585.2f,84.058087.2f,56.542699.2f,67.212951.2f,73.848839.2f,13.300238.2f,92.682201.2f,71.815335.2f,18.530195.2f,68.968892.2f
38.809929.2f,24.282197.2f,42.427658.2f,43.744806.2f,27.926355.2f,66.894721.2f,34.250235.2f,26.142328.2f,39.585213.2f,27.320112.2f,69.335365.2f,55.566137.2f,15.958002.2f,31.839125.2f,56.921140.2f,29.956822.2f,61.784712.2f,73.232215.2f,41.902216.2f,11.643581.2f,69.256393.2f,19.182456.2f,49.572106.2f,28.255336.2f,67.843031.2f,31.795066.2f,72.638226.2f,68.359645.2f,82.935352.2f,29.807126.2f,30.599693.2f,62.752275.2f,28.823697.2f,36.787311.2f,63.484547.2f,19.357266.2f,63.851801.2f,54.017982.2f,25.436831.2f,53.286465.2f
60.222185.2f,53.378109.2f,81.195999.2f,64.635499.2f,69.667232.2f,46.059359.2f,83.113369.2f,28.737027.2f,78.122595.2f,22.604275.2f,48.814530.2f,5.671713.2f,53.511557.2f,22.042711.2f,33.504630.2f,62.587105.2f,67.966287.2f,54.390374.2f,82.271668.2f,60.422227.2f,31.538976.2f,42.626693.2f,92.523964.2f,73.153887.2f,104.436637.2f,75.728549.2f,50.064027.2f,65.812438.2f,68.127232.2f,43.276481.2f,68.962262.2f,83.661262.2f,66.573352.2f,80.200278.2f,64.657216.2f,37.973354.2f,100.945731.2f,69.533449.2f,45.305184.2f,65.212226.2f
50.949817.2f,17.447794.2f,28.641392.2f,55.555926.2f,14.104795.2f,80.725550.2f,31.980839.2f,39.222277.2f,46.107756.2f,37.480098.2f,83.194199.2f,65.281906.2f,27.737138.2f,44.232857.2f,70.469587.2f,19.062201.2f,74.750662.2f,87.138604.2f,47.124185.2f,5.471543.2f,74.086125.2f,33.048817.2f,52.330647.2f,14.576064.2f,72.974689.2f,35.972364.2f,86.467660.2f,81.887470.2f,96.815218.2f,28.217180.2f,17.384437.2f,73.305342.2f,37.403767.2f,40.605787.2f,76.856440.2f,23.213607.2f,68.976876.2f,66.089785.2f,23.202955.2f,65.922434.2f
13.229717.2f,54.153442.2f,73.834388.2f,18.064359.2f,59.299105.2f,39.662274.2f,48.781816.2f,20.607340.2f,33.598154.2f,33.188217.2f,41.556052.2f,51.767862.2f,19.088404.2f,25.831894.2f,33.714499.2f,61.171316.2f,30.743403.2f,44.324284.2f,38.276149.2f,41.417211.2f,76.506169.2f,13.070923.2f,49.187773.2f,58.665276.2f,57.707533.2f,35.698768.2f,45.162259.2f,36.723591.2f,52.242129.2f,54.727312.2f,62.231059.2f,38.269952.2f,23.989948.2f,38.785753.2f,31.883383.2f,42.093465.2f,54.405212.2f,25.714135.2f,52.001748.2f,23.297241.2f
43.351461.2f,63.804626.2f,89.886509.2f,46.631546.2f,76.284490.2f,22.656492.2f,78.030780.2f,24.273222.2f,65.707792.2f,29.972295.2f,25.511574.2f,26.337809.2f,46.283307.2f,19.778297.2f,9.696281.2f,72.854633.2f,45.041885.2f,30.972016.2f,70.369226.2f,62.016753.2f,55.636895.2f,34.843400.2f,81.260648.2f,78.024501.2f,88.729286.2f,66.818906.2f,27.504007.2f,41.649287.2f,44.418797.2f,57.512312.2f,77.243907.2f,63.363442.2f,55.629781.2f,70.402964.2f,41.009473.2f,47.628192.2f,85.699586.2f,48.921872.2f,57.553748.2f,44.034529.2f
