20.353382.2f,29.985328.2f,13.853168.2f,31.453255.2f,30.809951.2f,48.962614.2f,77.614914.2f,74.994002.2f,95.959234.2f,43.098397.2f,17.775844.2f,23.619369.2f,50.873211.2f,77.362194.2f,61.064340.2f,32.124064.2f,39.597744.2f,88.395512.2f,58.392004.2f,66.001712.2f,63.819856.2f,32.504521.2f,21.980243.2f,18.870177.2f,32.332965.2f,76.732522.2f,69.374131.2f,4.155396.2f,47.448996.2f,57.752924.2f,33.065312.2f,90.366395.2f,47.842981.2f,39.227156.2f,66.343245.2f,59.426290.2f,80.833475.2f,40.556740.2f,45.273150.2f,95.102952.2f
49.046471.2f,90.294884.2f,69.551826.2f,67.861807.2f,83.275117.2f,47.531157.2f,28.171217.2f,11.434013.2f,29.209433.2f,27.299735.2f,51.575923.2f,44.554783.2f,78.012738.2f,69.753624.2f,64.157487.2f,34.683816.2f,54.886761.2f,28.767179.2f,9.081453.2f,26.730909.2f,45.583945.2f,34.852116.2f,52.809810.2f,83.010459.2f,40.542699.2f,65.368962.2f,18.023264.2f,70.932213.2f,31.289186.2f,64.078541.2f,46.959606.2f,25.447505.2f,28.773251.2f,29.411472.2f,36.341220.2f,10.678010.2f,27.850581.2f,62.595231.2f,59.808537.2f,28.562077.2f
39.394829.2f,41.419343.2f,33.473986.2f,20.602116.2f,47.144856.2f,69.525359.2f,94.708630.2f,85.304363.2f,108.103386.2f,52.485212.2f,37.187463.2f,41.309091.2f,71.031077.2f,98.451043.2f,53.280395.2f,46.375834.2f,60.649945.2f,103.968759.2f,71.852858.2f,83.676005.2f,62.943064.2f,48.157478.2f,26.575549.2f,9.408434.2f,51.148459.2f,97.716308.2f,85.390029.2f,19.911525.2f,65.734219.2f,49.677329.2f,35.399293.2f,104.176244.2f,54.529004.2f,55.293466.2f,68.621703.2f,73.816713.2f,97.497485.2f,32.433738.2f,66.399333.2f,107.687672.2f
46.835754.2f,84.763125.2f,64.599195.2f,41.754937.2f,81.979305.2f,64.145226.2f,60.661894.2f,32.896495.2f,56.538561.2f,18.207108.2f,48.199699.2f,42.646574.2f,88.231208.2f,93.206806.2f,30.519102.2f,32.506177.2f,65.534610.2f,62.290607.2f,32.760481.2f,55.373161.2f,13.791204.2f,35.857782.2f,34.386078.2f,65.772284.2f,46.437255.2f,89.720083.2f,49.688644.2f,59.329388.2f,48.376117.2f,30.583503.2f,23.770929.2f,57.112409.2f,10.561232.2f,36.945528.2f,10.957516.2f,36.836673.2f,61.061351.2f,32.918377.2f,72.318122.2f,57.131785.2f
20.532842.2f,61.259836.2f,40.307669.2f,39.146323.2f,56.550593.2f,38.767606.2f,49.172584.2f,39.948285.2f,61.411870.2f,9.714961.2f,22.441006.2f,15.972404.2f,60.927149.2f,69.418008.2f,49.133943.2f,5.196126.2f,38.477358.2f,56.972280.2f,24.550523.2f,39.571585.2f,40.065281.2f,8.672328.2f,21.657956.2f,50.788346.2f,19.333517.2f,66.613348.2f,38.962317.2f,39.201111.2f,25.500645.2f,47.305648.2f,20.110639.2f,56.896567.2f,16.944994.2f,12.305101.2f,37.707594.2f,26.639817.2f,51.391335.2f,37.925182.2f,45.401115.2f,60.774342.2f
64.475647.2f,105.747435.2f,84.995444.2f,80.228210.2f,98.643666.2f,61.017314.2f,32.558042.2f,8.741886.2f,15.224459.2f,40.729902.2f,66.989753.2f,59.959223.2f,92.088981.2f,79.554802.2f,71.141554.2f,49.870142.2f,69.395395.2f,25.621380.2f,24.490489.2f,36.425580.2f,50.682406.2f,50.236237.2f,66.641254.2f,97.591294.2f,55.904744.2f,74.840013.2f,26.244697.2f,86.047833.2f,45.628145.2f,71.784927.2f,59.504489.2f,16.738969.2f,40.136166.2f,44.859145.2f,40.212580.2f,25.309088.2f,30.210413.2f,73.497828.2f,73.825147.2f,15.525539.2f
38.382183.2f,79.801695.2f,58.811234.2f,53.402007.2f,74.077206.2f,45.590245.2f,38.817349.2f,20.761008.2f,42.935475.2f,12.885622.2f,40.662424.2f,33.703626.2f,73.489880.2f,72.562270.2f,51.999861.2f,22.808164.2f,49.956187.2f,42.488384.2f,10.622273.2f,33.160798.2f,35.665723.2f,24.161514.2f,38.652537.2f,69.497739.2f,32.528326.2f,68.747050.2f,27.767131.2f,58.392116.2f,28.814269.2f,51.456153.2f,32.501366.2f,39.907876.2f,14.957569.2f,20.983388.2f,28.518625.2f,14.636667.2f,39.650933.2f,48.414049.2f,55.991372.2f,42.591159.2f
48.448130.2f,82.642303.2f,64.970515.2f,82.970932.2f,72.599021.2f,26.913809.2f,12.058140.2f,42.102792.2f,45.561675.2f,46.522832.2f,50.996941.2f,45.852552.2f,57.130883.2f,38.803270.2f,89.776242.2f,42.466954.2f,38.568181.2f,26.429400.2f,28.421170.2f,5.490286.2f,74.272769.2f,39.684676.2f,64.639273.2f,87.516695.2f,36.443783.2f,34.116092.2f,14.678415.2f,72.269630.2f,21.418236.2f,88.766170.2f,64.134852.2f,35.038481.2f,52.240406.2f,32.803431.2f,66.488336.2f,24.310875.2f,16.273808.2f,81.896225.2f,40.003147.2f,43.235458.2f
32.948898.2f,54.294241.2f,38.713419.2f,8.281130.2f,56.066631.2f,63.102062.2f,80.779995.2f,66.405940.2f,89.797675.2f,34.288444.2f,31.902143.2f,32.434316.2f,73.687030.2f,94.003823.2f,36.139080.2f,32.608316.2f,57.254970.2f,88.225579.2f,55.272007.2f,70.835679.2f,42.704114.2f,35.559759.2f,10.501831.2f,28.239193.2f,42.309245.2f,92.264358.2f,70.554615.2f,27.525073.2f,54.684576.2f,32.720649.2f,15.383195.2f,86.988181.2f,34.948415.2f,42.275342.2f,48.076046.2f,57.904139.2f,83.002717.2f,15.308082.2f,64.037871.2f,89.642148.2f
23.188587.2f,32.050273.2f,19.854138.2f,60.985546.2f,21.439233.2f,24.899792.2f,62.609514.2f,75.142814.2f,90.391911.2f,51.736490.2f,22.797532.2f,26.816023.2f,20.479382.2f,47.313600.2f,85.466238.2f,36.947025.2f,12.835053.2f,76.163281.2f,55.279334.2f,50.829924.2f,81.346576.2f,34.018294.2f,45.404643.2f,48.125888.2f,24.539895.2f,47.610640.2f,58.261002.2f,32.801373.2f,34.374408.2f,82.684981.2f,53.777431.2f,81.900775.2f,59.060268.2f,36.129077.2f,79.826259.2f,54.034568.2f,66.629432.2f,67.470787.2f,15.299624.2f,88.739106.2f
30.479293.2f,71.900773.2f,51.034305.2f,52.783708.2f,65.463698.2f,36.096541.2f,35.780921.2f,28.156548.2f,47.799941.2f,13.791600.2f,32.958396.2f,25.920317.2f,63.797042.2f,64.012594.2f,57.109219.2f,16.048191.2f,40.257656.2f,42.676668.2f,10.318931.2f,27.601288.2f,43.091455.2f,16.186267.2f,35.927098.2f,64.803910.2f,23.224549.2f,60.439385.2f,25.122476.2f,52.279950.2f,19.516451.2f,56.018488.2f,32.547476.2f,42.659864.2f,19.764171.2f,11.612436.2f,37.196305.2f,12.318566.2f,37.602491.2f,49.918907.2f,46.282308.2f,46.958047.2f
