21.056643.2f,23.039654.2f,73.484397.2f,49.674038.2f,77.675496.2f,24.005871.2f,81.720751.2f,75.784805.2f,35.210871.2f,41.781592.2f,50.442038.2f,29.112427.2f,81.960678.2f,78.848356.2f,25.922271.2f,51.342837.2f,53.341382.2f,64.886848.2f,71.267017.2f,36.196898.2f,63.200483.2f,15.627235.2f,27.553456.2f,43.632373.2f,57.704663.2f,55.943961.2f,27.990610.2f,38.149764.2f,22.651077.2f,35.626120.2f
39.585430.2f,43.586828.2f,68.449123.2f,69.038904.2f,74.908623.2f,43.525875.2f,87.102247.2f,83.735506.2f,58.073324.2f,43.263851.2f,35.322009.2f,36.840106.2f,101.487938.2f,92.005085.2f,20.550738.2f,74.036718.2f,30.698024.2f,86.103060.2f,67.463096.2f,32.081493.2f,81.850766.2f,23.903995.2f,45.991534.2f,34.989011.2f,75.485042.2f,53.559508.2f,8.229662.2f,28.618249.2f,45.560055.2f,12.793589.2f
47.002613.2f,52.336825.2f,19.823163.2f,61.713660.2f,25.757327.2f,49.874268.2f,43.884456.2f,45.090601.2f,81.219970.2f,15.520782.2f,24.705151.2f,29.229902.2f,86.898953.2f,62.011139.2f,30.033746.2f,78.852896.2f,49.246195.2f,80.742368.2f,18.342510.2f,18.111628.2f,68.416665.2f,38.402209.2f,48.098056.2f,14.845283.2f,61.310454.2f,6.307137.2f,56.762443.2f,20.829990.2f,70.884558.2f,46.366926.2f
42.302030.2f,45.084149.2f,37.502804.2f,38.586272.2f,33.924422.2f,42.399073.2f,22.120471.2f,16.047468.2f,73.238766.2f,26.126700.2f,56.187174.2f,31.896037.2f,56.107610.2f,28.918632.2f,47.768912.2f,59.321288.2f,78.864744.2f,54.819615.2f,33.412613.2f,38.800246.2f,39.989835.2f,46.606534.2f,38.620353.2f,43.211876.2f,33.820094.2f,27.395717.2f,76.008789.2f,46.380580.2f,67.051621.2f,70.597426.2f
6.940619.2f,11.214530.2f,64.314700.2f,36.495859.2f,67.197741.2f,10.827628.2f,67.980710.2f,61.475201.2f,35.870931.2f,31.456722.2f,49.269246.2f,17.302008.2f,69.005133.2f,64.007821.2f,24.251838.2f,42.668191.2f,58.847510.2f,53.457634.2f,61.547586.2f,30.212164.2f,49.642901.2f,11.243764.2f,13.520458.2f,39.078258.2f,43.691702.2f,46.340289.2f,39.358810.2f,35.158748.2f,25.152296.2f,42.633017.2f
61.874260.2f,66.733421.2f,65.618900.2f,89.968128.2f,73.916378.2f,66.035661.2f,93.756940.2f,93.246979.2f,84.065309.2f,52.469252.2f,26.727590.2f,52.937614.2f,121.600379.2f,106.106465.2f,34.231630.2f,98.102581.2f,5.324465.2f,108.313656.2f,66.218624.2f,39.877427.2f,101.635769.2f,44.748468.2f,67.608017.2f,36.235245.2f,94.724793.2f,56.328796.2f,25.710176.2f,32.179645.2f,71.521862.2f,13.456268.2f
13.684147.2f,15.342622.2f,71.298198.2f,41.976728.2f,74.690832.2f,16.367145.2f,76.337955.2f,69.823268.2f,31.683187.2f,38.708254.2f,52.385055.2f,24.957119.2f,74.276212.2f,71.750851.2f,27.061709.2f,44.406001.2f,58.393019.2f,57.374872.2f,68.739061.2f,35.454325.2f,55.510032.2f,14.425986.2f,20.027772.2f,43.774610.2f,50.068473.2f,53.416732.2f,35.091439.2f,38.998258.2f,19.676087.2f,41.132223.2f
45.635425.2f,51.286110.2f,31.262849.2f,66.243414.2f,38.554480.2f,49.245164.2f,57.274162.2f,57.598984.2f,78.170710.2f,20.032590.2f,12.085687.2f,29.024221.2f,94.408033.2f,72.837559.2f,21.124695.2f,80.811761.2f,35.783924.2f,85.594408.2f,30.856811.2f,12.334693.2f,75.024085.2f,32.717575.2f,48.555070.2f,3.369086.2f,67.799420.2f,19.715323.2f,44.587398.2f,9.240358.2f,66.728608.2f,33.112526.2f
52.891907.2f,57.882394.2f,59.490802.2f,80.714980.2f,67.378751.2f,57.063430.2f,85.634648.2f,84.638105.2f,76.687479.2f,43.563984.2f,21.162875.2f,43.587997.2f,112.271450.2f,96.980135.2f,24.891751.2f,89.355252.2f,12.170890.2f,99.165036.2f,59.644586.2f,30.902379.2f,92.305391.2f,35.742576.2f,58.492059.2f,28.218213.2f,85.383158.2f,48.587056.2f,22.117950.2f,23.510656.2f,64.120836.2f,7.454194.2f
47.522442.2f,53.074416.2f,24.535952.2f,65.346340.2f,31.670086.2f,50.808748.2f,51.122142.2f,52.155102.2f,81.066382.2f,18.248551.2f,17.472137.2f,30.041393.2f,92.022112.2f,68.504973.2f,26.252790.2f,81.284777.2f,42.038463.2f,84.606014.2f,23.982734.2f,15.383522.2f,73.075111.2f,36.516824.2f,49.577552.2f,8.979500.2f,65.885195.2f,13.518651.2f,51.232508.2f,15.360606.2f,70.095984.2f,39.997110.2f
40.664020.2f,35.053424.2f,103.199373.2f,37.049432.2f,103.561535.2f,37.312174.2f,93.250553.2f,83.585856.2f,15.484241.2f,71.586041.2f,93.642884.2f,58.117294.2f,55.750150.2f,73.757559.2f,68.514725.2f,18.082147.2f,100.911720.2f,35.575811.2f,99.714908.2f,73.929065.2f,46.174077.2f,55.358395.2f,39.000084.2f,83.006998.2f,46.377356.2f,85.841244.2f,74.838626.2f,79.483140.2f,26.315760.2f,83.368590.2f
