62.224587.2f,73.929281.2f,77.680659.2f,40.026883.2f,43.064761.2f,44.182697.2f,55.559651.2f,67.006215.2f,6.542013.2f,49.410985.2f
102.149575.2f,24.977784.2f,32.776091.2f,79.056241.2f,85.583571.2f,54.690659.2f,109.918393.2f,93.606753.2f,102.051628.2f,83.669066.2f
91.616680.2f,9.758204.2f,26.714553.2f,63.868136.2f,70.645564.2f,38.847650.2f,98.109779.2f,84.235228.2f,86.313654.2f,69.220465.2f
27.024978.2f,91.603790.2f,80.027628.2f,77.938983.2f,82.565010.2f,68.778437.2f,15.816017.2f,36.794902.2f,45.458169.2f,88.436759.2f
53.007739.2f,38.167768.2f,19.935421.2f,63.787429.2f,71.411261.2f,35.799214.2f,60.239718.2f,45.782628.2f,65.972929.2f,73.552373.2f
40.025812.2f,97.404896.2f,89.374551.2f,75.917215.2f,79.486266.2f,71.828473.2f,27.892898.2f,49.951690.2f,39.143037.2f,85.747141.2f
35.978035.2f,98.193055.2f,88.623031.2f,79.186990.2f,83.039823.2f,73.543372.2f,23.465079.2f,46.310713.2f,43.292423.2f,89.215856.2f
35.490629.2f,73.525564.2f,45.296343.2f,96.776709.2f,104.081936.2f,71.223199.2f,48.391517.2f,23.682123.2f,86.167804.2f,107.341281.2f
21.961490.2f,68.576709.2f,51.408269.2f,73.095737.2f,79.666726.2f,53.466272.2f,27.546320.2f,19.939194.2f,55.410177.2f,84.113620.2f
42.575707.2f,100.738510.2f,92.942084.2f,78.018104.2f,81.328136.2f,74.864533.2f,30.028317.2f,52.813839.2f,40.411999.2f,87.660292.2f
30.477706.2f,72.005747.2f,62.134178.2f,62.795688.2f,68.440117.2f,49.851163.2f,27.363240.2f,34.524067.2f,38.538879.2f,73.716546.2f
50.660928.2f,103.314306.2f,97.775167.2f,76.148629.2f,78.748651.2f,76.120102.2f,38.221348.2f,60.678605.2f,36.995710.2f,85.225817.2f
32.608703.2f,64.909732.2f,39.369381.2f,85.064282.2f,92.340129.2f,59.962052.2f,43.929652.2f,22.119768.2f,75.069787.2f,95.677900.2f
66.372178.2f,42.350247.2f,50.641156.2f,28.462367.2f,35.758019.2f,12.987150.2f,66.084062.2f,65.517589.2f,36.131352.2f,39.191045.2f
39.051008.2f,57.463042.2f,49.212094.2f,54.222561.2f,60.771555.2f,36.684813.2f,39.834160.2f,38.829727.2f,40.239604.2f,65.248390.2f
45.575014.2f,76.461124.2f,46.242824.2f,104.884475.2f,112.334983.2f,78.139122.2f,58.764412.2f,33.772708.2f,96.586314.2f,115.191656.2f
24.446221.2f,98.332245.2f,84.800678.2f,86.329334.2f,90.954539.2f,76.530841.2f,11.199066.2f,35.638737.2f,53.403276.2f,96.832142.2f
65.350359.2f,44.634359.2f,52.287736.2f,28.525976.2f,35.634262.2f,15.253795.2f,64.663452.2f,64.882664.2f,33.900772.2f,39.406628.2f
41.021862.2f,93.811096.2f,64.371342.2f,116.817295.2f,123.982615.2f,91.941465.2f,54.271622.2f,31.034370.2f,102.556741.2f,127.529578.2f
55.856751.2f,103.841323.2f,99.989425.2f,73.742193.2f,75.859128.2f,75.848708.2f,43.652431.2f,65.578321.2f,33.985651.2f,82.400197.2f
80.272385.2f,30.315021.2f,10.671211.2f,79.074989.2f,86.481021.2f,50.558446.2f,89.279260.2f,70.922052.2f,92.533572.2f,86.393321.2f
12.409526.2f,77.784815.2f,57.839070.2f,83.455571.2f,89.902606.2f,64.003446.2f,21.853443.2f,9.947824.2f,63.260240.2f,94.486014.2f
88.102340.2f,67.667663.2f,82.779636.2f,16.479702.2f,15.715599.2f,39.131025.2f,83.214154.2f,90.737392.2f,26.646974.2f,22.304183.2f
84.658540.2f,32.761371.2f,15.652285.2f,83.211970.2f,90.540036.2f,54.987240.2f,93.947549.2f,75.040365.2f,97.588015.2f,90.202191.2f
79.682805.2f,18.942087.2f,12.966937.2f,67.234961.2f,74.571317.2f,39.129538.2f,87.164729.2f,71.616465.2f,83.203931.2f,74.326645.2f
24.943793.2f,87.138291.2f,75.290660.2f,75.333796.2f,80.266893.2f,64.875813.2f,15.705819.2f,33.754597.2f,44.694690.2f,85.985644.2f
24.728407.2f,65.389427.2f,47.148995.2f,73.117027.2f,79.908715.2f,51.996825.2f,31.602129.2f,20.520157.2f,57.875705.2f,84.081072.2f
66.306529.2f,67.612409.2f,73.909107.2f,32.242289.2f,35.705393.2f,37.494063.2f,60.895900.2f,69.897835.2f,10.747551.2f,41.917810.2f
100.882483.2f,21.207116.2f,32.268814.2f,75.188089.2f,81.683676.2f,51.130652.2f,108.265412.2f,92.664094.2f,98.712802.2f,79.739814.2f
68.588039.2f,32.585727.2f,1.558477.2f,74.291146.2f,81.893661.2f,45.168374.2f,77.441460.2f,59.512685.2f,83.345507.2f,82.672233.2f
97.085673.2f,46.557876.2f,69.626128.2f,10.971128.2f,15.184038.2f,26.647625.2f,95.829347.2f,96.366338.2f,50.018258.2f,12.927880.2f
