37.599643.2f,34.220989.2f,78.453914.2f,102.636863.2f,71.256024.2f,30.060642.2f,33.771577.2f,80.151056.2f,29.561616.2f,50.632664.2f,83.352604.2f,67.153166.2f,95.177717.2f,24.140767.2f,79.428404.2f,58.352960.2f,99.276346.2f,21.434941.2f,83.198956.2f,71.931942.2f,52.022101.2f,68.116155.2f,26.941043.2f,90.754274.2f,70.110619.2f,46.892133.2f,71.122856.2f,52.935309.2f,34.693939.2f,67.929114.2f,8.139706.2f,75.627139.2f,17.157485.2f,87.497009.2f,44.276688.2f,73.939530.2f,14.691710.2f,43.986272.2f,75.109895.2f,63.367632.2f
59.730454.2f,88.738465.2f,56.344986.2f,59.523565.2f,37.824723.2f,35.014155.2f,39.634915.2f,54.380278.2f,41.124410.2f,20.090815.2f,35.732557.2f,26.740667.2f,74.535498.2f,80.725799.2f,82.973870.2f,14.642269.2f,62.641963.2f,50.288444.2f,42.224797.2f,8.758162.2f,11.274420.2f,27.237746.2f,44.389844.2f,77.582952.2f,91.875699.2f,57.220883.2f,22.364060.2f,10.399713.2f,82.616042.2f,17.526319.2f,63.801686.2f,40.099111.2f,79.886982.2f,51.960559.2f,23.772728.2f,72.798013.2f,75.088261.2f,19.386105.2f,69.178999.2f,90.908715.2f
70.548826.2f,107.228572.2f,32.052106.2f,11.700975.2f,24.814219.2f,66.005782.2f,83.584122.2f,27.909303.2f,65.604980.2f,67.375883.2f,12.897203.2f,73.554467.2f,40.246360.2f,102.834542.2f,65.618871.2f,40.919757.2f,18.649622.2f,90.530500.2f,12.564156.2f,43.520525.2f,54.021103.2f,73.813603.2f,68.543723.2f,48.552387.2f,85.205690.2f,61.557112.2f,27.201996.2f,52.911633.2f,98.032731.2f,63.437982.2f,91.608318.2f,20.766143.2f,108.099639.2f,16.137606.2f,69.186364.2f,56.585848.2f,101.581580.2f,58.291186.2f,50.959447.2f,88.899749.2f
67.799335.2f,104.441920.2f,30.294139.2f,13.764119.2f,21.976744.2f,63.053842.2f,80.794847.2f,26.173275.2f,62.649122.2f,64.814291.2f,10.215281.2f,71.434323.2f,39.800757.2f,99.971080.2f,64.052926.2f,38.130453.2f,19.335252.2f,87.633104.2f,9.824847.2f,41.467575.2f,51.342355.2f,71.720345.2f,65.593357.2f,47.685328.2f,83.200754.2f,58.911466.2f,24.504079.2f,50.240506.2f,95.291707.2f,61.353597.2f,88.662966.2f,18.007516.2f,105.165038.2f,14.833137.2f,66.499889.2f,54.824476.2f,98.657612.2f,55.473247.2f,49.238186.2f,86.700699.2f
39.435520.2f,24.542441.2f,83.582582.2f,109.839716.2f,78.661418.2f,40.089569.2f,45.421583.2f,85.749494.2f,37.682061.2f,62.358992.2f,91.905996.2f,78.948531.2f,99.042088.2f,14.822763.2f,79.726185.2f,68.272231.2f,105.585805.2f,32.687327.2f,90.864588.2f,82.847768.2f,63.056543.2f,79.911203.2f,34.573655.2f,93.535714.2f,67.070208.2f,49.695314.2f,80.432265.2f,63.916086.2f,27.763210.2f,79.628622.2f,11.465552.2f,82.993330.2f,5.573154.2f,94.158922.2f,55.997750.2f,75.627924.2f,4.971593.2f,54.929829.2f,77.635176.2f,59.455232.2f
33.144521.2f,20.230407.2f,77.934341.2f,104.994385.2f,74.057602.2f,37.884729.2f,47.236599.2f,80.270206.2f,34.105550.2f,62.481545.2f,87.917595.2f,79.725261.2f,92.937301.2f,10.155109.2f,72.983607.2f,65.509506.2f,100.330646.2f,35.353785.2f,86.338263.2f,81.092098.2f,61.616010.2f,80.698716.2f,30.812928.2f,87.171123.2f,60.282389.2f,43.534878.2f,77.055593.2f,62.389650.2f,21.642662.2f,79.531805.2f,9.105064.2f,78.342871.2f,9.922031.2f,89.102710.2f,56.147190.2f,69.086528.2f,2.966978.2f,53.451484.2f,71.254209.2f,52.748085.2f
36.025486.2f,48.345338.2f,53.932406.2f,85.209370.2f,65.415307.2f,66.545589.2f,90.811165.2f,58.038380.2f,57.712590.2f,94.391818.2f,81.706880.2f,112.028699.2f,56.787852.2f,53.101198.2f,25.001446.2f,77.470202.2f,76.090751.2f,84.608106.2f,74.631709.2f,96.323476.2f,84.377192.2f,112.914543.2f,56.171057.2f,46.957541.2f,1.651643.2f,34.514597.2f,79.919828.2f,84.340429.2f,39.605737.2f,106.544796.2f,60.597109.2f,67.635691.2f,66.610006.2f,70.125711.2f,89.813106.2f,30.247339.2f,60.784014.2f,78.822062.2f,35.819750.2f,7.136747.2f
19.931929.2f,18.117476.2f,65.658207.2f,94.610040.2f,64.783551.2f,37.105798.2f,54.315104.2f,68.443868.2f,30.216093.2f,65.292968.2f,80.009322.2f,83.398620.2f,79.241925.2f,13.916784.2f,57.533181.2f,61.379365.2f,88.902633.2f,44.783808.2f,77.036194.2f,78.936530.2f,60.900887.2f,84.371025.2f,26.939887.2f,72.772721.2f,44.795675.2f,30.343780.2f,70.975724.2f,61.434808.2f,11.545954.2f,81.275793.2f,17.918686.2f,68.849929.2f,24.694741.2f,78.331777.2f,59.313953.2f,54.249886.2f,18.089905.2f,53.082893.2f,56.891783.2f,37.596619.2f
38.479618.2f,53.571726.2f,51.059845.2f,81.910755.2f,63.770727.2f,68.496046.2f,93.313953.2f,55.198619.2f,59.731860.2f,95.759401.2f,79.789391.2f,113.135287.2f,52.469843.2f,57.981042.2f,20.339943.2f,77.448056.2f,72.538982.2f,87.744550.2f,72.357306.2f,96.109666.2f,85.150883.2f,114.000580.2f,58.457838.2f,42.453560.2f,3.869956.2f,35.494539.2f,78.940429.2f,85.040759.2f,44.628026.2f,107.237162.2f,64.556751.2f,65.687940.2f,71.343918.2f,67.237137.2f,91.438361.2f,26.792095.2f,65.354809.2f,80.000115.2f,32.460672.2f,12.587437.2f
47.086126.2f,57.003091.2f,59.753456.2f,90.015334.2f,73.197308.2f,77.500228.2f,101.905397.2f,63.896013.2f,68.683725.2f,105.105754.2f,89.056022.2f,122.598790.2f,59.181604.2f,62.739011.2f,27.176409.2f,87.148830.2f,80.362582.2f,95.691617.2f,81.424182.2f,105.816444.2f,94.716709.2f,123.472169.2f,67.215239.2f,48.910736.2f,10.101616.2f,44.938859.2f,88.563003.2f,94.626834.2f,49.031469.2f,116.832307.2f,71.366977.2f,74.966558.2f,76.465039.2f,75.832200.2f,100.651356.2f,35.229930.2f,70.926892.2f,89.422466.2f,40.884604.2f,16.326393.2f
41.054492.2f,68.554370.2f,51.040730.2f,64.874688.2f,35.764976.2f,14.991763.2f,29.104295.2f,50.540376.2f,21.085716.2f,20.326082.2f,42.373300.2f,37.093563.2f,70.162844.2f,60.598629.2f,70.755440.2f,14.718168.2f,64.761326.2f,35.552663.2f,45.208482.2f,28.250458.2f,9.912853.2f,37.956096.2f,24.281930.2f,70.515620.2f,75.627318.2f,40.588649.2f,28.537480.2f,10.289682.2f,62.568801.2f,31.830191.2f,44.048943.2f,39.619634.2f,60.459652.2f,52.763372.2f,17.828164.2f,61.227035.2f,55.311392.2f,4.522576.2f,58.856684.2f,73.497122.2f
62.792873.2f,99.152784.2f,17.507342.2f,15.364931.2f,24.789953.2f,67.571827.2f,89.583045.2f,14.273128.2f,64.476457.2f,77.015175.2f,26.598659.2f,86.844665.2f,19.779083.2f,96.548022.2f,47.670332.2f,48.854358.2f,6.340277.2f,93.808394.2f,18.232611.2f,57.946889.2f,62.743195.2f,87.280640.2f,66.759661.2f,28.580149.2f,69.297791.2f,52.585599.2f,37.848575.2f,61.785541.2f,89.308638.2f,77.147402.2f,88.666982.2f,21.056151.2f,104.181098.2f,8.219455.2f,77.226083.2f,39.886353.2f,97.294336.2f,64.605988.2f,34.259707.2f,74.309145.2f
