32.473578.2f,39.348622.2f,94.894328.2f,39.891390.2f,66.818135.2f,43.111365.2f,51.496383.2f,75.917129.2f,83.253976.2f,5.435369.2f,26.624711.2f,72.355873.2f,50.200760.2f,47.072435.2f,68.394317.2f,44.152872.2f,23.959728.2f,52.670853.2f,59.010382.2f,39.911806.2f
43.226487.2f,48.851452.2f,101.193283.2f,48.702253.2f,72.677133.2f,52.765312.2f,59.144311.2f,79.050953.2f,89.798123.2f,8.182060.2f,34.511640.2f,78.480825.2f,60.901223.2f,44.402238.2f,78.920830.2f,37.351916.2f,27.873285.2f,63.398258.2f,69.714330.2f,37.358254.2f
47.028199.2f,29.035033.2f,32.763933.2f,26.025564.2f,15.995695.2f,27.277806.2f,13.643370.2f,37.907427.2f,21.240123.2f,64.781727.2f,38.463732.2f,15.886747.2f,41.665979.2f,61.178447.2f,39.010150.2f,77.194172.2f,46.877907.2f,43.221101.2f,42.925270.2f,59.802455.2f
41.856392.2f,44.731737.2f,94.619758.2f,43.909251.2f,66.025998.2f,48.764560.2f,53.397937.2f,71.788484.2f,83.347965.2f,6.314169.2f,29.342938.2f,71.903254.2f,58.955116.2f,37.621040.2f,76.208054.2f,32.671319.2f,21.082882.2f,61.595882.2f,67.724060.2f,30.497147.2f
41.318187.2f,48.426396.2f,102.534560.2f,48.723781.2f,74.157472.2f,52.233275.2f,59.812146.2f,81.485199.2f,91.022988.2f,8.876777.2f,34.961049.2f,79.865127.2f,59.149304.2f,48.070174.2f,77.499591.2f,41.384939.2f,29.777846.2f,61.560236.2f,67.943589.2f,40.976906.2f
41.703869.2f,23.128826.2f,39.761341.2f,18.769722.2f,14.766770.2f,22.809618.2f,4.971444.2f,34.843972.2f,27.953012.2f,55.008760.2f,29.043838.2f,18.426158.2f,40.497312.2f,51.183664.2f,42.770447.2f,66.737141.2f,36.455402.2f,42.601641.2f,43.891100.2f,49.437158.2f
66.409505.2f,48.088351.2f,13.790233.2f,44.389585.2f,15.799670.2f,46.715017.2f,30.710538.2f,29.351179.2f,2.092906.2f,80.096629.2f,54.752030.2f,9.728313.2f,61.022527.2f,66.572931.2f,55.685104.2f,84.756394.2f,60.237122.2f,62.400686.2f,61.438664.2f,67.284232.2f
23.716519.2f,41.209982.2f,99.770605.2f,46.361824.2f,78.689946.2f,41.127502.2f,59.087289.2f,96.901847.2f,88.588061.2f,51.127927.2f,47.211850.2f,81.800159.2f,27.325906.2f,86.444120.2f,43.301784.2f,88.884334.2f,57.415754.2f,27.162522.2f,31.800416.2f,79.984538.2f
31.368814.2f,39.477386.2f,96.079094.2f,40.370517.2f,68.174597.2f,43.130231.2f,52.373902.2f,77.833887.2f,84.388432.2f,8.022367.2f,27.617923.2f,73.628603.2f,49.212957.2f,49.658557.2f,67.649863.2f,46.700132.2f,26.014225.2f,51.612257.2f,58.001893.2f,42.502273.2f
71.615287.2f,53.990775.2f,10.657828.2f,51.043611.2f,26.152356.2f,51.935634.2f,38.041690.2f,39.243104.2f,9.028170.2f,88.759902.2f,62.821391.2f,20.195516.2f,63.697479.2f,77.258245.2f,55.106482.2f,95.314940.2f,69.519137.2f,64.641847.2f,62.615561.2f,77.798268.2f
11.436195.2f,21.981528.2f,82.868186.2f,24.789319.2f,56.992363.2f,24.909083.2f,38.453934.2f,71.510460.2f,71.052819.2f,24.676105.2f,18.381649.2f,61.589434.2f,29.064088.2f,56.041833.2f,47.435392.2f,59.522986.2f,27.044949.2f,31.544171.2f,37.873465.2f,49.609657.2f
22.543041.2f,5.000986.2f,58.977170.2f,0.895302.2f,33.911675.2f,7.938424.2f,14.679132.2f,51.192757.2f,47.167214.2f,39.741635.2f,13.999305.2f,38.038223.2f,26.650833.2f,51.012392.2f,37.302646.2f,61.911370.2f,26.395132.2f,29.359273.2f,33.147950.2f,46.709118.2f
21.047169.2f,34.282388.2f,94.794151.2f,36.858947.2f,68.302449.2f,37.191652.2f,50.321101.2f,81.282348.2f,82.971822.2f,20.547230.2f,27.954972.2f,73.165660.2f,38.708275.2f,59.512988.2f,57.757244.2f,59.000534.2f,32.294038.2f,40.804602.2f,47.273393.2f,52.544104.2f
25.421201.2f,13.593908.2f,56.708448.2f,16.238693.2f,38.228226.2f,9.507485.2f,20.507221.2f,59.076250.2f,45.666172.2f,53.984181.2f,30.019434.2f,40.076276.2f,16.938077.2f,67.049489.2f,21.041209.2f,78.495454.2f,42.895590.2f,18.672571.2f,19.703017.2f,63.099033.2f
