16.200286.2f,32.688821.2f,36.651685.2f,75.060485.2f,86.087683.2f,74.756205.2f,29.234599.2f,85.771416.2f,44.091246.2f,70.772929.2f,9.533427.2f,60.686424.2f,91.311846.2f,65.656643.2f,58.069936.2f,99.221057.2f,28.859123.2f,62.398446.2f,40.085727.2f,98.210118.2f,29.282331.2f,52.559992.2f,94.205791.2f,56.687036.2f,40.952283.2f,10.703733.2f,38.216731.2f,33.549388.2f,91.981610.2f,43.390102.2f,71.527001.2f,83.047902.2f,36.517124.2f,76.385236.2f,52.807083.2f,52.141050.2f,85.075082.2f,28.404671.2f,87.108168.2f,79.864495.2f,31.720650.2f,96.592648.2f,96.343049.2f,59.415236.2f,57.155405.2f,96.004766.2f,88.730819.2f,42.610015.2f,69.132495.2f,58.905439.2f
86.843411.2f,94.197876.2f,89.648339.2f,50.052030.2f,84.208226.2f,30.271547.2f,110.794791.2f,80.896309.2f,74.566152.2f,45.586997.2f,91.868201.2f,59.099795.2f,17.670732.2f,43.940285.2f,77.290482.2f,72.582191.2f,86.872056.2f,91.884476.2f,69.844859.2f,70.997270.2f,74.521569.2f,71.172783.2f,64.613305.2f,49.431253.2f,80.002391.2f,90.714956.2f,85.003233.2f,79.852931.2f,18.328269.2f,66.953574.2f,69.027416.2f,61.073469.2f,98.246903.2f,58.106544.2f,50.993320.2f,75.189562.2f,16.584299.2f,75.512268.2f,40.947667.2f,63.191226.2f,74.600985.2f,19.015331.2f,32.965821.2f,54.257606.2f,80.194066.2f,87.006452.2f,48.213384.2f,66.170182.2f,56.091323.2f,43.607870.2f
26.292360.2f,18.080399.2f,23.858012.2f,71.979338.2f,72.206155.2f,87.024475.2f,4.282682.2f,72.787451.2f,65.889233.2f,87.455560.2f,26.690985.2f,79.952470.2f,102.714509.2f,67.510085.2f,47.100340.2f,89.068950.2f,22.504432.2f,45.577835.2f,59.840642.2f,88.409860.2f,35.349086.2f,74.106241.2f,85.918258.2f,60.044398.2f,63.788128.2f,30.777519.2f,27.973176.2f,29.735963.2f,103.612759.2f,42.895861.2f,62.319297.2f,75.764161.2f,18.119614.2f,70.435696.2f,67.064794.2f,43.200644.2f,92.417812.2f,34.402400.2f,85.494535.2f,72.063923.2f,51.333367.2f,100.167964.2f,96.387008.2f,77.182929.2f,80.326806.2f,81.979935.2f,84.952835.2f,43.263919.2f,64.855543.2f,71.271708.2f
19.208353.2f,37.285746.2f,41.097248.2f,77.945037.2f,90.225735.2f,74.759026.2f,33.713413.2f,89.820514.2f,41.631087.2f,69.687200.2f,11.979013.2f,58.933658.2f,91.369642.2f,67.871244.2f,62.093984.2f,102.897412.2f,33.055183.2f,66.876879.2f,38.501104.2f,101.847703.2f,31.816427.2f,50.092702.2f,97.671802.2f,58.785011.2f,38.072961.2f,11.427820.2f,42.457532.2f,37.316227.2f,91.982655.2f,46.412008.2f,75.245660.2f,86.448342.2f,41.198015.2f,79.659536.2f,52.630528.2f,56.030051.2f,86.052149.2f,31.006635.2f,89.667906.2f,83.352391.2f,30.446631.2f,98.203710.2f,98.570733.2f,58.144632.2f,53.967699.2f,100.123914.2f,91.607819.2f,45.483093.2f,72.247214.2f,59.095362.2f
29.020302.2f,51.564050.2f,51.815684.2f,65.716071.2f,89.998537.2f,45.363705.2f,58.355859.2f,88.430191.2f,11.862464.2f,37.593328.2f,28.080518.2f,26.618537.2f,61.735123.2f,51.501916.2f,63.192571.2f,96.289121.2f,42.921334.2f,74.111528.2f,6.128705.2f,94.883697.2f,28.803379.2f,19.659539.2f,89.195785.2f,42.915244.2f,12.254709.2f,24.404799.2f,50.013625.2f,41.366272.2f,62.149075.2f,40.827442.2f,71.207225.2f,78.115236.2f,56.997183.2f,70.715760.2f,23.834351.2f,56.523516.2f,60.473705.2f,28.975878.2f,73.870211.2f,76.137882.2f,3.660115.2f,75.550498.2f,79.832416.2f,25.907245.2f,27.545488.2f,99.016992.2f,78.202572.2f,38.939044.2f,62.625850.2f,31.381445.2f
78.356064.2f,64.709234.2f,59.160219.2f,30.562329.2f,13.926389.2f,79.248849.2f,81.003022.2f,11.308198.2f,101.359661.2f,94.049154.2f,85.624705.2f,99.320251.2f,83.717540.2f,45.785409.2f,35.797902.2f,7.332612.2f,64.952089.2f,39.237281.2f,92.295291.2f,7.486201.2f,67.845288.2f,104.683150.2f,11.022129.2f,51.562091.2f,104.225087.2f,87.995491.2f,56.100023.2f,59.926236.2f,84.988170.2f,52.928415.2f,22.116392.2f,16.127924.2f,64.363777.2f,22.864762.2f,79.124397.2f,41.309532.2f,65.430165.2f,68.318133.2f,34.236221.2f,16.720169.2f,89.417524.2f,56.305359.2f,42.978566.2f,92.922488.2f,115.660036.2f,12.095916.2f,26.818653.2f,54.523282.2f,30.508211.2f,74.748626.2f
18.755778.2f,38.573040.2f,38.031016.2f,53.371965.2f,75.518451.2f,44.563089.2f,48.309641.2f,74.062245.2f,25.976362.2f,42.544114.2f,21.450080.2f,35.576798.2f,61.082687.2f,40.438541.2f,48.476179.2f,82.841334.2f,29.557324.2f,59.457800.2f,17.389043.2f,81.501152.2f,14.336368.2f,32.606507.2f,76.113462.2f,31.325691.2f,26.995597.2f,19.594296.2f,35.783908.2f,27.026914.2f,61.771263.2f,26.286761.2f,57.027966.2f,64.865273.2f,44.063558.2f,57.506771.2f,22.895559.2f,41.796660.2f,55.467359.2f,14.657916.2f,63.019125.2f,62.603675.2f,11.247073.2f,68.413292.2f,70.438250.2f,32.271922.2f,41.796246.2f,84.680436.2f,66.475556.2f,24.456441.2f,49.441824.2f,28.664195.2f
26.835435.2f,33.967982.2f,30.572702.2f,34.208892.2f,57.118308.2f,41.320865.2f,49.445824.2f,55.384561.2f,42.825452.2f,47.015251.2f,33.263572.2f,45.797471.2f,55.969606.2f,22.939984.2f,31.810140.2f,63.354880.2f,25.724541.2f,45.070400.2f,33.652693.2f,62.003626.2f,13.663706.2f,47.519032.2f,56.610978.2f,13.950731.2f,45.164852.2f,33.725748.2f,26.498278.2f,19.222432.2f,56.962848.2f,9.459384.2f,38.041499.2f,45.356184.2f,38.794598.2f,38.000808.2f,26.319460.2f,25.602350.2f,44.994764.2f,14.621670.2f,44.922788.2f,43.126342.2f,30.143225.2f,54.302880.2f,53.644175.2f,40.375418.2f,58.012785.2f,65.922088.2f,47.603785.2f,7.542985.2f,29.944667.2f,27.027435.2f
34.944248.2f,53.720371.2f,52.333124.2f,54.423934.2f,82.587670.2f,30.825308.2f,64.469897.2f,80.587347.2f,18.920965.2f,26.381613.2f,36.958120.2f,20.402713.2f,47.384084.2f,39.320787.2f,57.951861.2f,86.082700.2f,44.580866.2f,70.846684.2f,10.940388.2f,84.579196.2f,28.525340.2f,21.729460.2f,78.476627.2f,31.710929.2f,23.076199.2f,34.343221.2f,49.344597.2f,40.664885.2f,47.895704.2f,35.366019.2f,63.063222.2f,67.830114.2f,59.168632.2f,60.512918.2f,8.880477.2f,51.666143.2f,45.512316.2f,29.163769.2f,60.968056.2f,66.389914.2f,14.856316.2f,60.852117.2f,65.934471.2f,16.240917.2f,32.613575.2f,90.925088.2f,65.999147.2f,33.376901.2f,52.594163.2f,16.399802.2f
64.867140.2f,46.166442.2f,41.413998.2f,39.290595.2f,11.167438.2f,85.193317.2f,60.198948.2f,13.351571.2f,96.064513.2f,96.931521.2f,71.680725.2f,98.723483.2f,93.825625.2f,50.208598.2f,22.270635.2f,31.963958.2f,49.268712.2f,16.774932.2f,86.940056.2f,32.101438.2f,57.456484.2f,101.154616.2f,33.436402.2f,51.865668.2f,97.711058.2f,74.874111.2f,39.856085.2f,46.435994.2f,95.087112.2f,44.859773.2f,20.594563.2f,29.691312.2f,44.297269.2f,31.151701.2f,78.393649.2f,28.959851.2f,76.286916.2f,57.594143.2f,49.596182.2f,26.654358.2f,81.992691.2f,72.112427.2f,60.752768.2f,92.811818.2f,111.531419.2f,20.042782.2f,43.815739.2f,46.824099.2f,34.293528.2f,76.217854.2f
42.240063.2f,22.573816.2f,17.855537.2f,40.920971.2f,32.933213.2f,76.157063.2f,37.708259.2f,33.479062.2f,77.189732.2f,84.390253.2f,48.723151.2f,83.211105.2f,88.182778.2f,44.501860.2f,11.358099.2f,50.309009.2f,26.162062.2f,8.390006.2f,68.373267.2f,49.815357.2f,37.042914.2f,83.336438.2f,48.257343.2f,41.806533.2f,77.985111.2f,52.177447.2f,16.916677.2f,24.744097.2f,89.355874.2f,28.190034.2f,25.505409.2f,39.474715.2f,21.201630.2f,36.086540.2f,63.947985.2f,13.445989.2f,72.781726.2f,36.930260.2f,54.397493.2f,35.605568.2f,62.217811.2f,74.156599.2f,66.201794.2f,77.972603.2f,92.988329.2f,42.778472.2f,51.409854.2f,30.096687.2f,33.596726.2f,63.859929.2f
