77.033940.2f,23.415304.2f,77.303295.2f,60.217701.2f,43.147312.2f,15.407784.2f,50.737799.2f,32.891393.2f,46.863431.2f,21.323795.2f,78.597248.2f,51.117348.2f,44.763303.2f,87.480569.2f,34.119396.2f,33.276725.2f,9.573851.2f,4.226274.2f,45.734718.2f,71.531031.2f
81.053189.2f,25.263451.2f,60.845004.2f,36.933290.2f,68.351243.2f,35.733446.2f,30.068094.2f,35.749667.2f,55.581123.2f,39.220563.2f,56.942416.2f,54.721773.2f,62.416384.2f,94.331773.2f,7.231660.2f,63.135333.2f,39.831756.2f,29.106834.2f,39.197402.2f,63.100619.2f
25.826204.2f,74.039149.2f,43.483150.2f,66.749826.2f,82.877699.2f,110.645898.2f,66.091210.2f,62.851118.2f,51.548776.2f,116.515538.2f,57.900121.2f,44.858345.2f,64.686465.2f,31.264186.2f,85.342689.2f,98.559846.2f,101.859153.2f,98.535280.2f,53.168421.2f,29.754135.2f
64.794372.2f,57.691348.2f,14.006785.2f,21.505022.2f,95.110527.2f,90.987017.2f,29.497991.2f,54.230098.2f,62.460427.2f,95.689667.2f,1.540117.2f,54.184149.2f,78.872108.2f,78.434813.2f,51.401911.2f,101.509193.2f,89.184901.2f,80.616464.2f,40.217004.2f,32.971117.2f
29.222459.2f,41.691765.2f,24.656998.2f,37.106467.2f,63.778286.2f,79.039565.2f,33.869273.2f,31.637022.2f,28.948131.2f,84.779392.2f,37.046299.2f,19.989087.2f,45.730684.2f,43.562070.2f,51.741497.2f,74.959926.2f,71.922562.2f,66.981351.2f,19.774546.2f,7.868804.2f
81.715220.2f,34.691989.2f,51.021628.2f,24.637830.2f,80.288885.2f,52.411958.2f,21.796974.2f,41.819257.2f,60.857132.2f,55.716837.2f,44.012467.2f,57.529086.2f,71.204908.2f,95.811638.2f,12.917834.2f,77.701146.2f,56.038713.2f,45.450937.2f,39.095655.2f,58.110051.2f
82.795819.2f,26.587208.2f,79.171879.2f,60.028119.2f,50.317837.2f,10.933180.2f,51.005808.2f,37.336034.2f,52.877835.2f,16.526545.2f,79.139137.2f,56.429907.2f,51.790033.2f,93.704559.2f,31.906762.2f,39.472356.2f,13.092656.2f,3.088463.2f,48.978942.2f,75.064411.2f
44.147394.2f,14.602911.2f,47.085431.2f,40.557441.2f,41.726769.2f,50.244859.2f,31.346189.2f,2.748535.2f,17.312050.2f,56.110428.2f,53.184372.2f,17.242326.2f,28.247596.2f,56.574471.2f,34.274855.2f,47.884220.2f,42.283484.2f,38.131279.2f,13.937604.2f,37.197608.2f
71.739118.2f,27.519275.2f,43.541785.2f,18.840853.2f,73.074543.2f,52.222238.2f,12.954687.2f,32.925230.2f,51.415126.2f,56.371497.2f,38.851154.2f,47.707335.2f,62.652930.2f,85.837551.2f,11.219601.2f,72.455551.2f,53.369767.2f,43.379445.2f,29.139253.2f,48.750295.2f
29.175896.2f,35.136199.2f,56.590510.2f,58.941481.2f,31.916526.2f,64.479549.2f,50.957169.2f,24.547325.2f,5.268855.2f,70.329953.2f,66.778242.2f,13.106386.2f,13.370231.2f,38.274793.2f,56.369089.2f,46.364778.2f,53.185537.2f,53.122282.2f,30.082980.2f,40.106011.2f
98.977051.2f,43.952878.2f,96.167056.2f,75.720021.2f,59.305379.2f,6.623326.2f,67.199541.2f,54.468059.2f,68.749403.2f,1.010063.2f,95.291720.2f,73.081060.2f,65.055813.2f,109.151899.2f,46.244207.2f,43.770542.2f,18.843365.2f,18.736110.2f,66.354239.2f,92.438221.2f
67.502845.2f,20.585655.2f,44.682487.2f,22.702461.2f,66.148731.2f,47.571498.2f,14.250542.2f,26.450147.2f,45.460280.2f,52.130475.2f,42.185802.2f,42.478258.2f,56.021550.2f,81.354907.2f,9.298672.2f,65.691877.2f,47.503508.2f,37.908297.2f,24.738510.2f,47.020957.2f
91.596002.2f,35.319037.2f,87.108120.2f,66.736051.2f,56.221300.2f,4.182084.2f,58.142118.2f,46.213025.2f,61.581395.2f,8.121283.2f,86.249739.2f,65.299921.2f,59.574345.2f,102.328997.2f,37.458076.2f,42.957670.2f,15.807883.2f,11.012477.2f,57.603255.2f,83.715210.2f
66.765049.2f,47.277531.2f,21.692810.2f,8.291601.2f,88.196530.2f,78.535358.2f,17.598507.2f,46.063164.2f,58.026384.2f,83.014754.2f,12.066415.2f,50.761928.2f,73.435142.2f,81.028797.2f,38.217514.2f,92.432323.2f,77.777868.2f,68.666545.2f,33.666005.2f,36.229745.2f
89.747715.2f,31.103545.2f,74.808421.2f,51.468911.2f,66.879503.2f,23.482352.2f,44.238065.2f,42.918791.2f,61.786636.2f,25.817363.2f,71.464893.2f,62.861597.2f,64.970038.2f,102.181137.2f,21.549621.2f,57.700583.2f,31.413736.2f,21.157383.2f,50.072979.2f,75.343501.2f
8.306230.2f,62.294527.2f,59.325219.2f,73.314840.2f,54.932025.2f,94.089628.2f,68.286206.2f,50.553103.2f,32.118717.2f,99.955220.2f,73.118252.2f,30.967026.2f,38.619159.2f,8.804507.2f,80.639996.2f,72.759682.2f,82.799514.2f,82.595065.2f,48.523849.2f,39.967227.2f
72.221413.2f,53.601408.2f,98.944698.2f,92.214710.2f,14.399017.2f,52.171921.2f,82.427869.2f,52.884432.2f,48.563789.2f,55.855041.2f,106.019506.2f,57.386995.2f,32.813142.2f,75.688565.2f,74.261201.2f,11.979526.2f,39.100976.2f,47.983920.2f,66.643663.2f,85.007814.2f
31.922769.2f,34.119145.2f,28.532533.2f,34.852443.2f,58.025664.2f,71.425603.2f,29.772524.2f,24.013498.2f,23.725378.2f,77.177820.2f,38.906462.2f,15.056896.2f,40.534243.2f,46.270856.2f,45.473652.2f,68.160309.2f,64.310099.2f,59.358201.2f,12.644886.2f,15.110162.2f
86.171958.2f,29.839013.2f,82.037735.2f,62.330414.2f,52.663748.2f,8.026809.2f,53.489210.2f,40.690461.2f,56.230079.2f,13.341761.2f,81.632922.2f,59.813608.2f,54.837182.2f,97.038029.2f,33.631881.2f,40.852539.2f,13.774627.2f,5.894618.2f,52.175196.2f,78.278331.2f
47.421880.2f,12.278461.2f,52.028469.2f,44.021590.2f,38.129762.2f,45.854295.2f,34.479761.2f,4.331654.2f,18.710701.2f,51.752768.2f,57.638459.2f,20.778470.2f,26.424858.2f,59.219142.2f,34.102769.2f,43.087247.2f,37.382843.2f,33.785706.2f,18.756711.2f,42.267787.2f
21.728533.2f,37.097408.2f,45.308862.2f,51.531448.2f,44.265074.2f,71.048534.2f,44.889935.2f,25.250459.2f,10.283573.2f,76.966542.2f,56.574146.2f,5.443174.2f,25.749305.2f,34.207359.2f,55.202526.2f,57.882588.2f,61.132538.2f,59.132644.2f,24.050361.2f,27.956732.2f
54.000912.2f,68.413969.2f,96.427794.2f,99.308158.2f,27.733660.2f,82.189502.2f,90.774539.2f,61.437776.2f,45.837256.2f,86.912560.2f,107.395278.2f,53.613416.2f,31.638726.2f,51.103296.2f,91.281793.2f,45.083548.2f,68.548266.2f,74.567552.2f,70.465784.2f,78.398528.2f
63.058437.2f,56.008782.2f,95.481415.2f,92.286074.2f,10.335748.2f,62.009440.2f,82.831332.2f,52.505696.2f,43.421964.2f,66.281575.2f,104.087916.2f,52.364885.2f,26.587581.2f,64.868866.2f,78.167468.2f,23.186109.2f,48.460044.2f,55.952517.2f,64.855739.2f,79.847644.2f
66.121743.2f,47.690593.2f,20.660859.2f,9.082553.2f,88.275686.2f,79.251118.2f,18.140053.2f,46.215096.2f,57.846293.2f,83.767747.2f,11.090498.2f,50.481497.2f,73.364842.2f,80.360601.2f,39.054242.2f,92.731908.2f,78.344099.2f,69.303312.2f,33.610262.2f,35.443468.2f
37.222235.2f,24.890094.2f,34.934609.2f,34.177272.2f,51.735486.2f,62.109475.2f,26.847322.2f,14.720643.2f,19.720493.2f,67.877892.2f,42.870470.2f,13.289022.2f,35.492200.2f,51.047447.2f,38.412879.2f,60.171263.2f,55.017541.2f,50.030744.2f,5.890725.2f,24.287927.2f
89.220244.2f,34.647057.2f,87.663149.2f,68.472759.2f,51.526260.2f,3.272569.2f,59.518556.2f,44.854099.2f,59.008089.2f,9.135142.2f,87.658046.2f,63.326585.2f,55.842782.2f,99.489639.2f,39.918245.2f,37.818700.2f,10.815320.2f,9.181102.2f,57.105509.2f,83.115115.2f
77.437042.2f,33.490690.2f,45.814585.2f,19.519745.2f,79.158485.2f,55.048290.2f,16.777566.2f,39.317180.2f,57.773848.2f,58.730663.2f,39.105380.2f,53.878484.2f,69.023373.2f,91.630485.2f,14.052828.2f,77.838053.2f,57.522714.2f,47.178454.2f,35.111446.2f,53.116309.2f
32.517496.2f,41.312841.2f,65.741576.2f,68.093057.2f,25.456558.2f,66.351763.2f,59.873423.2f,31.972007.2f,14.437089.2f,72.029049.2f,76.130602.2f,22.383006.2f,8.123672.2f,38.321075.2f,63.510685.2f,42.332172.2f,54.000602.2f,55.768269.2f,39.209287.2f,48.718302.2f
63.678633.2f,25.307206.2f,36.577727.2f,15.034599.2f,69.479693.2f,55.585719.2f,5.994201.2f,27.758151.2f,44.899513.2f,60.263261.2f,34.053447.2f,40.385509.2f,57.453474.2f,77.864871.2f,17.046211.2f,71.012097.2f,54.706005.2f,45.526351.2f,21.439013.2f,40.466155.2f
57.714331.2f,17.772566.2f,38.553308.2f,22.073882.2f,60.949858.2f,51.542932.2f,12.170433.2f,19.138365.2f,36.776679.2f,56.675806.2f,39.113289.2f,33.029789.2f,48.868156.2f,71.613389.2f,18.517356.2f,63.208863.2f,48.854364.2f,40.569274.2f,14.937010.2f,38.104011.2f
