62.283751.2f,40.327772.2f,26.708760.2f,96.537644.2f,23.379278.2f,46.311378.2f,64.122190.2f,38.816345.2f,59.143540.2f,81.028657.2f,6.431666.2f,7.333977.2f,54.065822.2f,84.330068.2f,24.133179.2f,79.555629.2f,43.896534.2f,17.590855.2f,44.951960.2f,103.085191.2f,82.232821.2f,69.809084.2f,44.016502.2f,23.022987.2f,24.688592.2f,81.274586.2f,85.944826.2f,31.815014.2f,48.855259.2f,57.059448.2f
77.591091.2f,42.299154.2f,97.542162.2f,23.315850.2f,62.065741.2f,41.640578.2f,23.292969.2f,64.537724.2f,85.301005.2f,18.135379.2f,88.510457.2f,89.677046.2f,66.280392.2f,90.032515.2f,71.069871.2f,26.181304.2f,79.609626.2f,69.015183.2f,82.143615.2f,26.040727.2f,0.244925.2f,72.756074.2f,49.746200.2f,87.174031.2f,69.956896.2f,89.207874.2f,23.854674.2f,96.631361.2f,36.628444.2f,75.147462.2f
48.074177.2f,55.605109.2f,3.341225.2f,104.614726.2f,47.797769.2f,67.946472.2f,82.615043.2f,66.055982.2f,41.151253.2f,89.438174.2f,28.938830.2f,27.942403.2f,45.582856.2f,67.589454.2f,51.871239.2f,85.439715.2f,28.742587.2f,43.969032.2f,28.122074.2f,111.864249.2f,95.896382.2f,58.105470.2f,48.136736.2f,9.024758.2f,52.271392.2f,64.374168.2f,92.582531.2f,4.145690.2f,68.684255.2f,43.889004.2f
35.045863.2f,19.287788.2f,48.426762.2f,58.211165.2f,34.681441.2f,37.391835.2f,43.162786.2f,52.174592.2f,39.184073.2f,42.950295.2f,48.436546.2f,49.066911.2f,22.303188.2f,55.255567.2f,46.519455.2f,39.393149.2f,29.582302.2f,38.604158.2f,32.158517.2f,65.405885.2f,50.696018.2f,36.805670.2f,1.937951.2f,37.899967.2f,45.869569.2f,52.971757.2f,46.387895.2f,46.376505.2f,34.417984.2f,30.541264.2f
55.598230.2f,16.084003.2f,69.798093.2f,40.867026.2f,38.422236.2f,25.362654.2f,20.995130.2f,47.758921.2f,61.679565.2f,25.713112.2f,62.380744.2f,63.430208.2f,43.076193.2f,72.445732.2f,49.346074.2f,26.817783.2f,53.582731.2f,44.951017.2f,56.157439.2f,47.100090.2f,27.503310.2f,53.728173.2f,23.261730.2f,59.427455.2f,48.330538.2f,70.837253.2f,31.685097.2f,68.955515.2f,19.957112.2f,52.050498.2f
25.691866.2f,53.442418.2f,72.687597.2f,53.010010.2f,71.917235.2f,70.177196.2f,67.366559.2f,88.583008.2f,35.642266.2f,44.210898.2f,82.343144.2f,82.626834.2f,24.158596.2f,29.219448.2f,83.773638.2f,36.089781.2f,41.427467.2f,75.738282.2f,42.779142.2f,59.983963.2f,61.095545.2f,15.722349.2f,35.687140.2f,63.706145.2f,83.120063.2f,28.963616.2f,41.722090.2f,67.463769.2f,65.605902.2f,27.435683.2f
25.383285.2f,29.181715.2f,49.005119.2f,59.263170.2f,43.961331.2f,47.268690.2f,51.420359.2f,62.031873.2f,30.622550.2f,44.875600.2f,54.094353.2f,54.501823.2f,12.553869.2f,45.214903.2f,55.579382.2f,39.652205.2f,23.979664.2f,47.223738.2f,26.450925.2f,66.684310.2f,55.639472.2f,26.788552.2f,9.332666.2f,38.841258.2f,55.009016.2f,42.953845.2f,46.895530.2f,45.534810.2f,44.015801.2f,21.246690.2f
47.795593.2f,6.742800.2f,51.697668.2f,58.291722.2f,24.465608.2f,24.679501.2f,33.204851.2f,40.053394.2f,51.291122.2f,42.774108.2f,44.633385.2f,45.586660.2f,35.120042.2f,68.089936.2f,36.416640.2f,41.642993.2f,39.990890.2f,29.807029.2f,42.502107.2f,64.915704.2f,45.751179.2f,49.556935.2f,13.696051.2f,41.481896.2f,35.602893.2f,65.824056.2f,47.794908.2f,51.405844.2f,22.215164.2f,43.144619.2f
80.164928.2f,26.311909.2f,70.576334.2f,69.883932.2f,23.395382.2f,9.323916.2f,25.481020.2f,15.960745.2f,82.906680.2f,57.064334.2f,50.773817.2f,52.212938.2f,67.570519.2f,100.538050.2f,26.191054.2f,60.499617.2f,70.035154.2f,29.061538.2f,72.345892.2f,74.253245.2f,48.504902.2f,81.913209.2f,46.088128.2f,62.595772.2f,25.115656.2f,98.299172.2f,63.901070.2f,73.249003.2f,14.772112.2f,75.376403.2f
57.511765.2f,16.742607.2f,71.221691.2f,40.406573.2f,38.713580.2f,24.509438.2f,19.134928.2f,47.244102.2f,63.593906.2f,25.482572.2f,63.211728.2f,64.288608.2f,44.994178.2f,74.280488.2f,49.411503.2f,27.179304.2f,55.423481.2f,45.346815.2f,57.998972.2f,46.460900.2f,26.097721.2f,55.581813.2f,25.112110.2f,60.888723.2f,48.377710.2f,72.692162.2f,31.685930.2f,70.503465.2f,18.994552.2f,53.968643.2f
26.162266.2f,54.274759.2f,26.193586.2f,92.616818.2f,55.990721.2f,70.591299.2f,80.802965.2f,76.033120.2f,18.360754.2f,78.533356.2f,47.280063.2f,46.734575.2f,27.421011.2f,44.745794.2f,63.928504.2f,72.926234.2f,9.855017.2f,54.837146.2f,7.692973.2f,100.073929.2f,88.800808.2f,36.725013.2f,39.423787.2f,21.741978.2f,63.954861.2f,41.530378.2f,80.158323.2f,19.386926.2f,69.469636.2f,22.837983.2f
