31.978723.2f,74.068309.2f,30.038191.2f,65.500364.2f,67.130945.2f,25.368453.2f,21.689550.2f,71.852245.2f,79.006284.2f,68.172321.2f
45.344113.2f,36.338894.2f,14.002460.2f,40.432153.2f,62.675198.2f,19.295578.2f,49.036245.2f,32.697775.2f,43.710805.2f,25.274697.2f
77.374123.2f,45.358345.2f,60.557797.2f,39.537510.2f,97.879372.2f,65.833926.2f,86.937763.2f,41.307040.2f,20.127528.2f,24.017880.2f
65.101376.2f,17.192628.2f,31.115546.2f,50.013066.2f,60.137514.2f,35.905641.2f,69.079056.2f,12.970672.2f,44.352437.2f,14.343442.2f
37.818034.2f,46.860112.2f,23.614558.2f,26.298454.2f,76.987782.2f,28.039109.2f,45.297674.2f,42.533098.2f,33.604440.2f,27.494505.2f
90.103443.2f,9.282827.2f,52.109507.2f,75.225943.2f,53.152551.2f,55.661540.2f,92.305329.2f,14.006181.2f,65.682859.2f,35.263370.2f
68.948032.2f,13.151405.2f,31.734743.2f,57.567082.2f,52.563699.2f,35.847390.2f,71.476276.2f,10.799915.2f,52.428983.2f,22.115114.2f
29.496984.2f,60.048813.2f,15.189242.2f,52.377910.2f,63.885958.2f,11.755763.2f,26.117616.2f,57.379884.2f,64.023532.2f,52.273550.2f
88.496985.2f,45.627157.2f,68.778876.2f,51.068934.2f,100.464224.2f,74.070564.2f,97.615996.2f,42.387590.2f,31.267836.2f,30.162483.2f
68.656244.2f,54.876949.2f,59.442175.2f,27.345426.2f,103.688750.2f,64.485318.2f,79.575945.2f,50.362973.2f,6.780753.2f,29.745651.2f
76.071692.2f,65.258432.2f,70.523466.2f,32.627729.2f,115.120988.2f,75.479861.2f,87.834040.2f,60.895309.2f,14.623130.2f,40.902543.2f
78.866411.2f,18.609273.2f,48.814774.2f,53.734576.2f,73.155857.2f,53.800507.2f,84.706175.2f,15.066512.2f,40.966751.2f,14.087985.2f
23.905988.2f,57.799073.2f,18.659139.2f,36.262185.2f,74.801116.2f,20.032545.2f,28.684084.2f,54.140470.2f,49.117069.2f,43.260610.2f
28.044927.2f,64.367626.2f,19.551240.2f,54.977666.2f,65.666016.2f,15.742063.2f,22.826826.2f,61.763453.2f,67.528451.2f,56.665185.2f
81.824175.2f,24.186592.2f,41.323162.2f,79.044089.2f,31.380264.2f,42.966615.2f,80.707306.2f,26.872918.2f,75.325806.2f,44.930194.2f
18.837488.2f,80.934986.2f,36.186268.2f,58.651333.2f,81.121186.2f,32.976226.2f,6.861868.2f,78.013181.2f,74.973961.2f,70.225541.2f
58.912064.2f,45.195726.2f,45.565293.2f,23.895292.2f,90.729056.2f,50.656371.2f,68.596857.2f,40.448641.2f,12.676344.2f,18.899807.2f
26.265199.2f,67.606927.2f,38.828510.2f,17.751422.2f,95.062085.2f,41.390508.2f,38.524805.2f,63.147628.2f,36.422951.2f,45.656754.2f
79.902162.2f,54.913988.2f,67.458576.2f,38.841633.2f,107.141415.2f,72.663489.2f,90.479314.2f,50.854652.2f,18.254691.2f,32.860901.2f
78.729655.2f,33.467582.2f,55.546468.2f,46.099299.2f,87.265341.2f,60.814575.2f,86.713394.2f,29.690681.2f,29.466846.2f,16.591287.2f
75.854802.2f,7.808469.2f,41.001089.2f,58.257192.2f,60.191742.2f,45.485663.2f,79.700714.2f,3.029963.2f,49.393490.2f,18.521933.2f
80.011773.2f,25.624642.2f,52.913441.2f,51.119579.2f,80.176762.2f,58.061388.2f,86.867527.2f,22.139532.2f,36.303478.2f,14.923885.2f
88.486958.2f,23.886641.2f,58.982627.2f,60.476533.2f,79.425700.2f,63.938029.2f,94.709958.2f,21.962150.2f,45.110773.2f,23.204256.2f
52.909775.2f,42.780909.2f,14.815333.2f,63.569618.2f,41.744054.2f,13.415159.2f,49.829177.2f,41.638056.2f,68.321077.2f,45.810498.2f
50.643929.2f,61.073526.2f,50.427858.2f,8.144307.2f,101.868852.2f,54.781633.2f,62.493887.2f,56.286652.2f,12.515589.2f,34.989981.2f
46.950251.2f,72.931232.2f,56.542968.2f,7.526496.2f,110.606672.2f,60.207280.2f,60.046196.2f,68.151013.2f,23.125072.2f,47.138478.2f
89.405806.2f,8.498424.2f,51.501883.2f,74.440051.2f,53.347091.2f,55.091933.2f,91.669441.2f,13.219960.2f,64.929669.2f,34.487745.2f
1.518352.2f,80.678550.2f,39.916253.2f,42.323225.2f,93.241410.2f,39.248719.2f,15.026289.2f,76.905850.2f,60.985234.2f,64.020003.2f
22.081829.2f,60.336164.2f,18.620175.2f,40.424223.2f,73.660217.2f,18.732717.2f,24.938918.2f,56.889813.2f,53.719654.2f,47.192228.2f
36.031521.2f,45.659370.2f,12.085422.2f,37.299808.2f,67.274040.2f,16.363076.2f,40.015679.2f,42.016903.2f,45.010720.2f,32.640964.2f
