31.955554.2f,22.534593.2f,40.975320.2f,37.133632.2f,6.068703.2f,35.290591.2f,34.398929.2f,22.827557.2f,19.766820.2f,41.583310.2f
74.126671.2f,22.939948.2f,38.294767.2f,78.885689.2f,37.481539.2f,63.450407.2f,60.350965.2f,45.895313.2f,54.304055.2f,64.728428.2f
40.167508.2f,27.898722.2f,18.367841.2f,42.773877.2f,30.850793.2f,65.750125.2f,13.209414.2f,7.802775.2f,50.061064.2f,16.860442.2f
65.577414.2f,46.241386.2f,72.689792.2f,70.799423.2f,38.217915.2f,23.053095.2f,74.807609.2f,61.813791.2f,28.567292.2f,81.889302.2f
52.178902.2f,30.512654.2f,56.510578.2f,57.522113.2f,21.223931.2f,23.859352.2f,57.989272.2f,44.789734.2f,18.364761.2f,65.004550.2f
16.504698.2f,37.547749.2f,41.476175.2f,19.825695.2f,27.625884.2f,51.678391.2f,17.824026.2f,18.493939.2f,36.566634.2f,24.581349.2f
70.980470.2f,58.760957.2f,85.015479.2f,75.931977.2f,48.938857.2f,22.558094.2f,84.508109.2f,72.454865.2f,34.318341.2f,91.733071.2f
66.525219.2f,28.287358.2f,9.397064.2f,69.717067.2f,43.152919.2f,79.254338.2f,40.120438.2f,31.579513.2f,65.193124.2f,41.060190.2f
14.164230.2f,62.519490.2f,71.681760.2f,13.800391.2f,47.052106.2f,47.867257.2f,46.101789.2f,48.502628.2f,39.396899.2f,51.243050.2f
73.649873.2f,44.434570.2f,70.707318.2f,78.980205.2f,41.295016.2f,35.408279.2f,78.030568.2f,63.887358.2f,37.977384.2f,84.759908.2f
57.259004.2f,45.479751.2f,71.207037.2f,62.379934.2f,34.183177.2f,13.660126.2f,69.490359.2f,57.569875.2f,20.109129.2f,76.717084.2f
28.223354.2f,62.034154.2f,55.453829.2f,25.164629.2f,55.019825.2f,76.520714.2f,25.068121.2f,38.491414.2f,62.577512.2f,24.307738.2f
57.514002.2f,42.236874.2f,68.220552.2f,62.724823.2f,31.917531.2f,16.903250.2f,67.902647.2f,55.488558.2f,20.475208.2f,75.072344.2f
86.053218.2f,54.817277.2f,80.455429.2f,91.376611.2f,53.431260.2f,45.484091.2f,89.938945.2f,75.542891.2f,50.018847.2f,96.537249.2f
60.157122.2f,37.601539.2f,11.675412.2f,62.194762.2f,47.589426.2f,84.019252.2f,29.359574.2f,27.807469.2f,68.701190.2f,27.621599.2f
53.417195.2f,6.666367.2f,33.056052.2f,58.323303.2f,16.438152.2f,47.028554.2f,44.428176.2f,29.376910.2f,35.215111.2f,50.194858.2f
41.544592.2f,10.339626.2f,30.755525.2f,46.331844.2f,8.068751.2f,44.489035.2f,33.724093.2f,19.070274.2f,30.106229.2f,40.105568.2f
14.582602.2f,44.548371.2f,57.625479.2f,19.628925.2f,28.378862.2f,35.061967.2f,38.087098.2f,34.910557.2f,22.721637.2f,44.815040.2f
59.284998.2f,20.928535.2f,47.227451.2f,64.538060.2f,22.023079.2f,39.144338.2f,56.618755.2f,41.853215.2f,31.573877.2f,62.918222.2f
46.741965.2f,70.602102.2f,90.410835.2f,49.617463.2f,53.637507.2f,25.497160.2f,74.362998.2f,69.350140.2f,32.494366.2f,81.113455.2f
78.266702.2f,60.411512.2f,86.939346.2f,83.343865.2f,52.912581.2f,31.034569.2f,89.390992.2f,76.518222.2f,41.164271.2f,96.507549.2f
19.593932.2f,66.872349.2f,66.730896.2f,14.434691.2f,55.648771.2f,68.495975.2f,36.379697.2f,45.949122.2f,56.739592.2f,38.432801.2f
50.772496.2f,26.185868.2f,52.191684.2f,56.118286.2f,17.625065.2f,27.278472.2f,54.523006.2f,40.992042.2f,19.422852.2f,61.447294.2f
44.585158.2f,49.722679.2f,72.565988.2f,49.277961.2f,34.068506.2f,4.930120.2f,63.514505.2f,54.455866.2f,12.282932.2f,70.774493.2f
24.834504.2f,30.982324.2f,47.271556.2f,30.158313.2f,14.463561.2f,32.708799.2f,34.930561.2f,26.518796.2f,17.116605.2f,42.212330.2f
80.727331.2f,58.948935.2f,85.442628.2f,85.899719.2f,53.057642.2f,35.039769.2f,89.870763.2f,76.490734.2f,43.575385.2f,96.876865.2f
