58.053999.2f,76.051583.2f,57.518638.2f,28.061350.2f,6.434562.2f,57.326045.2f,55.056328.2f,74.916463.2f,74.402268.2f,56.798810.2f
72.929299.2f,28.903210.2f,95.532585.2f,69.335585.2f,64.721282.2f,82.567345.2f,66.307462.2f,27.897741.2f,35.273468.2f,78.559241.2f
22.949455.2f,77.564348.2f,49.681256.2f,38.589823.2f,55.027289.2f,34.141854.2f,17.134304.2f,31.481857.2f,25.054588.2f,29.761356.2f
76.630042.2f,19.986859.2f,94.850268.2f,64.605179.2f,52.875716.2f,84.400032.2f,70.126190.2f,44.201655.2f,50.123551.2f,80.952242.2f
32.303452.2f,65.708803.2f,49.291742.2f,22.720040.2f,31.091897.2f,38.753633.2f,26.409085.2f,40.562595.2f,38.441680.2f,35.577091.2f
100.534684.2f,86.204723.2f,97.404774.2f,70.445518.2f,46.554327.2f,99.415253.2f,97.359848.2f,108.351458.2f,110.020581.2f,99.152638.2f
22.790415.2f,86.843972.2f,28.237012.2f,7.647941.2f,32.625573.2f,22.332726.2f,21.191036.2f,59.381867.2f,55.243142.2f,21.274841.2f
73.919210.2f,22.127672.2f,92.879721.2f,63.220663.2f,53.001706.2f,81.991791.2f,67.368844.2f,40.329520.2f,46.282282.2f,78.446701.2f
66.405886.2f,32.650481.2f,82.814299.2f,51.898152.2f,40.021498.2f,73.287648.2f,60.114817.2f,43.786140.2f,47.980045.2f,70.106214.2f
83.150270.2f,20.070331.2f,98.955624.2f,67.337058.2f,51.527151.2f,89.921729.2f,76.850132.2f,55.151933.2f,60.761310.2f,86.801652.2f
67.918496.2f,79.388648.2f,65.304160.2f,37.649885.2f,15.809950.2f,66.555942.2f,65.125026.2f,83.875855.2f,83.807043.2f,66.312686.2f
45.735241.2f,91.604238.2f,38.411519.2f,17.036844.2f,22.212457.2f,41.700611.2f,44.877063.2f,77.856031.2f,75.230097.2f,42.415270.2f
107.595134.2f,11.627407.2f,126.267697.2f,95.638176.2f,80.970475.2f,115.717387.2f,101.018478.2f,67.092069.2f,74.530393.2f,112.184003.2f
53.157445.2f,44.798075.2f,75.894776.2f,51.292964.2f,51.838369.2f,62.742118.2f,46.525254.2f,19.133742.2f,23.012031.2f,58.731732.2f
62.357388.2f,40.139665.2f,86.107409.2f,62.131021.2f,61.653999.2f,72.437409.2f,55.798008.2f,16.921411.2f,23.817121.2f,68.303716.2f
10.432136.2f,102.719271.2f,17.064613.2f,28.385925.2f,53.790240.2f,1.399763.2f,15.882309.2f,64.271063.2f,58.012697.2f,3.329542.2f
27.995273.2f,68.368651.2f,47.921971.2f,25.248558.2f,37.057764.2f,35.799970.2f,21.685238.2f,37.192293.2f,34.081620.2f,32.201434.2f
16.796043.2f,86.706069.2f,28.358751.2f,13.900051.2f,37.732038.2f,18.759476.2f,14.655017.2f,55.046228.2f,50.344307.2f,16.642507.2f
68.332423.2f,46.003246.2f,93.795900.2f,72.528341.2f,74.077363.2f,79.138012.2f,62.068519.2f,14.818452.2f,22.734584.2f,74.832511.2f
92.481381.2f,43.537880.2f,101.360005.2f,68.789138.2f,45.577403.2f,96.350925.2f,87.083912.2f,78.312071.2f,82.518371.2f,94.231184.2f
59.159855.2f,47.247653.2f,84.144625.2f,62.550279.2f,64.997795.2f,69.748227.2f,52.768948.2f,9.545230.2f,16.886744.2f,65.488140.2f
99.397573.2f,91.660443.2f,94.416145.2f,69.038048.2f,46.406959.2f,97.499390.2f,96.640377.2f,110.772890.2f,111.968651.2f,97.537864.2f
45.069134.2f,57.136944.2f,58.485680.2f,27.358686.2f,22.797789.2f,50.203379.2f,39.494588.2f,45.788881.2f,45.861580.2f,47.520879.2f
33.334685.2f,93.445984.2f,27.154728.2f,9.585438.2f,29.805382.2f,28.847100.2f,33.233885.2f,71.508571.2f,67.791994.2f,29.624152.2f
39.959733.2f,85.544971.2f,37.565723.2f,9.809920.2f,19.408572.2f,37.648481.2f,38.285036.2f,69.721561.2f,67.107030.2f,37.612738.2f
77.317364.2f,29.849759.2f,91.259302.2f,59.122075.2f,41.953623.2f,83.228490.2f,71.268002.2f,56.188763.2f,60.762414.2f,80.383829.2f
19.055146.2f,84.898983.2f,46.538755.2f,40.785392.2f,59.728822.2f,30.483647.2f,14.794550.2f,36.875037.2f,29.704023.2f,26.157940.2f
77.450704.2f,19.040212.2f,95.784963.2f,65.585760.2f,53.865066.2f,85.276061.2f,70.936379.2f,44.395758.2f,50.427194.2f,81.811875.2f
74.034236.2f,93.006462.2f,66.117976.2f,43.861890.2f,27.789207.2f,70.602646.2f,72.329930.2f,96.278431.2f,95.607285.2f,71.197996.2f
28.412142.2f,105.779633.2f,12.208651.2f,21.780223.2f,44.878157.2f,19.472962.2f,31.331779.2f,76.785347.2f,71.734834.2f,22.270395.2f
51.359316.2f,44.706288.2f,72.170734.2f,45.544595.2f,44.298129.2f,60.056405.2f,44.751548.2f,26.327561.2f,29.079017.2f,56.291617.2f
69.591686.2f,32.166399.2f,84.819260.2f,53.267010.2f,39.109515.2f,75.985873.2f,63.423648.2f,48.522368.2f,52.726805.2f,72.968160.2f
76.908840.2f,52.223673.2f,83.768777.2f,51.413531.2f,27.539253.2f,79.738611.2f,72.001309.2f,72.089596.2f,74.729689.2f,77.959123.2f
86.172129.2f,27.881083.2f,99.423916.2f,67.030359.2f,48.011480.2f,91.864719.2f,80.165407.2f,63.694194.2f,68.730371.2f,89.106798.2f
77.227862.2f,32.872764.2f,90.218367.2f,57.857273.2f,39.624904.2f,82.723152.2f,71.309239.2f,58.496868.2f,62.781338.2f,80.017692.2f
27.434413.2f,107.865699.2f,9.090600.2f,24.325858.2f,47.864532.2f,17.686497.2f,30.955739.2f,77.376297.2f,72.072251.2f,20.913873.2f
63.603643.2f,44.320906.2f,88.476581.2f,66.315826.2f,67.567592.2f,74.159572.2f,57.199944.2f,12.804960.2f,20.617250.2f,69.908701.2f
4.620293.2f,92.718012.2f,27.341760.2f,25.988312.2f,49.811725.2f,12.244737.2f,5.268364.2f,53.440116.2f,47.365510.2f,8.092022.2f
56.376392.2f,78.488817.2f,54.888984.2f,26.131111.2f,7.845743.2f,55.193800.2f,53.650672.2f,75.513457.2f,74.687251.2f,54.833271.2f
45.272799.2f,75.786727.2f,47.376319.2f,15.839102.2f,9.670467.2f,45.226530.2f,42.172380.2f,65.537425.2f,64.077842.2f,44.364733.2f
27.850194.2f,78.884068.2f,36.425601.2f,7.489449.2f,26.602526.2f,29.707443.2f,24.440805.2f,54.950620.2f,51.734249.2f,27.953179.2f
36.241767.2f,105.349885.2f,19.868183.2f,21.125587.2f,40.287606.2f,28.182506.2f,38.236532.2f,81.129595.2f,76.720238.2f,30.612615.2f
8.171909.2f,87.817424.2f,33.478973.2f,27.706555.2f,49.687083.2f,18.288442.2f,1.607393.2f,47.291034.2f,41.226204.2f,14.002033.2f
35.602470.2f,98.428831.2f,24.900159.2f,14.756400.2f,33.306960.2f,29.530064.2f,36.348230.2f,76.360353.2f,72.444182.2f,31.028982.2f
100.041448.2f,7.679837.2f,120.004257.2f,90.357361.2f,78.028384.2f,108.675552.2f,93.417282.2f,57.347949.2f,64.919095.2f,104.978589.2f
21.749722.2f,98.896494.2f,16.257066.2f,16.703189.2f,41.738949.2f,15.257270.2f,23.727449.2f,68.575978.2f,63.552786.2f,16.676475.2f
30.714988.2f,73.891191.2f,41.342832.2f,11.613602.2f,24.710218.2f,33.853221.2f,26.441933.2f,51.654652.2f,49.009835.2f,31.710034.2f
107.227820.2f,13.105564.2f,124.630184.2f,93.342954.2f,77.152942.2f,114.816160.2f,100.730422.2f,69.857367.2f,76.990848.2f,111.452887.2f
71.056315.2f,31.363913.2f,86.106375.2f,54.447655.2f,39.745841.2f,77.388262.2f,64.901558.2f,49.752898.2f,54.063143.2f,74.393618.2f
103.274807.2f,10.032749.2f,120.688593.2f,89.455792.2f,73.562225.2f,110.850956.2f,96.781999.2f,66.483671.2f,73.513556.2f,107.488940.2f
