50.218136.2f,55.816822.2f,58.983681.2f,37.625245.2f,60.493519.2f,32.683381.2f,63.620150.2f,26.727929.2f,41.498411.2f,34.851319.2f,80.792650.2f,76.385534.2f,74.468515.2f,25.737705.2f,53.019483.2f,16.735915.2f,39.258547.2f,60.103155.2f,39.258989.2f,51.869145.2f,49.107114.2f,50.014057.2f,76.784048.2f,42.202704.2f,35.406377.2f,61.642296.2f,9.973555.2f,45.136807.2f,64.055472.2f,24.772978.2f,53.824422.2f,48.278521.2f,23.708428.2f,22.770133.2f,26.559221.2f,23.138976.2f,29.076989.2f,50.777315.2f,54.160021.2f,35.113423.2f
13.596585.2f,64.305986.2f,45.908771.2f,56.558063.2f,58.777757.2f,85.215853.2f,43.186415.2f,81.474293.2f,46.254026.2f,30.440884.2f,49.789778.2f,48.558588.2f,45.797603.2f,80.336838.2f,19.509447.2f,72.819775.2f,52.360587.2f,38.693329.2f,94.447994.2f,103.767972.2f,47.257277.2f,64.412911.2f,42.023518.2f,16.083721.2f,43.598883.2f,90.812909.2f,57.488605.2f,89.828891.2f,103.741078.2f,39.427240.2f,83.243726.2f,40.910873.2f,43.602000.2f,43.357423.2f,79.417664.2f,78.098891.2f,85.426175.2f,90.585512.2f,2.191271.2f,63.893519.2f
22.379497.2f,81.822247.2f,16.301427.2f,22.871084.2f,80.663104.2f,76.655337.2f,19.685444.2f,60.792255.2f,62.270698.2f,44.585817.2f,82.887648.2f,80.516744.2f,77.825439.2f,59.618727.2f,18.512888.2f,56.054698.2f,17.900695.2f,16.091932.2f,72.982596.2f,77.451740.2f,67.225547.2f,78.856342.2f,75.762400.2f,22.781296.2f,11.541950.2f,99.509584.2f,51.139334.2f,88.267564.2f,106.236933.2f,19.321340.2f,91.320207.2f,6.239673.2f,20.707230.2f,21.475536.2f,70.556154.2f,58.248537.2f,68.812744.2f,92.556365.2f,34.568914.2f,70.263891.2f
18.449658.2f,76.038038.2f,21.844890.2f,25.393782.2f,74.785674.2f,73.190848.2f,24.301517.2f,59.379740.2f,56.458094.2f,38.717625.2f,77.447388.2f,74.957427.2f,72.282979.2f,58.195884.2f,16.260240.2f,53.701984.2f,20.920564.2f,20.152393.2f,71.912069.2f,77.664099.2f,61.352600.2f,73.180975.2f,70.442283.2f,17.374113.2f,12.636800.2f,94.293565.2f,46.912221.2f,83.982680.2f,101.622862.2f,15.876163.2f,86.109218.2f,12.123335.2f,18.309063.2f,18.827878.2f,67.058095.2f,56.602387.2f,66.643466.2f,87.911446.2f,30.011533.2f,65.025032.2f
31.129230.2f,51.546274.2f,63.909555.2f,70.600240.2f,44.045777.2f,84.646335.2f,61.582718.2f,87.339901.2f,36.641461.2f,27.209012.2f,31.375688.2f,30.074516.2f,27.315896.2f,86.296377.2f,37.674853.2f,77.395512.2f,67.055595.2f,57.020975.2f,99.989454.2f,111.598781.2f,34.868206.2f,53.348084.2f,23.768387.2f,29.807347.2f,57.927434.2f,80.993597.2f,58.745610.2f,85.334626.2f,96.438794.2f,50.544581.2f,74.169082.2f,57.851908.2f,54.767514.2f,54.200328.2f,79.447285.2f,83.778746.2f,88.961165.2f,84.220646.2f,18.781338.2f,57.414210.2f
82.833205.2f,86.736034.2f,78.792870.2f,49.981818.2f,93.830494.2f,35.725930.2f,85.365672.2f,10.809554.2f,76.642288.2f,72.337484.2f,117.757256.2f,113.175450.2f,111.411985.2f,11.764468.2f,83.541732.2f,21.655577.2f,54.647841.2f,83.465836.2f,5.366593.2f,15.413383.2f,84.269233.2f,79.954293.2f,114.115798.2f,76.079829.2f,57.292966.2f,80.119483.2f,42.577405.2f,54.304714.2f,72.457846.2f,53.622983.2f,74.340867.2f,70.123961.2f,50.078479.2f,49.872071.2f,34.124175.2f,14.403196.2f,16.558388.2f,63.328696.2f,89.436825.2f,63.050437.2f
81.359117.2f,51.739508.2f,93.243719.2f,70.078579.2f,61.179286.2f,6.044913.2f,97.854051.2f,35.168211.2f,49.593715.2f,55.522297.2f,91.798370.2f,86.730444.2f,85.755105.2f,35.356863.2f,85.361764.2f,28.705270.2f,72.577310.2f,94.241326.2f,38.739824.2f,55.903784.2f,56.002338.2f,44.730859.2f,90.658407.2f,72.776330.2f,69.591508.2f,38.615785.2f,27.893867.2f,13.171170.2f,32.569542.2f,58.899305.2f,33.486761.2f,82.549873.2f,57.974447.2f,57.041662.2f,9.085589.2f,33.649426.2f,25.113480.2f,21.798606.2f,82.053940.2f,29.194959.2f
23.871903.2f,54.342290.2f,43.735151.2f,37.358739.2f,53.894538.2f,57.646958.2f,45.722888.2f,52.555810.2f,34.917563.2f,18.062783.2f,62.476884.2f,59.038527.2f,56.596253.2f,51.437030.2f,28.210512.2f,43.716985.2f,35.216770.2f,41.234043.2f,65.499284.2f,75.736043.2f,40.430963.2f,51.301168.2f,56.670967.2f,15.353554.2f,26.548394.2f,72.921087.2f,29.756158.2f,65.284751.2f,81.730548.2f,15.471777.2f,64.769824.2f,33.658443.2f,19.349789.2f,18.560681.2f,51.630402.2f,49.125644.2f,56.357589.2f,68.039143.2f,26.915064.2f,43.716813.2f
58.645624.2f,30.010111.2f,78.367580.2f,62.543060.2f,36.744340.2f,31.835022.2f,81.309070.2f,47.016402.2f,21.555156.2f,28.447744.2f,64.151875.2f,59.172422.2f,57.964276.2f,46.456087.2f,63.959155.2f,36.203377.2f,63.032515.2f,77.005241.2f,56.679355.2f,72.524331.2f,28.582258.2f,23.654379.2f,62.468859.2f,50.048439.2f,56.883940.2f,37.451301.2f,17.057211.2f,31.400002.2f,45.880457.2f,44.199455.2f,29.271274.2f,67.689085.2f,45.347870.2f,44.219900.2f,27.856702.2f,43.791453.2f,42.699946.2f,32.342910.2f,56.607036.2f,8.622304.2f
71.252685.2f,25.558170.2f,91.767319.2f,75.253029.2f,35.166267.2f,31.441689.2f,94.675278.2f,54.024688.2f,27.063972.2f,39.496976.2f,67.149619.2f,62.031669.2f,61.387154.2f,53.713228.2f,76.837519.2f,44.046147.2f,76.023896.2f,90.344703.2f,61.560094.2f,78.347953.2f,31.931128.2f,18.547659.2f,67.044940.2f,62.758174.2f,70.147129.2f,24.093322.2f,28.393448.2f,23.199779.2f,33.812564.2f,57.521346.2f,15.941352.2f,81.084208.2f,58.509623.2f,57.388419.2f,29.872262.2f,51.250266.2f,47.152507.2f,21.006659.2f,68.101161.2f,6.042122.2f
91.803067.2f,51.610014.2f,105.586398.2f,82.949648.2f,62.026323.2f,17.440715.2f,109.961295.2f,47.171660.2f,54.294083.2f,63.557812.2f,94.797520.2f,89.677743.2f,89.080916.2f,47.492000.2f,96.267533.2f,41.520027.2f,85.350261.2f,106.206860.2f,48.754206.2f,65.631464.2f,59.608258.2f,45.015342.2f,94.732256.2f,83.145510.2f,82.057535.2f,30.835004.2f,39.290466.2f,4.648240.2f,20.216575.2f,70.974872.2f,28.156316.2f,94.834970.2f,70.325987.2f,69.355366.2f,21.969733.2f,46.012501.2f,36.346648.2f,12.783148.2f,91.283345.2f,32.673925.2f
71.333162.2f,58.011903.2f,79.296679.2f,54.782956.2f,65.799272.2f,12.135057.2f,84.393774.2f,20.635655.2f,50.234438.2f,50.689115.2f,92.645926.2f,87.785221.2f,86.354907.2f,20.556471.2f,74.408230.2f,12.835655.2f,57.620888.2f,81.103362.2f,27.835022.2f,44.432378.2f,57.596046.2f,51.116742.2f,90.141212.2f,63.086950.2f,55.521131.2f,52.153157.2f,19.176404.2f,28.876734.2f,48.400760.2f,45.973703.2f,45.751010.2f,68.806473.2f,44.359777.2f,43.545378.2f,6.801568.2f,18.458306.2f,13.547316.2f,36.868020.2f,74.138693.2f,34.193189.2f
68.302473.2f,13.100585.2f,92.559145.2f,79.685384.2f,22.593330.2f,43.877281.2f,94.548544.2f,64.378467.2f,18.700640.2f,35.132795.2f,55.292249.2f,50.178000.2f,49.757191.2f,63.927863.2f,74.527132.2f,53.846793.2f,79.660289.2f,89.981778.2f,72.938884.2f,89.401812.2f,21.314091.2f,6.075287.2f,55.854213.2f,60.279453.2f,72.714210.2f,26.194307.2f,35.354303.2f,35.038092.2f,41.722279.2f,59.907416.2f,19.021987.2f,82.228071.2f,61.726424.2f,60.595011.2f,41.810226.2f,61.333882.2f,58.589906.2f,30.849731.2f,63.060978.2f,10.968325.2f
88.479709.2f,44.915204.2f,104.178328.2f,82.910298.2f,55.406438.2f,20.578436.2f,108.189152.2f,50.040359.2f,48.553889.2f,59.011747.2f,88.434203.2f,83.315772.2f,82.797021.2f,50.213352.2f,93.287676.2f,43.113217.2f,84.931780.2f,104.261001.2f,53.097258.2f,70.184672.2f,53.516859.2f,38.397502.2f,88.602871.2f,79.815695.2f,80.957414.2f,24.864158.2f,37.417485.2f,2.356579.2f,18.453077.2f,69.352757.2f,21.503733.2f,93.375018.2f,69.105874.2f,68.083368.2f,23.644618.2f,48.447491.2f,39.868768.2f,7.077283.2f,87.166980.2f,26.965709.2f
