64.722755.2f,37.912653.2f,65.215099.2f,35.526547.2f,43.250358.2f,62.812253.2f,61.246560.2f,23.428981.2f,34.700607.2f,42.574526.2f,42.796630.2f,58.793581.2f,70.572631.2f,61.427886.2f,63.005326.2f,40.135315.2f,5.536855.2f,36.500234.2f,47.443782.2f,62.135543.2f,8.310072.2f,65.439136.2f,28.366235.2f,74.326612.2f,40.755389.2f,33.423091.2f,52.185820.2f,35.307135.2f,55.348219.2f,13.274251.2f
29.162665.2f,37.633943.2f,46.428816.2f,67.548901.2f,84.145004.2f,40.404281.2f,14.797609.2f,80.860748.2f,38.703648.2f,34.950953.2f,82.426408.2f,75.358485.2f,38.570633.2f,102.126222.2f,102.942253.2f,35.969044.2f,62.149754.2f,85.840735.2f,75.806281.2f,62.311735.2f,59.948920.2f,28.382409.2f,37.811998.2f,28.276816.2f,68.834098.2f,40.238487.2f,50.067776.2f,28.874777.2f,8.816814.2f,48.080583.2f
55.743987.2f,60.780558.2f,73.218839.2f,62.755327.2f,79.846105.2f,18.626426.2f,12.046012.2f,90.146616.2f,60.904341.2f,28.261342.2f,101.533750.2f,99.545472.2f,12.497197.2f,121.694109.2f,122.782916.2f,30.675144.2f,72.960299.2f,101.520065.2f,97.564916.2f,88.233297.2f,72.741809.2f,54.846901.2f,40.160256.2f,52.427467.2f,61.821285.2f,62.068939.2f,75.542310.2f,50.340291.2f,35.558813.2f,62.604101.2f
11.893024.2f,40.549052.2f,29.068139.2f,93.213241.2f,108.807156.2f,69.325790.2f,42.587105.2f,95.921843.2f,43.408038.2f,63.396321.2f,84.906686.2f,67.662117.2f,66.083026.2f,102.267474.2f,102.555106.2f,64.027327.2f,77.658541.2f,93.157167.2f,74.009604.2f,49.785381.2f,73.713009.2f,10.565233.2f,62.968818.2f,1.351982.2f,95.365894.2f,45.202113.2f,41.772236.2f,39.156329.2f,23.539816.2f,61.978080.2f
30.658237.2f,26.382212.2f,43.154463.2f,57.270595.2f,73.070650.2f,42.105229.2f,23.524935.2f,66.429424.2f,26.582707.2f,29.484491.2f,68.957042.2f,65.165507.2f,43.809901.2f,88.908971.2f,89.837668.2f,29.476634.2f,47.679017.2f,71.533707.2f,63.584327.2f,54.900941.2f,45.379084.2f,30.549671.2f,27.016567.2f,35.394987.2f,59.450891.2f,27.842904.2f,41.902965.2f,16.059343.2f,13.118675.2f,33.513024.2f
86.882912.2f,58.185410.2f,77.876768.2f,70.476045.2f,69.737839.2f,103.520118.2f,98.584093.2f,27.005760.2f,55.612055.2f,83.232014.2f,18.775636.2f,48.467023.2f,110.883911.2f,25.453102.2f,27.369562.2f,80.840560.2f,35.386888.2f,5.447733.2f,33.269922.2f,63.480993.2f,34.093331.2f,88.082874.2f,68.946327.2f,98.985405.2f,75.996852.2f,53.801670.2f,61.268717.2f,63.126529.2f,86.230341.2f,44.142531.2f
45.014438.2f,26.848777.2f,29.985351.2f,85.896291.2f,94.811109.2f,93.626726.2f,76.120756.2f,61.592248.2f,27.408403.2f,76.256588.2f,32.673043.2f,12.185403.2f,96.734487.2f,46.637036.2f,46.650823.2f,74.879354.2f,50.439026.2f,45.957570.2f,18.877783.2f,13.110958.2f,44.819147.2f,46.451391.2f,65.080461.2f,57.516904.2f,90.631507.2f,26.772548.2f,14.882035.2f,37.661981.2f,55.042722.2f,40.739908.2f
29.148924.2f,17.957050.2f,37.970229.2f,57.618908.2f,72.376543.2f,49.410265.2f,32.175346.2f,60.824956.2f,17.959475.2f,34.462820.2f,60.567792.2f,56.737819.2f,51.940021.2f,80.435620.2f,81.331083.2f,33.875291.2f,42.088592.2f,63.859676.2f,54.936570.2f,47.429400.2f,39.072891.2f,29.454281.2f,28.314672.2f,36.772891.2f,60.520512.2f,19.193935.2f,34.334180.2f,7.412332.2f,17.534718.2f,26.991561.2f
102.696737.2f,79.243005.2f,106.705376.2f,20.345172.2f,4.280257.2f,69.057991.2f,82.898903.2f,40.075346.2f,76.187049.2f,55.365805.2f,78.214579.2f,100.201672.2f,79.298336.2f,92.219469.2f,94.102501.2f,53.254051.2f,43.717059.2f,65.528800.2f,87.106451.2f,104.887344.2f,49.302720.2f,103.085924.2f,48.536108.2f,109.947445.2f,22.376424.2f,75.179256.2f,94.722396.2f,73.802743.2f,87.915227.2f,55.287579.2f
11.912104.2f,20.229766.2f,11.326474.2f,83.720013.2f,97.331670.2f,73.391844.2f,50.175155.2f,76.974089.2f,23.464831.2f,61.051916.2f,61.575899.2f,44.525445.2f,73.464910.2f,78.605824.2f,78.877942.2f,60.722381.2f,59.909523.2f,70.845747.2f,50.337575.2f,28.061385.2f,55.150291.2f,13.341832.2f,55.301898.2f,24.486495.2f,87.045404.2f,25.028439.2f,18.236526.2f,24.494692.2f,26.717312.2f,44.593595.2f
70.368469.2f,43.933704.2f,58.531881.2f,78.181203.2f,81.925584.2f,101.202946.2f,90.646877.2f,41.294312.2f,42.188687.2f,81.369272.2f,3.308538.2f,26.441451.2f,106.930051.2f,21.524794.2f,22.476919.2f,79.301862.2f,39.273250.2f,18.677224.2f,11.296601.2f,42.183321.2f,35.039214.2f,71.699242.2f,67.580687.2f,82.905371.2f,83.598586.2f,40.535242.2f,42.082203.2f,51.783440.2f,74.127841.2f,39.703597.2f
