35.043964.2f,115.073396.2f,105.457926.2f,103.942293.2f,65.820603.2f,73.727739.2f,71.791055.2f,55.059851.2f,12.844501.2f,42.581514.2f,19.665819.2f,28.549525.2f,64.468975.2f,10.952377.2f,42.184320.2f,78.801658.2f,87.384698.2f,81.261925.2f,54.146922.2f,57.770809.2f
68.012665.2f,80.361670.2f,74.779808.2f,76.167316.2f,103.347152.2f,10.636910.2f,23.972097.2f,83.633389.2f,75.233944.2f,25.114774.2f,46.698832.2f,56.076460.2f,98.432633.2f,67.025009.2f,76.588685.2f,76.773212.2f,57.527684.2f,56.767239.2f,97.207208.2f,13.990792.2f
43.067038.2f,129.805373.2f,119.825763.2f,117.799843.2f,63.174691.2f,93.864921.2f,90.693833.2f,58.619467.2f,14.658497.2f,62.677726.2f,39.821459.2f,42.319096.2f,63.741290.2f,22.532137.2f,46.669714.2f,88.739509.2f,102.708240.2f,96.086759.2f,50.690945.2f,77.821892.2f
77.942677.2f,13.397990.2f,6.532810.2f,3.514522.2f,87.023347.2f,87.619446.2f,55.707695.2f,71.998131.2f,105.524508.2f,90.794812.2f,95.517653.2f,78.484837.2f,81.029325.2f,98.548687.2f,78.146382.2f,36.596989.2f,22.621192.2f,26.351190.2f,91.265923.2f,90.935966.2f
37.784288.2f,70.505029.2f,61.925552.2f,61.525633.2f,71.953892.2f,42.076146.2f,24.825430.2f,52.147224.2f,52.512213.2f,27.725277.2f,32.228801.2f,27.544916.2f,66.958104.2f,44.013577.2f,45.729626.2f,49.718819.2f,42.890380.2f,38.398338.2f,66.427273.2f,34.372619.2f
46.265728.2f,53.436636.2f,45.062178.2f,44.954752.2f,74.677391.2f,46.732172.2f,17.397540.2f,54.535582.2f,66.774850.2f,42.620617.2f,49.243921.2f,39.637509.2f,68.969421.2f,58.532774.2f,52.026506.2f,40.275996.2f,26.001764.2f,22.336353.2f,71.895276.2f,44.830582.2f
29.652780.2f,111.488380.2f,101.737659.2f,100.060680.2f,60.328487.2f,74.741213.2f,70.314731.2f,49.486128.2f,9.108373.2f,43.981617.2f,20.910754.2f,24.185471.2f,58.896227.2f,5.367085.2f,36.609311.2f,73.943742.2f,83.960823.2f,77.642356.2f,48.760948.2f,59.216276.2f
76.641971.2f,18.826024.2f,15.029010.2f,18.239711.2f,94.482712.2f,68.415255.2f,38.082668.2f,76.583319.2f,101.296651.2f,76.496148.2f,85.666967.2f,73.595984.2f,88.329348.2f,93.449880.2f,79.398696.2f,45.335993.2f,14.153452.2f,21.396102.2f,96.030713.2f,73.978373.2f
41.302569.2f,53.043901.2f,43.900144.2f,43.121824.2f,68.024132.2f,53.263084.2f,24.427289.2f,47.958794.2f,63.929189.2f,46.123079.2f,49.478610.2f,36.303534.2f,62.244763.2f,55.970071.2f,46.297372.2f,33.805886.2f,25.195231.2f,19.866931.2f,65.747122.2f,50.110940.2f
15.972897.2f,104.318196.2f,94.087476.2f,91.525416.2f,36.305968.2f,88.614357.2f,75.226584.2f,28.450970.2f,18.778346.2f,60.677388.2f,40.096026.2f,23.473607.2f,35.324690.2f,19.211368.2f,16.676707.2f,59.881903.2f,78.688950.2f,71.603415.2f,24.680280.2f,75.095639.2f
38.646414.2f,69.958397.2f,60.269834.2f,56.391922.2f,30.391158.2f,99.421110.2f,71.748887.2f,20.638245.2f,66.442060.2f,83.402020.2f,73.403251.2f,48.318356.2f,24.604017.2f,62.937755.2f,32.496639.2f,21.015526.2f,53.235062.2f,46.845388.2f,36.801519.2f,92.687782.2f
45.741007.2f,123.146793.2f,113.773092.2f,112.511006.2f,76.220724.2f,74.049625.2f,76.695439.2f,65.850902.2f,21.942810.2f,42.998204.2f,22.568012.2f,38.322581.2f,75.077671.2f,21.737478.2f,52.975112.2f,88.833320.2f,95.315342.2f,89.525024.2f,64.341580.2f,57.561006.2f
8.924040.2f,97.107681.2f,86.946933.2f,84.599483.2f,39.809284.2f,80.301239.2f,66.388657.2f,27.276352.2f,20.355953.2f,53.193813.2f,34.057163.2f,14.708558.2f,37.494118.2f,16.842773.2f,14.399629.2f,54.575290.2f,70.926674.2f,63.945639.2f,29.618375.2f,67.236955.2f
35.485042.2f,108.465875.2f,99.163340.2f,97.996022.2f,69.987085.2f,63.183930.2f,62.457655.2f,56.563662.2f,21.721237.2f,32.052146.2f,9.158888.2f,25.569716.2f,67.768837.2f,15.871487.2f,44.017152.2f,75.740119.2f,80.621385.2f,74.924905.2f,59.127425.2f,47.258965.2f
40.792119.2f,110.308849.2f,101.246301.2f,100.304745.2f,75.707387.2f,59.945808.2f,62.089516.2f,61.941485.2f,26.900373.2f,28.708209.2f,8.105887.2f,30.145169.2f,73.402282.2f,21.586431.2f,49.512339.2f,79.633365.2f,82.471882.2f,77.096874.2f,64.902686.2f,43.671747.2f
70.223084.2f,51.055549.2f,46.638351.2f,48.751365.2f,99.104381.2f,36.016428.2f,10.499252.2f,79.024497.2f,87.581491.2f,49.262232.2f,64.582538.2f,61.988096.2f,93.313339.2f,79.071005.2f,76.479644.2f,59.775628.2f,32.008868.2f,34.168904.2f,96.475445.2f,43.252776.2f
14.149773.2f,83.252440.2f,73.400334.2f,71.637548.2f,50.858173.2f,64.004948.2f,48.452096.2f,32.806623.2f,32.107389.2f,39.983435.2f,27.338198.2f,4.407160.2f,46.764557.2f,24.507584.2f,23.155862.2f,46.913888.2f,55.989673.2f,49.443367.2f,43.464097.2f,52.448400.2f
79.803625.2f,95.343064.2f,90.328729.2f,91.926307.2f,116.289200.2f,8.640433.2f,39.869661.2f,97.081800.2f,82.059180.2f,29.127992.2f,52.187134.2f,67.127461.2f,111.724073.2f,74.463945.2f,88.849786.2f,92.723557.2f,73.514556.2f,72.968341.2f,109.112965.2f,13.984677.2f
14.439914.2f,87.262976.2f,76.994022.2f,73.925448.2f,23.797486.2f,90.095822.2f,69.346401.2f,7.225980.2f,39.450454.2f,67.159406.2f,51.688325.2f,27.193676.2f,19.583219.2f,36.897161.2f,5.657469.2f,39.956272.2f,63.963729.2f,56.723503.2f,18.950092.2f,79.484519.2f
56.633743.2f,51.998908.2f,45.170653.2f,46.108588.2f,85.669420.2f,39.564835.2f,7.439523.2f,65.533152.2f,75.193639.2f,43.004521.2f,54.421333.2f,48.891455.2f,79.945661.2f,66.759742.2f,62.795569.2f,49.043057.2f,27.150152.2f,26.376364.2f,82.812905.2f,41.352214.2f
24.649077.2f,64.245289.2f,54.151287.2f,52.028765.2f,49.810368.2f,66.769302.2f,41.885094.2f,29.638381.2f,51.152845.2f,51.077170.2f,45.542944.2f,24.385807.2f,44.185763.2f,44.259800.2f,28.162393.2f,27.580826.2f,38.070759.2f,31.019886.2f,47.242577.2f,59.638900.2f
34.657950.2f,91.737116.2f,82.882470.2f,82.168173.2f,71.953194.2f,47.652984.2f,43.723547.2f,54.675550.2f,36.230637.2f,19.066746.2f,10.789879.2f,21.591138.2f,68.284766.2f,27.998889.2f,44.102554.2f,64.724030.2f,63.965285.2f,58.911013.2f,63.233678.2f,33.361886.2f
21.828190.2f,93.578074.2f,83.373829.2f,80.066892.2f,15.469459.2f,98.863365.2f,78.232476.2f,9.283316.2f,42.030745.2f,75.207370.2f,58.435110.2f,34.908929.2f,12.523208.2f,41.206986.2f,12.402605.2f,44.978706.2f,71.439916.2f,64.235063.2f,10.538192.2f,87.918546.2f
16.464827.2f,85.665092.2f,75.411128.2f,72.264167.2f,22.881528.2f,90.944675.2f,69.423630.2f,4.808449.2f,41.971763.2f,68.623780.2f,53.683001.2f,28.943078.2f,18.211813.2f,39.334221.2f,8.103488.2f,37.948315.2f,62.810986.2f,55.583014.2f,19.433669.2f,80.682987.2f
34.944405.2f,91.148473.2f,81.292091.2f,77.537089.2f,8.916508.2f,108.806877.2f,85.101748.2f,14.778322.2f,56.611346.2f,87.391803.2f,72.151611.2f,47.700069.2f,3.525364.2f,55.806681.2f,25.704970.2f,41.789970.2f,72.388649.2f,65.505702.2f,17.696011.2f,99.194293.2f
7.540108.2f,91.463312.2f,81.192280.2f,78.440323.2f,30.037095.2f,85.644861.2f,67.660788.2f,16.033203.2f,30.830624.2f,60.845586.2f,43.846702.2f,20.507514.2f,26.929385.2f,28.095649.2f,3.177678.2f,46.098394.2f,66.679922.2f,59.481033.2f,21.796466.2f,73.949725.2f
20.383691.2f,75.495932.2f,65.247190.2f,62.085659.2f,29.408105.2f,86.529764.2f,62.471701.2f,9.637191.2f,48.866984.2f,67.120912.2f,55.328942.2f,30.114784.2f,23.632650.2f,44.776758.2f,15.786241.2f,28.002697.2f,53.035701.2f,45.842905.2f,28.915108.2f,77.809123.2f
2.158496.2f,89.870033.2f,79.698462.2f,77.333298.2f,38.857873.2f,77.280533.2f,60.989092.2f,23.215934.2f,27.117301.2f,52.007907.2f,35.344332.2f,11.694220.2f,35.516841.2f,22.275416.2f,11.158611.2f,47.578369.2f,63.826786.2f,56.803340.2f,30.412956.2f,65.239459.2f
50.757147.2f,97.062986.2f,89.199064.2f,89.222549.2f,88.054161.2f,35.771924.2f,42.999227.2f,70.561458.2f,48.704399.2f,4.541745.2f,18.790625.2f,37.681999.2f,84.334784.2f,41.311447.2f,60.197966.2f,77.086642.2f,70.186834.2f,66.419993.2f,79.256434.2f,19.632622.2f
47.687895.2f,128.871272.2f,119.292894.2f,117.802993.2f,74.835554.2f,82.421659.2f,84.136224.2f,66.590185.2f,20.319227.2f,51.326644.2f,30.252555.2f,42.329561.2f,74.368634.2f,23.349397.2f,53.818403.2f,92.309197.2f,101.141143.2f,95.081257.2f,62.583636.2f,65.945799.2f
62.678269.2f,84.909390.2f,78.563146.2f,79.541647.2f,98.886565.2f,15.941771.2f,28.052911.2f,79.584012.2f,67.731495.2f,16.746783.2f,38.724508.2f,50.241832.2f,94.254278.2f,59.671287.2f,71.592028.2f,76.328778.2f,60.500385.2f,58.762170.2f,92.001622.2f,7.914695.2f
25.869600.2f,77.956945.2f,68.621607.2f,67.499357.2f,61.686005.2f,52.407743.2f,37.361421.2f,42.632742.2f,40.512133.2f,30.873723.2f,25.424947.2f,14.886106.2f,57.158282.2f,32.139828.2f,34.466874.2f,48.571853.2f,50.132948.2f,44.386062.2f,55.040831.2f,41.783300.2f
44.037460.2f,46.947952.2f,37.431498.2f,36.310203.2f,66.952264.2f,59.282403.2f,28.686682.2f,47.354174.2f,68.679465.2f,53.518982.2f,56.242917.2f,40.994455.2f,60.970996.2f,61.026507.2f,47.700602.2f,27.876278.2f,19.407354.2f,13.183054.2f,66.047550.2f,57.133153.2f
