12.472657.2f,44.533817.2f,39.569916.2f,35.819411.2f,16.804705.2f,31.858734.2f,40.188138.2f,12.563791.2f,32.397934.2f,48.316332.2f
6.906370.2f,52.010046.2f,36.713200.2f,37.361861.2f,17.900425.2f,24.898962.2f,46.516101.2f,12.087303.2f,26.652985.2f,49.007370.2f
50.202425.2f,6.261103.2f,74.428664.2f,42.056273.2f,49.801432.2f,68.667563.2f,37.196819.2f,49.819208.2f,72.373801.2f,71.996761.2f
46.708379.2f,97.898219.2f,71.434622.2f,56.599461.2f,67.603169.2f,27.816638.2f,99.080742.2f,61.842697.2f,53.573352.2f,92.522797.2f
21.248502.2f,44.170537.2f,61.552312.2f,12.723060.2f,39.912494.2f,33.789492.2f,55.928147.2f,35.330156.2f,50.656791.2f,71.353095.2f
20.708917.2f,62.982666.2f,61.068539.2f,22.728826.2f,45.408086.2f,19.454733.2f,70.011486.2f,39.560663.2f,45.990089.2f,76.242017.2f
35.115769.2f,28.915488.2f,46.913760.2f,47.847291.2f,23.426525.2f,54.527474.2f,18.813286.2f,25.527809.2f,48.015579.2f,44.177721.2f
31.798720.2f,79.216185.2f,65.890836.2f,37.086055.2f,55.633962.2f,18.013938.2f,83.980878.2f,49.616100.2f,48.695048.2f,84.304654.2f
56.989418.2f,21.496743.2f,64.984573.2f,62.345388.2f,44.353630.2f,76.557950.2f,15.355569.2f,47.463997.2f,69.288106.2f,55.194860.2f
33.859007.2f,85.579767.2f,61.323186.2f,46.625113.2f,55.246338.2f,15.263874.2f,86.280108.2f,49.394301.2f,43.531172.2f,81.460515.2f
53.164304.2f,34.662505.2f,52.088457.2f,66.589788.2f,34.899118.2f,71.960539.2f,0.584250.2f,39.407338.2f,59.123722.2f,40.184665.2f
51.739180.2f,23.906614.2f,58.723718.2f,59.809569.2f,38.097685.2f,71.216929.2f,10.692380.2f,41.360115.2f,63.026011.2f,49.667202.2f
41.168279.2f,93.385422.2f,65.160603.2f,53.973135.2f,61.465222.2f,21.914707.2f,93.289686.2f,55.752996.2f,47.290654.2f,86.196640.2f
42.614410.2f,96.261256.2f,42.756633.2f,69.999800.2f,50.598179.2f,28.762859.2f,84.931925.2f,46.705507.2f,27.404754.2f,65.616172.2f
39.961255.2f,84.925955.2f,17.351294.2f,72.718728.2f,33.692072.2f,38.420488.2f,65.774003.2f,32.620145.2f,10.660701.2f,40.188569.2f
35.693340.2f,87.235330.2f,62.892123.2f,47.762931.2f,57.078107.2f,17.100883.2f,88.127952.2f,51.232675.2f,45.069790.2f,83.159600.2f
29.698700.2f,60.162102.2f,16.054905.2f,60.022768.2f,8.897817.2f,41.398752.2f,39.510232.2f,11.992992.2f,19.368295.2f,26.116322.2f
53.338812.2f,32.807116.2f,88.992848.2f,27.661470.2f,64.453569.2f,66.863082.2f,62.908957.2f,61.963188.2f,81.564557.2f,92.448056.2f
25.777908.2f,29.620658.2f,57.071193.2f,26.052258.2f,32.536699.2f,44.016572.2f,40.065516.2f,30.126859.2f,50.885133.2f,61.670041.2f
9.431068.2f,60.612188.2f,48.658722.2f,30.102933.2f,33.941188.2f,13.220863.2f,61.665567.2f,27.959036.2f,33.960399.2f,64.176252.2f
