78.389125.2f,127.072776.2f,47.426246.2f,66.468894.2f,41.822454.2f,56.662159.2f,86.934253.2f,1.820967.2f,89.833323.2f,96.370062.2f,27.850885.2f,102.807734.2f,99.024378.2f,75.343712.2f,24.240884.2f,35.483113.2f,70.116865.2f,81.170082.2f,83.687278.2f,97.444591.2f,38.518515.2f,47.208617.2f,9.807436.2f,94.106128.2f,19.641762.2f,112.623009.2f,79.283745.2f,81.086539.2f,85.965844.2f,79.693847.2f,73.006508.2f,90.795415.2f,70.078876.2f,38.728170.2f,42.247673.2f,35.262533.2f,83.900149.2f,90.693057.2f,101.231456.2f,63.703249.2f,99.154786.2f,11.150463.2f,59.661236.2f,101.191464.2f,72.213988.2f,15.399851.2f,62.214802.2f,79.092364.2f,90.557015.2f,62.490020.2f
44.710624.2f,77.097581.2f,40.752459.2f,23.168404.2f,12.468681.2f,32.291020.2f,44.876954.2f,49.739643.2f,52.016306.2f,51.633531.2f,45.117906.2f,65.817474.2f,52.829185.2f,62.120565.2f,41.203208.2f,32.869135.2f,27.847910.2f,31.292446.2f,49.884284.2f,46.446056.2f,39.685415.2f,4.392271.2f,50.780837.2f,45.946053.2f,33.161666.2f,61.638570.2f,28.681664.2f,42.191234.2f,54.905329.2f,64.653211.2f,39.377213.2f,48.697317.2f,40.736916.2f,27.424102.2f,28.500165.2f,21.584135.2f,38.376427.2f,40.780352.2f,50.013153.2f,25.979879.2f,48.661282.2f,42.060101.2f,44.517207.2f,52.135629.2f,21.769439.2f,43.011121.2f,39.556082.2f,45.398113.2f,74.560953.2f,32.279945.2f
68.199786.2f,77.220800.2f,70.324791.2f,45.823666.2f,30.942578.2f,19.905227.2f,16.540767.2f,68.874730.2f,22.468850.2f,64.976243.2f,72.494474.2f,84.306679.2f,63.975976.2f,90.309192.2f,67.838984.2f,61.667258.2f,49.709620.2f,40.982641.2f,72.496453.2f,35.349747.2f,68.801405.2f,32.605019.2f,73.323984.2f,55.201232.2f,56.552150.2f,59.632270.2f,37.087669.2f,12.625403.2f,26.503192.2f,92.352074.2f,12.374023.2f,20.485281.2f,66.761226.2f,33.237970.2f,30.675848.2f,35.475919.2f,53.697382.2f,26.129067.2f,48.469272.2f,7.225639.2f,51.144424.2f,64.118297.2f,73.459231.2f,58.161361.2f,18.969382.2f,67.145897.2f,22.205962.2f,68.766560.2f,101.489220.2f,59.390995.2f
19.367528.2f,58.183918.2f,37.345552.2f,4.442736.2f,39.315496.2f,58.359124.2f,59.375170.2f,68.964852.2f,68.713586.2f,26.039994.2f,53.138620.2f,38.352151.2f,28.556617.2f,45.101552.2f,51.809623.2f,39.155527.2f,1.104332.2f,17.154636.2f,23.737275.2f,44.315360.2f,42.273067.2f,29.384632.2f,66.330024.2f,24.598674.2f,50.854831.2f,46.732932.2f,18.629703.2f,59.910865.2f,75.247282.2f,46.028133.2f,60.906985.2f,62.392691.2f,19.722721.2f,54.737369.2f,55.976873.2f,48.003754.2f,13.492471.2f,44.186013.2f,37.667160.2f,48.598116.2f,32.921425.2f,59.512280.2f,32.673609.2f,32.153103.2f,31.277423.2f,57.664312.2f,65.035859.2f,19.921255.2f,53.827910.2f,16.045356.2f
56.654819.2f,44.552378.2f,75.130972.2f,40.334502.2f,51.894444.2f,52.396142.2f,30.708793.2f,91.620421.2f,40.409474.2f,41.932593.2f,85.716136.2f,63.675693.2f,39.030920.2f,85.079768.2f,82.519371.2f,72.118249.2f,41.408610.2f,23.716276.2f,58.849634.2f,4.318256.2f,77.573766.2f,46.668222.2f,93.056061.2f,30.576942.2f,75.438861.2f,26.932946.2f,21.676463.2f,35.902126.2f,51.284053.2f,85.540801.2f,43.166826.2f,31.626423.2f,59.694530.2f,61.453608.2f,60.071232.2f,59.960013.2f,35.937989.2f,8.294822.2f,16.812710.2f,38.719787.2f,21.685115.2f,84.311823.2f,72.680376.2f,29.970038.2f,21.341339.2f,85.189080.2f,55.176611.2f,56.926991.2f,92.015034.2f,56.027982.2f
30.467064.2f,31.934928.2f,64.740026.2f,37.390761.2f,71.018052.2f,85.566846.2f,74.822276.2f,101.909502.2f,84.811108.2f,7.093088.2f,83.750662.2f,20.439554.2f,6.778403.2f,57.813591.2f,83.351706.2f,70.400936.2f,33.351837.2f,30.077419.2f,27.909225.2f,47.302841.2f,71.801163.2f,61.395655.2f,98.649583.2f,15.673674.2f,83.820339.2f,30.628169.2f,33.913116.2f,78.372620.2f,94.464416.2f,56.012539.2f,82.935869.2f,76.466493.2f,38.910179.2f,85.877885.2f,86.469983.2f,80.039837.2f,20.304398.2f,53.269126.2f,30.904863.2f,73.295737.2f,24.409878.2f,92.320668.2f,55.346404.2f,16.182850.2f,51.939992.2f,89.998523.2f,91.052525.2f,30.084996.2f,57.829206.2f,42.994247.2f
28.799129.2f,35.034617.2f,63.660610.2f,38.348597.2f,72.593197.2f,88.096053.2f,78.428633.2f,102.235188.2f,88.426005.2f,8.932691.2f,83.158536.2f,16.317372.2f,10.394337.2f,55.033692.2f,83.034091.2f,70.075635.2f,34.064259.2f,32.889622.2f,25.621355.2f,51.317889.2f,71.043073.2f,62.837902.2f,98.576822.2f,19.189989.2f,84.203911.2f,34.744514.2f,36.771803.2f,81.784181.2f,97.891685.2f,53.009551.2f,86.063073.2f,80.168258.2f,37.513358.2f,87.657289.2f,88.411467.2f,81.530154.2f,21.932531.2f,57.072125.2f,35.050637.2f,76.080631.2f,28.503901.2f,92.548192.2f,53.747420.2f,20.337743.2f,54.898231.2f,89.959498.2f,93.769920.2f,28.338349.2f,54.305743.2f,42.378505.2f
50.451113.2f,78.880734.2f,46.348260.2f,28.454274.2f,10.674040.2f,26.303793.2f,40.026713.2f,50.414405.2f,46.629775.2f,55.658975.2f,48.981673.2f,70.923608.2f,56.442921.2f,68.250190.2f,44.669824.2f,37.557754.2f,33.090429.2f,33.899684.2f,55.530528.2f,45.253480.2f,44.638492.2f,8.434234.2f,52.636561.2f,49.025013.2f,35.068281.2f,62.753247.2f,30.807683.2f,36.779174.2f,48.978265.2f,70.797049.2f,33.413501.2f,43.918624.2f,46.773282.2f,23.548765.2f,23.976795.2f,19.345954.2f,42.525206.2f,38.612792.2f,50.939347.2f,20.026104.2f,50.393654.2f,43.614572.2f,50.575777.2f,54.697397.2f,20.002358.2f,45.386696.2f,33.485984.2f,51.125717.2f,80.696258.2f,38.386272.2f
50.683967.2f,12.472346.2f,84.299116.2f,53.749690.2f,84.278531.2f,94.263670.2f,76.464210.2f,118.579915.2f,86.021145.2f,25.748480.2f,102.502525.2f,37.624800.2f,21.863344.2f,77.986039.2f,101.608531.2f,88.777994.2f,50.485245.2f,40.707008.2f,48.230018.2f,45.725507.2f,90.889311.2f,75.390481.2f,116.295959.2f,26.180383.2f,100.511064.2f,20.961893.2f,43.789582.2f,81.584267.2f,97.070634.2f,75.993046.2f,88.119719.2f,77.102789.2f,58.924254.2f,98.022156.2f,97.929952.2f,93.406781.2f,36.485605.2f,54.069921.2f,28.987324.2f,80.947156.2f,25.641683.2f,109.316105.2f,75.429722.2f,19.866804.2f,59.605923.2f,107.631376.2f,98.584366.2f,50.333757.2f,76.912925.2f,62.158915.2f
26.152251.2f,83.067365.2f,11.319541.2f,24.363742.2f,38.720162.2f,63.768861.2f,76.466022.2f,51.567510.2f,84.435816.2f,47.998052.2f,29.512363.2f,50.392367.2f,51.743826.2f,29.967846.2f,29.916419.2f,17.284634.2f,25.098158.2f,42.663777.2f,31.225572.2f,68.504195.2f,17.392510.2f,31.169061.2f,46.050182.2f,49.866612.2f,34.925741.2f,72.676315.2f,43.204560.2f,74.725687.2f,87.912994.2f,33.171470.2f,72.389170.2f,80.072046.2f,17.503740.2f,52.695695.2f,55.457186.2f,44.141140.2f,38.113460.2f,66.397080.2f,63.639953.2f,58.991253.2f,58.925816.2f,41.675033.2f,11.674800.2f,57.482390.2f,49.451783.2f,37.762949.2f,71.317729.2f,26.816292.2f,43.903277.2f,11.447606.2f
48.357547.2f,33.942518.2f,72.015665.2f,36.439400.2f,56.711826.2f,61.997231.2f,43.413563.2f,95.048355.2f,53.199149.2f,30.206396.2f,85.387797.2f,52.002943.2f,26.822320.2f,77.787558.2f,82.906614.2f,71.365213.2f,36.060286.2f,18.098713.2f,49.627769.2f,14.247663.2f,75.867766.2f,49.620471.2f,95.131482.2f,18.962963.2f,77.844016.2f,16.807187.2f,18.292666.2f,48.207997.2f,63.866574.2f,77.677341.2f,54.735476.2f,44.460038.2f,52.937923.2f,68.438244.2f,67.656400.2f,65.473223.2f,26.956949.2f,21.063104.2f,4.985207.2f,48.395510.2f,8.866128.2f,86.879001.2f,67.554051.2f,17.212839.2f,27.985391.2f,86.829580.2f,65.708797.2f,48.498362.2f,83.078826.2f,51.039269.2f
