78.872379.2f,16.460466.2f,73.054021.2f,66.006817.2f,43.400440.2f,91.958470.2f,26.609873.2f,90.258409.2f,81.873005.2f,89.111930.2f,97.107234.2f,55.214394.2f,87.147786.2f,26.150282.2f,96.170225.2f,15.212575.2f,47.389343.2f,83.156124.2f,95.500590.2f,36.678173.2f
38.777074.2f,25.859578.2f,30.736293.2f,56.514492.2f,7.845666.2f,50.612887.2f,25.302172.2f,73.108390.2f,62.997550.2f,46.890122.2f,57.802869.2f,13.253651.2f,91.868722.2f,16.376497.2f,68.606387.2f,48.785675.2f,28.503891.2f,42.319725.2f,96.416608.2f,54.120725.2f
72.261281.2f,43.820587.2f,76.970867.2f,28.393983.2f,48.731086.2f,86.367526.2f,31.071470.2f,53.206541.2f,47.775327.2f,88.660723.2f,85.149164.2f,60.690438.2f,43.001381.2f,44.629491.2f,67.548288.2f,31.921529.2f,32.472557.2f,93.260319.2f,51.032295.2f,9.798415.2f
40.427083.2f,76.210895.2f,57.003653.2f,32.547090.2f,54.915800.2f,48.371018.2f,61.790142.2f,20.165099.2f,14.885676.2f,56.764308.2f,38.907823.2f,54.776681.2f,63.560081.2f,68.669471.2f,8.198353.2f,83.189675.2f,41.024410.2f,73.742979.2f,60.714257.2f,68.076042.2f
19.599133.2f,48.798255.2f,7.998740.2f,62.129634.2f,23.337943.2f,28.557620.2f,45.245882.2f,71.173616.2f,61.338791.2f,23.910573.2f,37.983944.2f,10.266739.2f,100.418006.2f,39.162147.2f,59.394324.2f,70.630524.2f,37.851019.2f,23.881046.2f,102.722429.2f,71.781448.2f
15.770868.2f,73.192690.2f,17.914358.2f,72.690793.2f,46.573546.2f,6.916855.2f,67.689904.2f,73.259718.2f,64.982160.2f,3.423674.2f,20.214789.2f,34.423261.2f,110.838903.2f,63.448770.2f,54.594474.2f,93.738574.2f,55.091988.2f,24.455497.2f,110.851629.2f,91.476079.2f
19.187226.2f,45.619412.2f,12.653629.2f,56.953031.2f,19.158197.2f,30.350017.2f,40.832763.2f,66.754643.2f,56.816710.2f,27.307850.2f,38.207999.2f,7.019751.2f,95.178447.2f,35.861544.2f,56.172267.2f,66.550701.2f,32.567185.2f,29.180780.2f,97.597877.2f,66.814749.2f
59.125450.2f,64.913662.2f,71.040929.2f,6.163760.2f,54.039087.2f,71.160773.2f,49.113532.2f,19.798959.2f,15.994324.2f,77.039947.2f,65.194534.2f,60.748612.2f,36.154867.2f,60.658851.2f,37.364118.2f,62.844412.2f,33.440967.2f,88.895467.2f,36.868015.2f,43.053785.2f
29.505768.2f,59.014791.2f,43.250624.2f,28.416251.2f,37.030988.2f,41.388415.2f,45.313516.2f,31.438170.2f,21.679758.2f,47.373144.2f,36.602306.2f,37.772973.2f,65.963826.2f,51.082749.2f,24.971582.2f,68.583148.2f,24.593484.2f,60.912604.2f,66.000351.2f,56.782350.2f
43.956554.2f,18.941302.2f,38.459659.2f,51.342859.2f,8.434693.2f,56.798797.2f,16.537494.2f,70.177528.2f,60.263615.2f,54.142294.2f,62.586208.2f,20.274928.2f,85.109482.2f,9.180522.2f,68.578695.2f,40.333609.2f,23.727168.2f,50.996169.2f,90.282260.2f,45.490849.2f
80.050686.2f,41.409187.2f,82.726259.2f,39.738903.2f,52.672435.2f,94.281815.2f,32.120663.2f,64.539911.2f,59.077894.2f,95.620643.2f,94.176936.2f,65.439076.2f,49.834282.2f,44.694064.2f,78.598845.2f,23.663415.2f,39.822682.2f,98.067918.2f,58.942533.2f,3.261425.2f
