28.739689.2f,28.488398.2f,43.577441.2f,51.433761.2f,33.184167.2f,28.135404.2f,74.097122.2f,56.425414.2f,35.584665.2f,70.474291.2f,30.125102.2f,14.309478.2f,70.090010.2f,63.410009.2f,41.275231.2f,69.827679.2f,70.855430.2f,43.098368.2f,26.638765.2f,36.241557.2f
80.388125.2f,84.316604.2f,98.937482.2f,40.607719.2f,74.701987.2f,79.077358.2f,17.604724.2f,17.661630.2f,77.273961.2f,61.072899.2f,87.720165.2f,43.768545.2f,12.450714.2f,47.494650.2f,53.989409.2f,83.048702.2f,77.641002.2f,90.323569.2f,36.529120.2f,22.286490.2f
29.873297.2f,30.740862.2f,47.208349.2f,50.478820.2f,35.942518.2f,31.600029.2f,71.146037.2f,52.864319.2f,38.419944.2f,70.279342.2f,33.224748.2f,10.883681.2f,66.940010.2f,62.596273.2f,38.311474.2f,71.173080.2f,71.770694.2f,46.460613.2f,22.995893.2f,32.885859.2f
50.558249.2f,58.152661.2f,84.035435.2f,65.025374.2f,72.773763.2f,69.845052.2f,57.134645.2f,26.884837.2f,75.414379.2f,88.203035.2f,65.707609.2f,30.623429.2f,49.765510.2f,76.229498.2f,13.746720.2f,99.947058.2f,97.750308.2f,84.615145.2f,17.758016.2f,25.168562.2f
35.057117.2f,36.752730.2f,52.893811.2f,46.321453.2f,38.547213.2f,36.093758.2f,64.911439.2f,46.959153.2f,41.158984.2f,67.105967.2f,39.492500.2f,4.760398.2f,60.671403.2f,58.557561.2f,36.449271.2f,70.572130.2f,70.398639.2f,50.494945.2f,17.833654.2f,26.673642.2f
64.212923.2f,55.441622.2f,28.720188.2f,63.875821.2f,19.734852.2f,23.408628.2f,106.053315.2f,100.062831.2f,17.049959.2f,67.126190.2f,45.616777.2f,61.203738.2f,105.417369.2f,70.055912.2f,91.723359.2f,45.101058.2f,52.126075.2f,8.882765.2f,74.684245.2f,78.435103.2f
89.180764.2f,85.670933.2f,76.981763.2f,21.164023.2f,44.578967.2f,57.442100.2f,65.544372.2f,75.930976.2f,45.386301.2f,11.908224.2f,81.165159.2f,59.156879.2f,68.697010.2f,18.085190.2f,91.870228.2f,22.426925.2f,15.923042.2f,57.685446.2f,67.242093.2f,59.739720.2f
29.409830.2f,19.191029.2f,14.090907.2f,78.251750.2f,36.326966.2f,22.860966.2f,108.466401.2f,91.158060.2f,36.473408.2f,91.435820.2f,8.392324.2f,49.321110.2f,104.904594.2f,88.653204.2f,67.588018.2f,78.768556.2f,83.477580.2f,30.843060.2f,60.719336.2f,71.280383.2f
75.671682.2f,72.018595.2f,64.449140.2f,20.033629.2f,31.946947.2f,44.317594.2f,65.665329.2f,70.152066.2f,33.123631.2f,24.714821.2f,67.578873.2f,47.343656.2f,67.220688.2f,24.747633.2f,80.969198.2f,26.234168.2f,23.987744.2f,46.250199.2f,56.838793.2f,51.596719.2f
54.049803.2f,44.733784.2f,16.661387.2f,68.465828.2f,20.921157.2f,16.716505.2f,107.711275.2f,98.131509.2f,18.982759.2f,75.117144.2f,34.434428.2f,57.213041.2f,106.158172.2f,76.217666.2f,85.074348.2f,55.839804.2f,62.199833.2f,5.528814.2f,70.622253.2f,76.549764.2f
27.736115.2f,17.477293.2f,16.093411.2f,79.630395.2f,38.365787.2f,24.868033.2f,109.049857.2f,91.134162.2f,38.588816.2f,93.195588.2f,6.985549.2f,49.514913.2f,105.332257.2f,90.170786.2f,66.613206.2f,80.922269.2f,85.540238.2f,33.171298.2f,60.594411.2f,71.513222.2f
