30.985957.2f,58.902298.2f,4.577652.2f,49.415171.2f,4.443112.2f,28.057488.2f,37.999307.2f,54.742713.2f,43.453117.2f,2.974003.2f
70.526402.2f,41.847661.2f,53.697061.2f,53.016816.2f,48.049696.2f,60.041379.2f,80.588591.2f,26.143285.2f,47.557488.2f,49.882707.2f
84.270480.2f,36.583417.2f,75.167415.2f,55.228827.2f,69.573995.2f,72.716031.2f,94.561245.2f,23.527823.2f,52.239056.2f,69.967131.2f
30.167888.2f,43.294557.2f,58.036469.2f,23.017742.2f,57.220135.2f,26.261168.2f,34.968072.2f,54.814033.2f,26.559344.2f,51.384220.2f
85.983495.2f,47.958349.2f,70.301046.2f,63.537112.2f,64.659052.2f,75.066657.2f,96.177588.2f,32.332688.2f,59.096744.2f,66.480345.2f
60.838175.2f,45.327074.2f,85.876377.2f,35.326285.2f,83.954868.2f,55.362123.2f,65.381585.2f,61.164283.2f,42.038780.2f,78.644532.2f
8.865440.2f,66.461476.2f,35.792681.2f,47.984986.2f,38.631490.2f,20.467194.2f,3.994250.2f,70.555556.2f,45.779771.2f,33.137406.2f
44.720326.2f,69.777750.2f,11.163574.2f,62.845505.2f,11.942210.2f,42.746962.2f,50.410506.2f,62.880908.2f,56.547190.2f,17.410921.2f
29.757351.2f,45.939371.2f,17.442752.2f,37.474987.2f,13.594103.2f,22.141260.2f,39.073899.2f,42.394524.2f,31.187588.2f,10.225600.2f
12.222698.2f,46.927696.2f,28.931584.2f,30.547346.2f,28.613681.2f,2.935773.2f,22.515110.2f,49.993830.2f,26.781815.2f,22.594266.2f
43.581926.2f,15.584185.2f,48.058093.2f,14.611734.2f,43.909201.2f,31.925878.2f,53.581429.2f,19.426471.2f,9.614781.2f,40.717918.2f
21.738105.2f,51.834825.2f,53.223453.2f,31.143210.2f,53.459137.2f,22.069205.2f,24.526515.2f,61.488040.2f,32.801538.2f,47.392214.2f
72.447303.2f,14.860084.2f,76.642184.2f,34.746278.2f,71.903238.2f,61.083317.2f,81.984651.2f,20.731262.2f,35.555482.2f,69.639851.2f
44.042757.2f,52.950027.2f,74.048557.2f,35.119897.2f,73.467336.2f,42.193781.2f,46.219441.2f,66.702101.2f,40.325352.2f,67.571832.2f
