60.475026.2f,67.316313.2f,39.597990.2f,48.309455.2f,36.894469.2f,42.723258.2f,71.020706.2f,8.818232.2f,31.304549.2f,82.394982.2f
56.931268.2f,63.651214.2f,36.435341.2f,47.025875.2f,33.360824.2f,39.566803.2f,67.644561.2f,6.805674.2f,31.355287.2f,79.260583.2f
26.032673.2f,27.179090.2f,53.910780.2f,72.015036.2f,49.090456.2f,52.762064.2f,41.595145.2f,74.926584.2f,81.756958.2f,39.062926.2f
85.284622.2f,63.812576.2f,38.188090.2f,98.304891.2f,46.031861.2f,38.083517.2f,54.694916.2f,47.680272.2f,85.619206.2f,112.784171.2f
11.366399.2f,28.302091.2f,45.998147.2f,57.236273.2f,39.528745.2f,45.658958.2f,43.648321.2f,62.344486.2f,66.624986.2f,32.628638.2f
79.073309.2f,55.938761.2f,32.136038.2f,95.388451.2f,40.358655.2f,31.559191.2f,46.493093.2f,46.804539.2f,84.261304.2f,106.634280.2f
25.892537.2f,11.519938.2f,30.511252.2f,65.538909.2f,26.301518.2f,29.346161.2f,25.815932.2f,54.110239.2f,69.239299.2f,51.277901.2f
68.741415.2f,37.146658.2f,29.931685.2f,96.833744.2f,37.330580.2f,27.236055.2f,24.008461.2f,57.932613.2f,91.015140.2f,95.422717.2f
51.117217.2f,66.539087.2f,44.759458.2f,32.504566.2f,39.240378.2f,47.768457.2f,73.518848.2f,20.960132.2f,17.378544.2f,69.815625.2f
33.772759.2f,36.281550.2f,18.606608.2f,48.972622.2f,10.549292.2f,20.812373.2f,43.129909.2f,26.055520.2f,45.173845.2f,60.169254.2f
69.174478.2f,59.388566.2f,27.353470.2f,73.528418.2f,31.544818.2f,29.438085.2f,56.624169.2f,21.572008.2f,59.508160.2f,95.536029.2f
66.839237.2f,45.830371.2f,19.827462.2f,84.150512.2f,28.048776.2f,19.398165.2f,38.729814.2f,38.190938.2f,74.413961.2f,94.391921.2f
67.021547.2f,64.471530.2f,32.999560.2f,63.729883.2f,34.038330.2f,35.790433.2f,64.525515.2f,11.372819.2f,47.873043.2f,91.779326.2f
33.027741.2f,52.207846.2f,38.234094.2f,29.147709.2f,30.525465.2f,40.677185.2f,61.751529.2f,29.066013.2f,27.223885.2f,53.227341.2f
41.859613.2f,74.618484.2f,68.089942.2f,6.787752.2f,59.954798.2f,70.266802.2f,87.118603.2f,56.295417.2f,27.826804.2f,44.430538.2f
25.476071.2f,33.908450.2f,59.268268.2f,70.648151.2f,53.864029.2f,58.341764.2f,48.474700.2f,78.381736.2f,82.068004.2f,33.482203.2f
73.016724.2f,90.045419.2f,66.026225.2f,40.606290.2f,61.681760.2f,69.142778.2f,96.261563.2f,36.521286.2f,19.435514.2f,87.862720.2f
39.567592.2f,74.961832.2f,72.924819.2f,17.240264.2f,64.546158.2f,74.784132.2f,88.523991.2f,64.784343.2f,38.399636.2f,36.044557.2f
45.184600.2f,73.357417.2f,61.475791.2f,7.341862.2f,53.888306.2f,63.995380.2f,84.291261.2f,45.345619.2f,15.478169.2f,54.034016.2f
29.049745.2f,47.997552.2f,35.982566.2f,31.673925.2f,27.928707.2f,38.218588.2f,57.971796.2f,30.883135.2f,31.577080.2f,50.552136.2f
35.445705.2f,70.858367.2f,81.380654.2f,46.268793.2f,73.217398.2f,82.202903.2f,86.144241.2f,83.979296.2f,66.177826.2f,11.636312.2f
45.730665.2f,18.588167.2f,50.453856.2f,90.126294.2f,49.445240.2f,48.097695.2f,24.728324.2f,78.642196.2f,95.460854.2f,63.500677.2f
45.054736.2f,63.325855.2f,44.615588.2f,27.268294.2f,38.123397.2f,47.462788.2f,71.543216.2f,25.335590.2f,16.760510.2f,63.007439.2f
7.730444.2f,34.319715.2f,40.030638.2f,44.079850.2f,32.125708.2f,40.686941.2f,48.190341.2f,49.918823.2f,51.964008.2f,34.695881.2f
37.533136.2f,73.225096.2f,83.087366.2f,45.572472.2f,74.869002.2f,83.983003.2f,88.479554.2f,84.817015.2f,65.835624.2f,14.300455.2f
61.600486.2f,29.586157.2f,26.042896.2f,91.558447.2f,32.490214.2f,23.043002.2f,17.011311.2f,56.002587.2f,87.103873.2f,88.074852.2f
49.266200.2f,23.735440.2f,13.055790.2f,77.122433.2f,18.243439.2f,9.934307.2f,19.323137.2f,44.201625.2f,73.090919.2f,76.467305.2f
73.571840.2f,58.401089.2f,27.989764.2f,82.463847.2f,34.360133.2f,29.115813.2f,53.037605.2f,31.403127.2f,69.347535.2f,100.647433.2f
34.186293.2f,48.510513.2f,32.192686.2f,35.291357.2f,24.709112.2f,34.724300.2f,57.012610.2f,24.623030.2f,31.202688.2f,56.714526.2f
37.035731.2f,44.324264.2f,24.365523.2f,43.382381.2f,17.416525.2f,27.043603.2f,51.128173.2f,20.513308.2f,37.481881.2f,61.744409.2f
65.096339.2f,51.419949.2f,20.060213.2f,75.338269.2f,25.964865.2f,21.590187.2f,47.668153.2f,26.167415.2f,63.530646.2f,92.164569.2f
