0.00,34.85,24.64,10.48,53.26,63.49,30.76,5.32,30.27,3.68
34.85,0.00,59.50,24.37,18.40,28.64,4.10,40.17,4.59,31.17
24.64,59.50,0.00,35.12,77.90,88.14,55.40,19.32,54.91,28.33
10.48,24.37,35.12,0.00,42.78,53.01,20.28,15.80,19.79,6.79
53.26,18.40,77.90,42.78,0.00,10.24,22.50,58.58,22.99,49.57
63.49,28.64,88.14,53.01,10.24,0.00,32.74,68.81,33.22,59.81
30.76,4.10,55.40,20.28,22.50,32.74,0.00,36.08,0.49,27.07
5.32,40.17,19.32,15.80,58.58,68.81,36.08,0.00,35.59,9.01
30.27,4.59,54.91,19.79,22.99,33.22,0.49,35.59,0.00,26.58
3.68,31.17,28.33,6.79,49.57,59.81,27.07,9.01,26.58,0.00
