0.00,3.82,42.14,22.21,40.89,23.11,19.63,2.70,39.07,50.79,54.08,21.66,18.16,42.12,37.64,45.12,41.26,24.55,34.21,40.12,31.89,23.03,41.92,1.98,11.35,47.78,16.92,49.44,35.26,53.56
3.82,0.00,38.31,18.39,37.07,19.29,23.45,6.52,42.89,46.97,50.26,25.48,14.34,38.30,41.46,41.30,45.08,28.38,38.03,43.94,28.07,19.21,45.74,1.84,15.17,43.96,20.75,45.61,39.08,49.74
42.14,38.31,0.00,19.92,1.25,19.03,61.77,44.84,81.21,8.65,11.94,63.79,23.98,0.02,79.77,2.98,83.40,66.69,76.35,82.25,10.24,19.10,84.05,40.15,53.49,5.65,59.06,7.30,77.40,11.42
22.21,18.39,19.92,0.00,18.68,0.90,41.84,24.91,61.28,28.58,31.87,43.87,4.05,19.91,59.85,22.91,63.47,46.77,56.42,62.33,9.68,0.82,64.13,20.23,33.56,25.57,39.14,27.22,57.47,31.35
40.89,37.07,1.25,18.68,0.00,17.78,60.52,43.59,79.96,9.90,13.19,62.55,22.73,1.23,78.52,4.23,82.15,65.44,75.10,81.00,8.99,17.86,82.80,38.91,52.24,6.90,57.81,8.55,76.15,12.67
23.11,19.29,19.03,0.90,17.78,0.00,42.74,25.81,62.18,27.68,30.97,44.77,4.95,19.01,60.75,22.01,64.37,47.66,57.32,63.23,8.78,0.08,65.03,21.13,34.46,24.67,40.04,26.33,58.37,30.45
19.63,23.45,61.77,41.84,60.52,42.74,0.00,16.93,19.44,70.42,73.71,2.03,37.79,61.75,18.01,64.75,21.63,4.92,14.58,20.49,51.52,42.66,22.29,21.61,8.28,67.41,2.71,69.07,15.63,73.19
2.70,6.52,44.84,24.91,43.59,25.81,16.93,0.00,36.37,53.49,56.78,18.96,20.86,44.82,34.93,47.82,38.56,21.85,31.51,37.41,34.60,25.73,39.21,4.69,8.65,50.49,14.22,52.14,32.56,56.26
39.07,42.89,81.21,61.28,79.96,62.18,19.44,36.37,0.00,89.86,93.15,17.41,57.23,81.19,1.43,84.19,2.19,14.52,4.86,1.05,70.96,62.10,2.85,41.05,27.72,86.85,22.14,88.51,3.81,92.63
50.79,46.97,8.65,28.58,9.90,27.68,70.42,53.49,89.86,0.00,3.29,72.45,32.63,8.67,88.43,5.67,92.05,75.35,85.00,90.91,18.90,27.76,92.71,48.81,62.14,3.01,67.72,1.35,86.05,2.77
54.08,50.26,11.94,31.87,13.19,30.97,73.71,56.78,93.15,3.29,0.00,75.74,35.92,11.96,91.72,8.96,95.34,78.63,88.29,94.20,22.19,31.05,96.00,52.10,65.43,6.30,71.01,4.64,89.34,0.52
21.66,25.48,63.79,43.87,62.55,44.77,2.03,18.96,17.41,72.45,75.74,0.00,39.82,63.78,15.98,66.78,19.60,2.90,12.56,18.46,53.55,44.69,20.26,23.64,10.31,69.44,4.73,71.09,13.60,75.21
18.16,14.34,23.98,4.05,22.73,4.95,37.79,20.86,57.23,32.63,35.92,39.82,0.00,23.96,55.80,26.96,59.42,42.71,52.37,58.28,13.74,4.87,60.08,16.18,29.51,29.63,35.08,31.28,53.42,35.40
42.12,38.30,0.02,19.91,1.23,19.01,61.75,44.82,81.19,8.67,11.96,63.78,23.96,0.00,79.76,3.00,83.38,66.67,76.33,82.24,10.23,19.09,84.04,40.14,53.47,5.66,59.04,7.32,77.38,11.44
