0.00,100.67,66.62,84.41,103.81,62.75,81.95,44.26,70.88,43.10
100.67,0.00,78.20,26.61,3.43,48.23,42.53,83.43,45.73,75.09
66.62,78.20,0.00,81.47,79.67,32.93,37.33,89.42,32.60,24.68
84.41,26.61,81.47,0.00,29.83,48.54,53.38,59.20,50.70,70.13
103.81,3.43,79.67,29.83,0.00,50.38,43.45,86.86,47.40,77.46
62.75,48.23,32.93,48.54,50.38,0.00,19.49,67.77,8.49,27.49
81.95,42.53,37.33,53.38,43.45,19.49,0.00,85.45,11.10,43.36
44.26,83.43,89.42,59.20,86.86,67.77,85.45,0.00,75.73,65.81
70.88,45.73,32.60,50.70,47.40,8.49,11.10,75.73,0.00,33.35
43.10,75.09,24.68,70.13,77.46,27.49,43.36,65.81,33.35,0.00
