0.00,0.41,0.16,0.39,0.38,0.06,0.53,0.64,0.46,0.18,0.31,0.24,0.50,0.52,0.26,0.61,0.49,0.36,0.28,0.15,0.66,0.17,0.20,0.72,0.29,0.70,0.78,0.50,0.19,0.27,0.45,0.30,0.49,0.38,0.39,0.30,0.34,0.11,0.43,0.25
0.41,0.00,0.57,0.09,0.59,0.46,0.49,0.34,0.59,0.54,0.42,0.31,0.09,0.55,0.20,0.37,0.16,0.43,0.66,0.47,0.47,0.24,0.21,0.39,0.61,0.39,0.39,0.10,0.60,0.17,0.41,0.64,0.54,0.54,0.52,0.16,0.09,0.38,0.53,0.28
0.16,0.57,0.00,0.55,0.37,0.13,0.60,0.77,0.47,0.12,0.38,0.38,0.66,0.56,0.40,0.73,0.65,0.42,0.15,0.22,0.76,0.33,0.36,0.85,0.23,0.84,0.93,0.66,0.04,0.43,0.58,0.21,0.54,0.40,0.42,0.46,0.49,0.21,0.46,0.39
0.39,0.09,0.55,0.00,0.63,0.43,0.56,0.43,0.64,0.54,0.46,0.24,0.14,0.61,0.23,0.46,0.11,0.48,0.66,0.42,0.56,0.23,0.21,0.47,0.62,0.47,0.46,0.13,0.59,0.12,0.33,0.65,0.60,0.58,0.57,0.10,0.13,0.39,0.58,0.22
0.38,0.59,0.37,0.63,0.00,0.42,0.31,0.61,0.12,0.25,0.18,0.59,0.66,0.24,0.39,0.54,0.73,0.18,0.29,0.52,0.52,0.43,0.44,0.69,0.15,0.67,0.84,0.68,0.35,0.55,0.81,0.20,0.22,0.08,0.11,0.57,0.51,0.29,0.14,0.59
0.06,0.46,0.13,0.43,0.42,0.00,0.59,0.70,0.50,0.19,0.36,0.25,0.55,0.57,0.32,0.67,0.53,0.41,0.27,0.11,0.72,0.22,0.25,0.78,0.31,0.76,0.84,0.55,0.17,0.31,0.45,0.31,0.55,0.43,0.44,0.33,0.39,0.16,0.48,0.26
0.53,0.49,0.60,0.56,0.31,0.59,0.00,0.34,0.22,0.49,0.23,0.65,0.53,0.10,0.36,0.26,0.65,0.18,0.58,0.68,0.21,0.47,0.46,0.42,0.44,0.40,0.59,0.56,0.61,0.55,0.85,0.50,0.10,0.24,0.21,0.56,0.44,0.43,0.17,0.64
0.64,0.34,0.77,0.43,0.61,0.70,0.34,0.00,0.54,0.69,0.45,0.63,0.31,0.44,0.38,0.08,0.46,0.42,0.81,0.75,0.19,0.49,0.47,0.09,0.70,0.07,0.25,0.35,0.79,0.49,0.76,0.75,0.44,0.53,0.50,0.48,0.35,0.56,0.49,0.61
0.46,0.59,0.47,0.64,0.12,0.50,0.22,0.54,0.00,0.35,0.19,0.65,0.65,0.13,0.41,0.47,0.75,0.16,0.41,0.61,0.43,0.47,0.48,0.63,0.26,0.61,0.78,0.68,0.46,0.58,0.87,0.32,0.12,0.07,0.08,0.60,0.52,0.36,0.06,0.64
0.18,0.54,0.12,0.54,0.25,0.19,0.49,0.69,0.35,0.00,0.27,0.42,0.63,0.45,0.36,0.65,0.65,0.31,0.12,0.30,0.66,0.32,0.34,0.78,0.12,0.76,0.88,0.64,0.11,0.43,0.63,0.12,0.43,0.28,0.30,0.46,0.46,0.16,0.35,0.43
0.31,0.42,0.38,0.46,0.18,0.36,0.23,0.45,0.19,0.27,0.00,0.47,0.48,0.21,0.22,0.39,0.56,0.05,0.37,0.46,0.39,0.29,0.29,0.53,0.25,0.51,0.66,0.51,0.38,0.40,0.68,0.31,0.19,0.13,0.11,0.41,0.34,0.20,0.14,0.46
0.24,0.31,0.38,0.24,0.59,0.25,0.65,0.63,0.65,0.42,0.47,0.00,0.38,0.67,0.29,0.64,0.31,0.51,0.51,0.19,0.71,0.18,0.19,0.69,0.52,0.68,0.70,0.37,0.41,0.14,0.22,0.54,0.65,0.58,0.57,0.15,0.27,0.30,0.60,0.02
0.50,0.09,0.66,0.14,0.66,0.55,0.53,0.31,0.65,0.63,0.48,0.38,0.00,0.60,0.28,0.36,0.15,0.50,0.75,0.55,0.47,0.33,0.30,0.35,0.69,0.35,0.32,0.03,0.69,0.26,0.46,0.73,0.59,0.61,0.59,0.24,0.17,0.47,0.59,0.36
0.52,0.55,0.56,0.61,0.24,0.57,0.10,0.44,0.13,0.45,0.21,0.67,0.60,0.00,0.40,0.36,0.71,0.16,0.52,0.67,0.30,0.49,0.48,0.52,0.38,0.49,0.68,0.63,0.56,0.58,0.88,0.43,0.02,0.17,0.14,0.59,0.49,0.41,0.10,0.66
0.26,0.20,0.40,0.23,0.39,0.32,0.36,0.38,0.41,0.36,0.22,0.29,0.28,0.40,0.00,0.36,0.34,0.25,0.48,0.37,0.43,0.12,0.10,0.46,0.41,0.44,0.53,0.30,0.43,0.19,0.48,0.45,0.38,0.35,0.33,0.20,0.12,0.20,0.35,0.28
0.61,0.37,0.73,0.46,0.54,0.67,0.26,0.08,0.47,0.65,0.39,0.64,0.36,0.36,0.36,0.00,0.51,0.36,0.76,0.73,0.11,0.48,0.46,0.16,0.64,0.14,0.33,0.40,0.75,0.50,0.78,0.70,0.36,0.47,0.43,0.50,0.36,0.53,0.41,0.62
0.49,0.16,0.65,0.11,0.73,0.53,0.65,0.46,0.75,0.65,0.56,0.31,0.15,0.71,0.34,0.51,0.00,0.59,0.77,0.50,0.62,0.33,0.31,0.49,0.73,0.50,0.44,0.12,0.69,0.22,0.32,0.76,0.69,0.69,0.67,0.20,0.23,0.49,0.69,0.29
0.36,0.43,0.42,0.48,0.18,0.41,0.18,0.42,0.16,0.31,0.05,0.51,0.50,0.16,0.25,0.36,0.59,0.00,0.41,0.51,0.36,0.33,0.33,0.51,0.28,0.49,0.65,0.52,0.43,0.43,0.72,0.34,0.14,0.12,0.09,0.45,0.36,0.25,0.10,0.50
0.28,0.66,0.15,0.66,0.29,0.27,0.58,0.81,0.41,0.12,0.37,0.51,0.75,0.52,0.48,0.76,0.77,0.41,0.00,0.36,0.76,0.43,0.46,0.90,0.14,0.88,1.00,0.76,0.11,0.55,0.72,0.09,0.50,0.35,0.38,0.57,0.58,0.28,0.42,0.53
0.15,0.47,0.22,0.42,0.52,0.11,0.68,0.75,0.61,0.30,0.46,0.19,0.55,0.67,0.37,0.73,0.50,0.51,0.36,0.00,0.79,0.26,0.28,0.82,0.42,0.81,0.86,0.55,0.25,0.30,0.36,0.41,0.65,0.54,0.54,0.32,0.41,0.26,0.58,0.22
