0.00,0.68,0.43,0.32,0.46,0.72,0.31,0.42,0.28,0.81,0.53,0.40,0.71,0.46,0.60,0.58,0.47,0.05,0.54,0.31
0.68,0.00,0.24,0.83,0.27,0.21,0.80,0.69,0.55,0.17,0.82,0.35,0.20,0.36,0.29,0.22,0.37,0.69,0.56,0.87
0.43,0.24,0.00,0.60,0.16,0.34,0.57,0.49,0.36,0.39,0.67,0.16,0.30,0.25,0.30,0.23,0.23,0.45,0.43,0.65
0.32,0.83,0.60,0.00,0.69,0.93,0.02,0.23,0.59,0.98,0.84,0.48,0.78,0.72,0.84,0.80,0.50,0.36,0.44,0.58
0.46,0.27,0.16,0.69,0.00,0.26,0.67,0.63,0.28,0.36,0.55,0.32,0.41,0.10,0.15,0.12,0.39,0.46,0.58,0.60
0.72,0.21,0.34,0.93,0.26,0.00,0.91,0.84,0.52,0.14,0.72,0.50,0.41,0.30,0.16,0.14,0.54,0.72,0.74,0.84
0.31,0.80,0.57,0.02,0.67,0.91,0.00,0.21,0.57,0.96,0.83,0.45,0.75,0.70,0.82,0.78,0.47,0.35,0.42,0.58
0.42,0.69,0.49,0.23,0.63,0.84,0.21,0.00,0.62,0.85,0.93,0.34,0.60,0.69,0.78,0.72,0.32,0.47,0.21,0.73
0.28,0.55,0.36,0.59,0.28,0.52,0.57,0.62,0.00,0.64,0.33,0.43,0.66,0.22,0.37,0.38,0.52,0.26,0.67,0.32
0.81,0.17,0.39,0.98,0.36,0.14,0.96,0.85,0.64,0.00,0.86,0.52,0.33,0.42,0.30,0.26,0.54,0.82,0.72,0.96
0.53,0.82,0.67,0.84,0.55,0.72,0.83,0.93,0.33,0.86,0.00,0.76,0.96,0.46,0.56,0.61,0.85,0.48,1.00,0.32
0.40,0.35,0.16,0.48,0.32,0.50,0.45,0.34,0.43,0.52,0.76,0.00,0.32,0.40,0.46,0.39,0.09,0.43,0.27,0.68
0.71,0.20,0.30,0.78,0.41,0.41,0.75,0.60,0.66,0.33,0.96,0.32,0.00,0.51,0.48,0.40,0.28,0.74,0.42,0.95
0.46,0.36,0.25,0.72,0.10,0.30,0.70,0.69,0.22,0.42,0.46,0.40,0.51,0.00,0.15,0.16,0.48,0.45,0.67,0.54
0.60,0.29,0.30,0.84,0.15,0.16,0.82,0.78,0.37,0.30,0.56,0.46,0.48,0.15,0.00,0.08,0.52,0.59,0.72,0.68
0.58,0.22,0.23,0.80,0.12,0.14,0.78,0.72,0.38,0.26,0.61,0.39,0.40,0.16,0.08,0.00,0.45,0.58,0.65,0.70
0.47,0.37,0.23,0.50,0.39,0.54,0.47,0.32,0.52,0.54,0.85,0.09,0.28,0.48,0.52,0.45,0.00,0.51,0.20,0.76
0.05,0.69,0.45,0.36,0.46,0.72,0.35,0.47,0.26,0.82,0.48,0.43,0.74,0.45,0.59,0.58,0.51,0.00,0.59,0.27
0.54,0.56,0.43,0.44,0.58,0.74,0.42,0.21,0.67,0.72,1.00,0.27,0.42,0.67,0.72,0.65,0.20,0.59,0.00,0.85
0.31,0.87,0.65,0.58,0.60,0.84,0.58,0.73,0.32,0.96,0.32,0.68,0.95,0.54,0.68,0.70,0.76,0.27,0.85,0.00
