0.00,0.60,0.80,0.75,0.63,0.18,0.73,0.84,1.00,0.65
0.60,0.00,0.47,0.27,0.33,0.50,0.20,0.34,0.43,0.44
0.80,0.47,0.00,0.72,0.80,0.62,0.31,0.24,0.76,0.90
0.75,0.27,0.72,0.00,0.18,0.70,0.42,0.54,0.28,0.27
0.63,0.33,0.80,0.18,0.00,0.62,0.52,0.66,0.45,0.11
0.18,0.50,0.62,0.70,0.62,0.00,0.59,0.69,0.92,0.67
0.73,0.20,0.31,0.42,0.52,0.59,0.00,0.14,0.46,0.62
0.84,0.34,0.24,0.54,0.66,0.69,0.14,0.00,0.53,0.76
1.00,0.43,0.76,0.28,0.45,0.92,0.46,0.53,0.00,0.52
0.65,0.44,0.90,0.27,0.11,0.67,0.62,0.76,0.52,0.00
