26.352718.2f,20.548341.2f,1.732822.2f,37.546092.2f,26.172993.2f,26.836370.2f,32.149709.2f,75.820985.2f,32.982625.2f,37.843017.2f,37.215704.2f,52.385562.2f,55.877501.2f,52.847482.2f,63.500664.2f,24.348804.2f,38.014014.2f,47.990390.2f,25.297163.2f,26.609227.2f
17.155106.2f,45.933976.2f,28.357215.2f,67.403296.2f,53.115066.2f,19.282472.2f,60.854688.2f,47.866661.2f,42.222688.2f,13.518537.2f,15.542987.2f,67.372674.2f,47.448164.2f,46.929199.2f,34.168558.2f,34.205203.2f,63.662051.2f,19.782575.2f,26.412356.2f,37.274987.2f
39.435460.2f,50.374158.2f,37.825056.2f,38.377379.2f,20.049312.2f,37.738870.2f,50.321536.2f,86.123471.2f,16.095919.2f,67.289354.2f,68.043379.2f,15.846305.2f,92.165010.2f,89.398357.2f,87.414276.2f,20.961860.2f,18.403034.2f,74.497176.2f,29.848966.2f,63.029864.2f
67.256729.2f,44.904194.2f,52.709420.2f,76.392112.2f,76.151601.2f,69.103508.2f,58.188776.2f,94.259452.2f,85.230969.2f,45.320365.2f,42.015621.2f,105.970380.2f,16.343707.2f,12.221329.2f,64.486712.2f,76.005201.2f,87.827295.2f,53.016786.2f,72.838573.2f,27.375823.2f
57.922635.2f,82.538262.2f,67.173601.2f,69.099085.2f,52.482420.2f,55.792037.2f,82.832769.2f,89.586816.2f,34.606388.2f,88.580931.2f,90.293010.2f,18.826536.2f,118.939348.2f,116.887329.2f,102.029138.2f,43.870822.2f,47.244713.2f,92.673466.2f,49.189876.2f,93.104487.2f
25.589745.2f,26.836743.2f,14.074522.2f,52.009190.2f,41.866976.2f,27.166452.2f,42.494571.2f,67.256682.2f,42.882167.2f,23.185753.2f,22.029028.2f,65.428738.2f,41.873780.2f,39.478648.2f,49.887133.2f,33.613084.2f,53.650891.2f,34.028703.2f,30.093396.2f,19.616892.2f
60.665995.2f,55.023600.2f,54.489265.2f,86.649590.2f,81.484300.2f,62.754641.2f,70.795176.2f,76.748537.2f,83.025287.2f,32.281154.2f,29.423612.2f,106.487703.2f,5.313295.2f,9.314408.2f,45.036904.2f,73.892969.2f,93.472493.2f,36.437664.2f,68.412698.2f,35.227008.2f
37.253216.2f,82.984694.2f,62.255808.2f,95.973793.2f,77.201995.2f,37.225399.2f,95.464559.2f,19.981670.2f,51.680718.2f,47.723844.2f,51.000592.2f,72.461135.2f,82.939121.2f,83.748685.2f,41.993539.2f,50.295047.2f,83.762659.2f,42.632393.2f,42.346897.2f,77.379957.2f
48.876040.2f,65.939828.2f,52.504407.2f,51.418294.2f,34.934841.2f,46.878251.2f,65.257509.2f,89.510438.2f,23.400318.2f,78.746757.2f,79.944720.2f,2.578838.2f,106.149167.2f,103.647133.2f,96.058071.2f,31.763213.2f,29.651304.2f,84.619525.2f,39.246314.2f,78.119654.2f
68.000030.2f,22.753195.2f,43.468303.2f,43.869130.2f,52.581504.2f,68.936625.2f,24.410820.2f,111.843986.2f,74.007922.2f,63.494667.2f,60.827746.2f,86.954485.2f,53.576496.2f,48.839674.2f,89.647231.2f,66.432015.2f,61.835610.2f,74.438488.2f,68.263987.2f,28.378154.2f
64.361851.2f,61.225113.2f,59.922234.2f,92.779176.2f,87.169806.2f,66.479219.2f,77.052599.2f,76.109057.2f,87.472893.2f,34.802620.2f,32.282905.2f,111.324973.2f,10.209222.2f,14.861431.2f,43.540340.2f,78.440296.2f,99.146906.2f,37.110745.2f,72.523249.2f,41.439128.2f
