44.491372.2f,50.473557.2f,62.260577.2f,82.828028.2f,35.103436.2f,55.803654.2f,83.973130.2f,85.873494.2f,65.890835.2f,12.801924.2f,74.691369.2f,23.766246.2f,73.060506.2f,63.286198.2f,8.572990.2f,53.227894.2f,99.949267.2f,71.012936.2f,19.638982.2f,51.530759.2f,36.252416.2f,14.584183.2f,27.531108.2f,74.434163.2f,62.648553.2f,62.752927.2f,81.557370.2f,44.849907.2f,78.108552.2f,71.260711.2f
63.960734.2f,52.362325.2f,45.124094.2f,20.848445.2f,51.900850.2f,61.719879.2f,31.772531.2f,52.810574.2f,7.749136.2f,62.049345.2f,42.406693.2f,70.063166.2f,27.068306.2f,38.817322.2f,71.190522.2f,26.892828.2f,64.321111.2f,29.972227.2f,57.245198.2f,39.969060.2f,41.992528.2f,63.922984.2f,75.991105.2f,13.639323.2f,24.314270.2f,45.796534.2f,48.408318.2f,73.960022.2f,19.966377.2f,7.723847.2f
39.190532.2f,42.851196.2f,53.513261.2f,74.166380.2f,33.642336.2f,55.050170.2f,76.563530.2f,76.796030.2f,57.285271.2f,16.859125.2f,65.436819.2f,23.580249.2f,63.396529.2f,58.175857.2f,16.722498.2f,43.615252.2f,90.928053.2f,61.403162.2f,20.542796.2f,42.582603.2f,27.371859.2f,19.303252.2f,28.790762.2f,65.834267.2f,52.993316.2f,58.705821.2f,72.397747.2f,41.772846.2f,69.877660.2f,62.150253.2f
54.225646.2f,57.447065.2f,66.874883.2f,76.560900.2f,22.372220.2f,42.846626.2f,75.219810.2f,89.290649.2f,59.786188.2f,3.179113.2f,77.542813.2f,36.175871.2f,73.031612.2f,52.159259.2f,20.596228.2f,54.343109.2f,103.470099.2f,71.807763.2f,6.679266.2f,55.741582.2f,40.995018.2f,5.391069.2f,40.348291.2f,68.142416.2f,62.983208.2f,50.847362.2f,84.714263.2f,56.216725.2f,70.911554.2f,66.536600.2f
49.259540.2f,34.185013.2f,18.167461.2f,53.486208.2f,82.766201.2f,98.264403.2f,70.531251.2f,11.790653.2f,48.875523.2f,81.857861.2f,3.066661.2f,69.130512.2f,15.090638.2f,79.303974.2f,81.012842.2f,24.981939.2f,25.219641.2f,11.394973.2f,80.781535.2f,25.927728.2f,40.689428.2f,84.303088.2f,73.643671.2f,51.119253.2f,18.808915.2f,85.708541.2f,7.117612.2f,59.945151.2f,57.738029.2f,41.505487.2f
48.776759.2f,33.627554.2f,17.908719.2f,50.611430.2f,79.646326.2f,94.978324.2f,67.446779.2f,15.138516.2f,45.590851.2f,79.239046.2f,4.868971.2f,67.745838.2f,12.111183.2f,75.941779.2f,78.981183.2f,22.107371.2f,28.378068.2f,8.112476.2f,77.967582.2f,24.365191.2f,38.710538.2f,81.669340.2f,72.426874.2f,48.004572.2f,15.498297.2f,82.346595.2f,10.480616.2f,59.592170.2f,54.657251.2f,38.367534.2f
16.931361.2f,3.643607.2f,15.617084.2f,68.641396.2f,66.530970.2f,86.307520.2f,80.388157.2f,39.712620.2f,56.018914.2f,57.118160.2f,30.630759.2f,36.300477.2f,38.042208.2f,76.497731.2f,50.902157.2f,22.502483.2f,53.123851.2f,33.742742.2f,58.797717.2f,9.853171.2f,14.551072.2f,59.611501.2f,40.458480.2f,62.516673.2f,29.754898.2f,80.733455.2f,36.151613.2f,27.886903.2f,68.956803.2f,54.084801.2f
60.252659.2f,46.006787.2f,33.660055.2f,29.967097.2f,69.146869.2f,81.085194.2f,46.970139.2f,34.159461.2f,26.638920.2f,74.759683.2f,25.491028.2f,73.334169.2f,8.552338.2f,58.745938.2f,79.609400.2f,22.667689.2f,44.680543.2f,13.026011.2f,71.481876.2f,33.606918.2f,42.715207.2f,76.952557.2f,78.843287.2f,27.654717.2f,13.723792.2f,65.741026.2f,30.193614.2f,71.123490.2f,34.183395.2f,18.188085.2f
83.112306.2f,81.390472.2f,85.301638.2f,66.073244.2f,12.790015.2f,8.662070.2f,56.496177.2f,103.027213.2f,52.860890.2f,35.583595.2f,91.048974.2f,69.761078.2f,80.347176.2f,27.332483.2f,55.061677.2f,67.392792.2f,116.473733.2f,81.261241.2f,27.926712.2f,74.808165.2f,63.620426.2f,34.949681.2f,74.465873.2f,58.907440.2f,72.689864.2f,21.939652.2f,98.233379.2f,87.657358.2f,58.238720.2f,62.405496.2f
58.916154.2f,58.398492.2f,64.545178.2f,63.580281.2f,11.756252.2f,33.033196.2f,61.001950.2f,84.875702.2f,47.169007.2f,17.066099.2f,72.827873.2f,46.003494.2f,65.440406.2f,37.857407.2f,34.057439.2f,48.797758.2f,98.880385.2f,65.096243.2f,10.234256.2f,53.539607.2f,40.684216.2f,18.111961.2f,51.065504.2f,55.249399.2f,56.143045.2f,37.118816.2f,80.126922.2f,63.290044.2f,57.424601.2f,54.834940.2f
59.749033.2f,45.580070.2f,30.248196.2f,64.539543.2f,99.038449.2f,114.287193.2f,82.678419.2f,6.047856.2f,62.906506.2f,97.665624.2f,17.310583.2f,82.051481.2f,28.711593.2f,94.372679.2f,95.591986.2f,41.201719.2f,8.961663.2f,26.528711.2f,96.871801.2f,40.255477.2f,55.490408.2f,100.131931.2f,86.006481.2f,63.763907.2f,34.832125.2f,101.026250.2f,10.163895.2f,69.664879.2f,70.032408.2f,54.513209.2f
