16.275680.2f,26.620305.2f,30.648176.2f,94.294394.2f,61.609352.2f,45.299925.2f,79.089872.2f,72.965001.2f,54.065918.2f,44.025143.2f
47.354634.2f,72.491014.2f,76.396987.2f,99.447605.2f,87.970841.2f,32.358707.2f,100.802137.2f,65.554719.2f,16.244610.2f,61.639731.2f
31.934558.2f,55.130000.2f,58.030988.2f,63.789036.2f,54.830904.2f,3.915727.2f,65.584509.2f,32.199256.2f,24.564333.2f,28.775530.2f
39.784667.2f,28.064250.2f,26.120365.2f,60.222029.2f,16.346667.2f,58.691875.2f,33.558730.2f,59.627709.2f,78.428691.2f,27.738295.2f
29.401640.2f,22.262067.2f,21.774928.2f,61.890198.2f,21.781093.2f,49.406412.2f,39.699145.2f,55.097347.2f,68.653187.2f,20.558793.2f
75.140962.2f,82.918227.2f,82.971762.2f,7.132588.2f,45.660832.2f,61.885987.2f,36.592307.2f,28.922670.2f,79.008190.2f,47.600743.2f
73.453771.2f,87.615247.2f,88.673476.2f,28.952004.2f,58.601122.2f,51.343972.2f,54.799857.2f,16.760507.2f,64.496068.2f,49.861228.2f
78.083823.2f,80.130982.2f,79.305238.2f,11.555032.2f,38.063602.2f,72.070221.2f,23.503294.2f,43.446936.2f,91.074088.2f,50.006188.2f
16.490697.2f,10.113713.2f,14.157519.2f,84.086772.2f,46.841639.2f,48.711241.2f,64.726753.2f,68.723431.2f,62.785470.2f,35.070325.2f
48.992126.2f,61.317107.2f,62.351277.2f,32.206937.2f,36.122047.2f,35.502605.2f,39.234605.2f,13.816813.2f,54.399359.2f,23.608693.2f
36.318509.2f,61.677721.2f,65.533956.2f,91.462975.2f,77.257720.2f,24.103265.2f,90.634618.2f,58.950876.2f,15.978703.2f,51.096585.2f
59.054164.2f,83.758147.2f,86.891668.2f,77.319537.2f,81.471288.2f,27.103344.2f,88.962947.2f,41.844449.2f,18.674301.2f,56.862345.2f
16.866010.2f,20.566129.2f,24.540222.2f,92.823495.2f,57.918204.2f,48.441504.2f,75.657926.2f,73.730003.2f,58.946148.2f,42.701387.2f
43.126775.2f,67.687476.2f,70.823132.2f,71.203632.2f,67.974961.2f,11.089291.2f,77.482894.2f,36.485274.2f,13.994580.2f,42.317522.2f
61.581326.2f,77.387516.2f,78.801178.2f,34.694272.2f,53.257520.2f,38.799028.2f,53.392724.2f,4.615518.2f,52.900897.2f,39.808829.2f
63.420053.2f,67.246819.2f,66.848728.2f,16.877227.2f,27.855642.2f,57.948051.2f,20.077281.2f,32.878659.2f,77.509178.2f,35.274545.2f
45.501475.2f,57.592038.2f,58.650973.2f,34.656325.2f,33.724645.2f,33.896916.2f,38.430436.2f,16.820632.2f,53.427016.2f,19.875224.2f
43.240099.2f,57.622403.2f,59.039164.2f,39.082467.2f,37.777674.2f,28.778243.2f,43.617714.2f,15.242384.2f,48.095723.2f,20.077873.2f
55.565490.2f,81.110353.2f,84.923411.2f,99.827740.2f,92.876993.2f,34.967000.2f,104.435491.2f,64.847905.2f,14.743887.2f,66.417946.2f
53.610189.2f,78.925493.2f,82.273826.2f,81.497660.2f,81.000839.2f,23.580784.2f,90.101635.2f,46.024517.2f,10.170079.2f,55.356109.2f
74.224931.2f,69.366865.2f,67.581221.2f,32.592668.2f,26.500861.2f,77.526067.2f,8.903621.2f,56.736548.2f,97.993549.2f,48.635244.2f
18.954900.2f,39.997736.2f,42.760073.2f,63.168168.2f,43.671410.2f,17.728957.2f,57.260212.2f,38.344506.2f,36.907478.2f,17.476215.2f
69.372140.2f,77.356430.2f,77.496341.2f,10.666611.2f,41.113439.2f,56.853477.2f,33.850792.2f,25.151375.2f,74.520613.2f,41.832946.2f
