14.841216.2f,122.076937.2f,91.310211.2f,90.845685.2f,95.765152.2f,104.663519.2f,63.570570.2f,87.306737.2f,70.463678.2f,60.512343.2f,78.519137.2f,74.164188.2f,73.274779.2f,68.693778.2f,20.305560.2f,91.779174.2f,13.040776.2f,43.581345.2f,55.868926.2f,93.284266.2f,65.494791.2f,76.081963.2f,18.699215.2f,52.873404.2f,59.321055.2f,40.085184.2f,9.759227.2f,67.933134.2f,93.724291.2f,81.714329.2f,43.201766.2f,77.197083.2f,124.442126.2f,55.279418.2f,32.900047.2f,72.771691.2f,82.158221.2f,78.048728.2f,72.651316.2f,77.133796.2f
29.366592.2f,106.627279.2f,73.764842.2f,79.947019.2f,87.253486.2f,91.561492.2f,54.893056.2f,86.155549.2f,52.980306.2f,40.789494.2f,73.128123.2f,58.074520.2f,72.697724.2f,49.200381.2f,1.184518.2f,74.553345.2f,11.734451.2f,30.661614.2f,43.220820.2f,74.263572.2f,56.583313.2f,56.424375.2f,8.970885.2f,45.298615.2f,40.844330.2f,20.950143.2f,15.123574.2f,48.186964.2f,78.316224.2f,67.082239.2f,26.212549.2f,59.994489.2f,108.870161.2f,35.516379.2f,13.275264.2f,70.568278.2f,74.960410.2f,71.773372.2f,72.057591.2f,57.609718.2f
77.780439.2f,56.726805.2f,19.982919.2f,50.824893.2f,63.987493.2f,51.339827.2f,46.523088.2f,85.147713.2f,9.181683.2f,21.463760.2f,64.610220.2f,17.626998.2f,77.542706.2f,31.607389.2f,55.634564.2f,21.812996.2f,61.958255.2f,37.166933.2f,33.161583.2f,19.566805.2f,46.271389.2f,15.870625.2f,55.906559.2f,47.881028.2f,14.932950.2f,42.914273.2f,66.084920.2f,24.488957.2f,32.181878.2f,28.314396.2f,31.616935.2f,11.603851.2f,58.478228.2f,27.197571.2f,45.261834.2f,72.000991.2f,60.190597.2f,61.190144.2f,77.096313.2f,32.702032.2f
5.099709.2f,123.614801.2f,95.078261.2f,89.549548.2f,92.923508.2f,104.610141.2f,61.701459.2f,80.745464.2f,74.508831.2f,67.914836.2f,74.298493.2f,76.909815.2f,66.742435.2f,77.423834.2f,29.142348.2f,95.225553.2f,18.011927.2f,45.453804.2f,56.787509.2f,98.819408.2f,63.685425.2f,83.082198.2f,23.978794.2f,50.910988.2f,64.625005.2f,49.256745.2f,13.836918.2f,75.948508.2f,95.555953.2f,83.159668.2f,47.785187.2f,80.846631.2f,126.061644.2f,63.170634.2f,41.539174.2f,67.049858.2f,78.842985.2f,74.323184.2f,66.143201.2f,85.794777.2f
78.385695.2f,52.524777.2f,16.398444.2f,46.031268.2f,59.293425.2f,46.387532.2f,43.337399.2f,81.399758.2f,6.557341.2f,25.878071.2f,60.741752.2f,13.196330.2f,74.329260.2f,36.558434.2f,57.783135.2f,17.825507.2f,63.212859.2f,36.709023.2f,31.072075.2f,20.109935.2f,42.920908.2f,20.689880.2f,57.219076.2f,45.664022.2f,17.015538.2f,46.370861.2f,67.269862.2f,29.423790.2f,27.328660.2f,23.449427.2f,32.667862.2f,6.668100.2f,54.367443.2f,31.348828.2f,48.048509.2f,68.662596.2f,56.008417.2f,57.262038.2f,73.906565.2f,37.631886.2f
47.223168.2f,77.973085.2f,46.307069.2f,53.479043.2f,62.825561.2f,63.390393.2f,32.873220.2f,70.848454.2f,25.529310.2f,26.084004.2f,53.332177.2f,29.476779.2f,59.576011.2f,40.397690.2f,29.075244.2f,46.730684.2f,32.214897.2f,9.516894.2f,17.434816.2f,50.168838.2f,33.985729.2f,37.729828.2f,26.350855.2f,27.155696.2f,16.481905.2f,27.152091.2f,36.182672.2f,35.398397.2f,49.638755.2f,38.502803.2f,2.992776.2f,32.154064.2f,80.235926.2f,25.116465.2f,23.635237.2f,55.421881.2f,52.707329.2f,50.951301.2f,58.994367.2f,47.045733.2f
85.083833.2f,74.568671.2f,38.427236.2f,74.000349.2f,87.139356.2f,73.435590.2f,67.274944.2f,106.677942.2f,31.573026.2f,17.531245.2f,86.535781.2f,40.716336.2f,97.835962.2f,13.334776.2f,57.335391.2f,41.064301.2f,67.355689.2f,51.366895.2f,52.076349.2f,26.282662.2f,67.377579.2f,7.314068.2f,61.538928.2f,66.271464.2f,27.412553.2f,38.800680.2f,71.505941.2f,9.940702.2f,53.823720.2f,51.452240.2f,41.655504.2f,34.664322.2f,75.843653.2f,22.329422.2f,44.852720.2f,92.670797.2f,82.720875.2f,83.258516.2f,97.333940.2f,10.106275.2f
91.373318.2f,53.938387.2f,18.717842.2f,58.713920.2f,72.358523.2f,54.905954.2f,59.252414.2f,96.785573.2f,22.389240.2f,29.121457.2f,76.030596.2f,28.337209.2f,90.187838.2f,33.220376.2f,67.625986.2f,21.546563.2f,75.038692.2f,51.312744.2f,46.929653.2f,6.675019.2f,58.759538.2f,15.273332.2f,68.968716.2f,61.589855.2f,28.178559.2f,52.471976.2f,79.212838.2f,27.356719.2f,35.329455.2f,36.395179.2f,45.164677.2f,20.930693.2f,55.173092.2f,35.358236.2f,56.311131.2f,84.454940.2f,70.784325.2f,72.480872.2f,89.777675.2f,30.595202.2f
101.953998.2f,30.073118.2f,44.317373.2f,16.625811.2f,21.427075.2f,8.337303.2f,44.476251.2f,56.003752.2f,52.186026.2f,77.716861.2f,40.845297.2f,42.830329.2f,59.161040.2f,89.846194.2f,95.632868.2f,41.445057.2f,94.281780.2f,64.473079.2f,51.831302.2f,60.966261.2f,42.485506.2f,73.635251.2f,89.809865.2f,55.158064.2f,64.331673.2f,92.857181.2f,97.137212.2f,82.679247.2f,27.452136.2f,31.183774.2f,70.387925.2f,46.825089.2f,32.338551.2f,82.014684.2f,90.942181.2f,53.647492.2f,33.042244.2f,38.251334.2f,59.208177.2f,90.761098.2f
60.319197.2f,60.168458.2f,35.251610.2f,32.406093.2f,42.492354.2f,42.965231.2f,17.619033.2f,56.940067.2f,19.977583.2f,38.520368.2f,37.030487.2f,15.842171.2f,48.558339.2f,53.144296.2f,49.220426.2f,34.423552.2f,49.229015.2f,18.662514.2f,6.779211.2f,45.835773.2f,17.634459.2f,43.055389.2f,44.172260.2f,19.844179.2f,23.867215.2f,47.627017.2f,52.585639.2f,46.522877.2f,32.140634.2f,19.696315.2f,24.087468.2f,22.508057.2f,62.603628.2f,40.630860.2f,44.744641.2f,43.132567.2f,34.281355.2f,33.934834.2f,48.099060.2f,57.523290.2f
109.674374.2f,17.323454.2f,39.269310.2f,26.762002.2f,34.094587.2f,8.972075.2f,53.109807.2f,68.663838.2f,51.988059.2f,77.174578.2f,52.643147.2f,43.530549.2f,71.143792.2f,87.850675.2f,100.134124.2f,36.511799.2f,100.311201.2f,69.839639.2f,57.355507.2f,54.909382.2f,51.170552.2f,70.582170.2f,95.379626.2f,63.328487.2f,65.107954.2f,94.816457.2f,103.496419.2f,80.815076.2f,24.242675.2f,32.820595.2f,73.974241.2f,45.587255.2f,19.558901.2f,82.139610.2f,93.982786.2f,65.446853.2f,44.725620.2f,49.769397.2f,71.146461.2f,87.578235.2f
