43.494899.2f,47.412855.2f,79.026428.2f,56.792902.2f,34.139720.2f,45.294919.2f,43.175720.2f,71.957690.2f,40.603025.2f,42.083606.2f,35.836516.2f,35.338577.2f,28.899483.2f,67.096192.2f,18.065048.2f,43.836206.2f,28.230345.2f,17.756760.2f,63.215486.2f,35.536970.2f,67.625214.2f,39.768222.2f,50.414138.2f,44.442585.2f,16.166206.2f,71.144431.2f,20.839470.2f,45.848733.2f,81.331754.2f,64.007261.2f
57.736412.2f,68.719689.2f,101.783531.2f,82.306808.2f,22.281713.2f,70.654790.2f,68.811223.2f,97.537368.2f,64.824790.2f,60.917210.2f,59.779625.2f,60.728409.2f,54.252704.2f,90.912310.2f,41.437502.2f,61.602774.2f,16.499582.2f,28.643764.2f,84.788920.2f,12.041139.2f,90.226121.2f,65.378695.2f,74.691018.2f,67.797048.2f,20.634139.2f,96.440946.2f,38.737111.2f,62.622601.2f,104.945877.2f,89.635332.2f
101.246557.2f,87.915336.2f,25.992563.2f,63.375165.2f,79.213719.2f,64.108189.2f,56.571557.2f,56.418608.2f,73.096449.2f,30.304825.2f,41.769888.2f,63.206411.2f,64.133607.2f,30.664772.2f,54.792208.2f,95.280548.2f,79.470787.2f,88.100186.2f,95.236976.2f,93.633891.2f,21.902555.2f,58.471974.2f,36.113971.2f,78.699837.2f,70.099456.2f,73.280593.2f,52.669059.2f,28.182685.2f,33.571033.2f,56.672957.2f
45.948154.2f,24.767531.2f,72.545315.2f,24.557649.2f,101.209028.2f,27.559626.2f,34.721111.2f,38.378084.2f,27.221859.2f,73.748859.2f,55.274078.2f,35.360553.2f,40.591370.2f,59.832002.2f,62.216459.2f,36.958927.2f,95.734486.2f,64.586202.2f,13.646626.2f,102.523965.2f,67.823253.2f,35.206583.2f,52.495004.2f,23.464473.2f,82.504843.2f,19.993735.2f,72.454932.2f,80.156226.2f,68.100860.2f,33.260565.2f
68.289372.2f,73.449400.2f,88.264492.2f,78.661644.2f,8.578503.2f,68.172326.2f,64.218633.2f,90.689674.2f,65.522728.2f,45.504391.2f,49.863728.2f,58.498207.2f,52.494992.2f,79.172734.2f,33.227186.2f,69.643441.2f,5.715952.2f,39.397228.2f,89.134865.2f,19.898166.2f,76.833343.2f,61.469756.2f,64.392153.2f,69.899780.2f,10.246370.2f,93.612725.2f,25.952575.2f,45.714885.2f,92.518488.2f,83.661020.2f
42.467631.2f,24.943979.2f,55.006253.2f,14.896096.2f,73.586806.2f,3.177352.2f,6.796415.2f,32.877974.2f,10.481568.2f,44.330855.2f,25.666751.2f,6.818050.2f,13.292015.2f,40.880073.2f,32.810241.2f,34.506537.2f,68.741079.2f,45.633170.2f,33.043385.2f,77.658068.2f,46.632315.2f,5.275804.2f,27.427330.2f,15.569436.2f,55.006823.2f,29.009431.2f,42.776372.2f,50.784317.2f,53.461410.2f,24.342170.2f
78.917241.2f,65.324982.2f,26.396571.2f,42.623460.2f,68.972841.2f,41.844053.2f,34.204659.2f,40.599318.2f,50.504115.2f,17.181196.2f,19.918162.2f,40.586929.2f,41.734143.2f,18.952162.2f,35.796844.2f,72.730963.2f,67.467626.2f,68.107851.2f,73.217427.2f,80.920690.2f,14.933499.2f,35.913274.2f,14.427633.2f,56.151645.2f,55.704389.2f,54.488957.2f,37.053937.2f,20.540193.2f,30.874561.2f,38.217585.2f
65.758445.2f,54.025212.2f,38.805528.2f,37.143757.2f,59.305832.2f,32.727825.2f,25.161743.2f,41.844482.2f,39.407866.2f,14.136884.2f,6.235185.2f,28.941917.2f,28.828611.2f,27.871173.2f,22.302407.2f,60.149351.2f,56.829338.2f,54.084989.2f,63.908382.2f,69.580672.2f,27.341643.2f,25.616546.2f,13.275579.2f,45.292000.2f,44.084870.2f,51.178068.2f,25.667292.2f,20.434044.2f,41.749755.2f,36.731158.2f
78.105492.2f,67.309627.2f,36.372727.2f,49.184413.2f,58.891935.2f,45.891523.2f,38.240145.2f,50.245936.2f,52.741123.2f,6.723354.2f,19.231911.2f,42.243954.2f,41.692487.2f,29.887407.2f,30.051654.2f,72.976909.2f,57.877036.2f,63.378911.2f,77.196315.2f,71.657886.2f,25.303932.2f,38.922889.2f,21.898577.2f,58.633488.2f,46.941172.2f,62.368734.2f,28.681705.2f,9.743264.2f,41.492423.2f,46.758499.2f
69.206383.2f,75.924850.2f,93.730488.2f,82.905069.2f,6.082757.2f,72.147178.2f,68.549223.2f,95.486304.2f,68.841839.2f,51.005969.2f,54.916482.2f,62.350096.2f,56.191381.2f,84.512639.2f,37.842337.2f,71.260914.2f,0.576058.2f,39.832311.2f,91.791927.2f,14.539962.2f,82.285053.2f,65.660521.2f,69.556108.2f,72.950281.2f,14.019070.2f,97.769621.2f,31.153264.2f,51.200011.2f,97.925530.2f,88.307640.2f
93.281521.2f,77.490109.2f,11.591482.2f,49.923002.2f,84.510595.2f,52.777500.2f,45.763499.2f,40.737385.2f,62.915398.2f,32.381835.2f,36.056099.2f,53.995215.2f,56.370964.2f,15.059210.2f,52.677148.2f,86.346582.2f,83.518787.2f,84.647244.2f,82.850949.2f,97.224220.2f,6.489922.2f,48.393087.2f,25.412188.2f,68.093996.2f,72.244173.2f,58.343664.2f,53.678103.2f,33.513412.2f,18.458353.2f,41.900353.2f
56.435541.2f,34.649865.2f,65.966607.2f,22.228667.2f,106.248932.2f,29.820695.2f,35.574098.2f,30.443639.2f,33.399623.2f,73.497128.2f,55.763918.2f,39.203351.2f,45.236919.2f,54.308591.2f,65.698603.2f,47.290689.2f,101.160978.2f,72.745288.2f,24.769146.2f,109.070360.2f,62.778142.2f,37.200917.2f,50.010334.2f,31.193096.2f,87.572232.2f,11.266970.2f,75.558634.2f,79.725344.2f,60.749177.2f,27.345850.2f
55.591577.2f,57.612758.2f,75.629322.2f,61.638284.2f,25.678964.2f,51.071672.2f,47.247120.2f,74.343735.2f,48.714833.2f,34.995897.2f,34.452436.2f,41.409438.2f,35.466593.2f,65.124105.2f,16.665247.2f,55.381413.2f,21.158446.2f,29.519704.2f,72.952625.2f,32.532561.2f,64.068802.2f,44.415606.2f,49.347340.2f,53.335373.2f,7.346381.2f,76.553207.2f,12.601663.2f,37.423115.2f,79.008684.2f,67.046256.2f
31.587939.2f,17.166400.2f,65.536510.2f,24.719575.2f,69.369122.2f,13.148202.2f,17.178859.2f,43.715956.2f,4.624454.2f,49.002121.2f,31.000567.2f,8.292430.2f,9.807570.2f,51.428188.2f,31.622802.2f,24.182303.2f,63.908872.2f,36.031390.2f,29.848253.2f,71.218843.2f,56.540783.2f,13.916306.2f,36.754246.2f,9.652483.2f,50.671442.2f,36.933714.2f,41.992311.2f,55.330511.2f,64.390528.2f,35.189356.2f
85.850096.2f,78.190244.2f,48.157362.2f,63.595882.2f,50.684663.2f,58.949100.2f,51.544142.2f,65.492743.2f,64.239203.2f,12.510716.2f,31.145753.2f,53.690708.2f,51.677914.2f,44.213953.2f,34.384200.2f,82.014861.2f,51.284253.2f,66.429083.2f,89.596035.2f,65.504945.2f,38.240041.2f,51.539905.2f,37.030820.2f,70.162252.2f,43.236543.2f,77.239482.2f,28.209174.2f,6.111824.2f,54.315467.2f,61.889366.2f
12.413836.2f,10.250766.2f,88.605249.2f,42.547732.2f,80.286436.2f,34.142433.2f,40.329741.2f,62.101025.2f,23.152104.2f,71.700083.2f,54.468196.2f,32.253052.2f,31.956407.2f,74.488463.2f,50.569287.2f,3.775349.2f,73.963495.2f,36.507443.2f,22.138436.2f,77.095321.2f,80.165326.2f,37.551393.2f,60.572065.2f,18.788678.2f,62.848285.2f,48.974822.2f,60.275719.2f,77.815065.2f,86.701285.2f,54.142766.2f
91.755520.2f,70.188020.2f,35.534848.2f,38.652754.2f,115.664392.2f,49.857215.2f,48.362778.2f,19.311733.2f,60.479007.2f,67.624300.2f,57.706611.2f,58.155236.2f,64.097824.2f,32.791516.2f,75.181477.2f,82.707031.2f,112.541619.2f,97.424754.2f,66.163483.2f,124.184193.2f,40.226983.2f,52.162263.2f,43.503615.2f,62.468509.2f,99.063027.2f,33.189113.2f,81.689268.2f,71.860730.2f,27.969354.2f,27.850039.2f
80.206435.2f,58.460676.2f,39.850792.2f,27.631981.2f,109.238772.2f,39.308424.2f,38.965441.2f,10.226331.2f,49.453382.2f,64.159179.2f,51.528207.2f,48.244022.2f,54.459939.2f,32.671257.2f,67.897019.2f,71.090403.2f,105.604989.2f,87.508188.2f,54.185860.2f,116.529429.2f,41.216156.2f,42.627634.2f,38.719086.2f,51.021402.2f,91.889587.2f,21.230251.2f,75.411439.2f,69.159061.2f,33.074311.2f,17.978095.2f
11.494280.2f,29.420096.2f,96.894607.2f,57.123404.2f,64.564803.2f,46.115688.2f,49.687688.2f,76.568045.2f,35.270494.2f,70.244318.2f,56.473384.2f,39.628486.2f,35.673022.2f,83.028469.2f,45.586314.2f,17.869115.2f,57.973811.2f,18.658951.2f,43.698878.2f,58.382751.2f,86.868477.2f,46.021938.2f,66.975810.2f,34.109426.2f,49.377653.2f,66.917193.2f,53.095196.2f,75.501787.2f,96.606237.2f,68.088211.2f
17.029815.2f,5.154925.2f,83.008981.2f,36.973536.2f,79.102146.2f,28.512799.2f,34.809288.2f,56.571629.2f,17.613856.2f,67.229324.2f,49.640421.2f,27.062551.2f,27.375489.2f,68.898698.2f,47.085897.2f,7.784208.2f,72.936082.2f,36.998093.2f,19.891830.2f,77.095511.2f,74.670054.2f,32.135637.2f,55.166638.2f,13.142552.2f,61.188128.2f,43.958516.2f,57.067846.2f,73.437066.2f,81.059840.2f,48.558573.2f
75.827555.2f,66.591709.2f,42.226707.2f,51.259926.2f,53.024706.2f,46.632479.2f,39.181541.2f,54.230303.2f,52.361750.2f,0.921237.2f,18.920714.2f,41.787358.2f,40.342201.2f,35.250708.2f,26.010289.2f,71.283506.2f,52.054242.2f,59.313205.2f,77.477811.2f,65.884374.2f,31.091907.2f,39.292343.2f,25.355845.2f,58.292113.2f,41.333692.2f,65.074276.2f,23.349648.2f,6.281140.2f,47.236265.2f,50.045119.2f
