71.744873.2f,14.049883.2f,37.536491.2f,50.570925.2f,109.109004.2f,103.988208.2f,86.418518.2f,99.833521.2f,84.672685.2f,60.061136.2f,68.081717.2f,27.489588.2f,92.295524.2f,60.607749.2f,72.856622.2f,47.149584.2f,58.770417.2f,6.320625.2f,31.728249.2f,92.494877.2f
52.396864.2f,77.658925.2f,55.390183.2f,91.365504.2f,55.259919.2f,47.472099.2f,13.820807.2f,35.334726.2f,17.650426.2f,48.297104.2f,25.065300.2f,68.672573.2f,22.133980.2f,52.027731.2f,56.585037.2f,52.901602.2f,70.320347.2f,85.135632.2f,59.787443.2f,53.967327.2f
94.980588.2f,86.938191.2f,74.936031.2f,66.497288.2f,14.708239.2f,13.112441.2f,38.841707.2f,20.861495.2f,67.185020.2f,85.094873.2f,61.615712.2f,67.488258.2f,73.932023.2f,89.295607.2f,23.699597.2f,48.360720.2f,43.157003.2f,88.694423.2f,66.859533.2f,3.596720.2f
50.095474.2f,9.207694.2f,19.031456.2f,61.622175.2f,102.414345.2f,96.210678.2f,72.612196.2f,89.820350.2f,65.749004.2f,38.652926.2f,50.107284.2f,27.549225.2f,72.721187.2f,38.998645.2f,70.294956.2f,41.827496.2f,61.509144.2f,19.436250.2f,22.796622.2f,87.619962.2f
48.414582.2f,18.165026.2f,25.865945.2f,71.457981.2f,111.795603.2f,105.360675.2f,79.846892.2f,98.362304.2f,69.559406.2f,39.042067.2f,55.225526.2f,38.071637.2f,75.672615.2f,38.238706.2f,80.574586.2f,52.048527.2f,72.084267.2f,26.722862.2f,33.034667.2f,97.462774.2f
56.261373.2f,20.277892.2f,17.869721.2f,44.805134.2f,80.258071.2f,74.529013.2f,55.852731.2f,69.477967.2f,57.981676.2f,42.747863.2f,40.883288.2f,9.478624.2f,66.425262.2f,45.267537.2f,46.947931.2f,18.596145.2f,39.155707.2f,24.582727.2f,2.117903.2f,64.751541.2f
61.597147.2f,34.283693.2f,27.158262.2f,40.933518.2f,66.320091.2f,60.836102.2f,45.985997.2f,56.625254.2f,54.672704.2f,48.283601.2f,38.307567.2f,16.419469.2f,63.561461.2f,51.626897.2f,33.000437.2f,4.471745.2f,28.346437.2f,36.984548.2f,14.565924.2f,50.595914.2f
96.851237.2f,45.140078.2f,58.128443.2f,11.508352.2f,89.392379.2f,86.812278.2f,83.966689.2f,87.491163.2f,95.243143.2f,83.381461.2f,78.643761.2f,31.273995.2f,104.103192.2f,85.717356.2f,51.241124.2f,40.885887.2f,31.635409.2f,37.284640.2f,42.801756.2f,71.452262.2f
73.045702.2f,51.572359.2f,43.274190.2f,40.821545.2f,49.854732.2f,45.144112.2f,39.641128.2f,43.190861.2f,57.405712.2f,60.574912.2f,43.821295.2f,31.810967.2f,66.192307.2f,64.400233.2f,15.609010.2f,13.123015.2f,19.446914.2f,53.018825.2f,32.147219.2f,33.351296.2f
32.675643.2f,26.950557.2f,6.878837.2f,69.436169.2f,91.307196.2f,84.333405.2f,56.172807.2f,76.149475.2f,45.686720.2f,19.719912.2f,30.863394.2f,33.548234.2f,52.435436.2f,21.335730.2f,64.826788.2f,37.701645.2f,61.946073.2f,37.086549.2f,22.709284.2f,78.795902.2f
45.137390.2f,13.264463.2f,12.625025.2f,62.066395.2f,97.454934.2f,91.053749.2f,66.480825.2f,84.251457.2f,59.310694.2f,33.085091.2f,43.638232.2f,26.555129.2f,66.360544.2f,33.849870.2f,66.605824.2f,38.086235.2f,59.449999.2f,23.711955.2f,19.292439.2f,83.164525.2f
20.056739.2f,42.261406.2f,19.985256.2f,80.814388.2f,88.680109.2f,81.173764.2f,49.023244.2f,71.421710.2f,32.356130.2f,6.772260.2f,20.882104.2f,46.106651.2f,38.105386.2f,10.597313.2f,68.198457.2f,44.535465.2f,69.592082.2f,52.316555.2f,34.551669.2f,78.695422.2f
24.232123.2f,44.895780.2f,21.464854.2f,78.645816.2f,81.650539.2f,74.097079.2f,41.785293.2f,64.226065.2f,26.836134.2f,12.711225.2f,13.741302.2f,45.327268.2f,33.605020.2f,16.910715.2f,62.604392.2f,40.712646.2f,65.591156.2f,54.423281.2f,33.788708.2f,72.116048.2f
69.683102.2f,14.032149.2f,37.323078.2f,55.471021.2f,112.281451.2f,106.949728.2f,88.000387.2f,102.341336.2f,84.631470.2f,58.514152.2f,68.343573.2f,30.864463.2f,91.982085.2f,58.734287.2f,76.548922.2f,50.146343.2f,63.066336.2f,9.954747.2f,33.618597.2f,95.920918.2f
41.436057.2f,58.982363.2f,36.716767.2f,77.716332.2f,61.411893.2f,53.644045.2f,19.983900.2f,43.025069.2f,17.537101.2f,33.563884.2f,8.399826.2f,51.281919.2f,26.423989.2f,37.691677.2f,49.957013.2f,37.890082.2f,59.185910.2f,66.684297.2f,41.654326.2f,54.402685.2f
42.928301.2f,78.173155.2f,54.827473.2f,99.139319.2f,68.372940.2f,60.601239.2f,26.470759.2f,48.440317.2f,8.297668.2f,41.816920.2f,23.859445.2f,72.685152.2f,9.065864.2f,44.968155.2f,67.669564.2f,59.493025.2f,79.578032.2f,86.729707.2f,62.533089.2f,66.765956.2f
78.153331.2f,42.770798.2f,42.559533.2f,25.948255.2f,64.124261.2f,60.304293.2f,55.224137.2f,59.427561.2f,69.208317.2f,64.806058.2f,53.655439.2f,21.438651.2f,78.145309.2f,68.078216.2f,26.175346.2f,14.431746.2f,13.063108.2f,41.346060.2f,27.568500.2f,46.585861.2f
73.905388.2f,61.023910.2f,49.268571.2f,50.902842.2f,39.523707.2f,34.212108.2f,30.849150.2f,31.761997.2f,52.917055.2f,62.501138.2f,42.009264.2f,42.364998.2f,61.280761.2f,66.578856.2f,13.740116.2f,22.678629.2f,27.804445.2f,63.473607.2f,40.791795.2f,24.458696.2f
52.822798.2f,49.794084.2f,32.087353.2f,59.925049.2f,55.203740.2f,48.234994.2f,25.074194.2f,40.665465.2f,35.563461.2f,41.531916.2f,21.742755.2f,36.929848.2f,44.456685.2f,45.654393.2f,34.107882.2f,20.535930.2f,41.234002.2f,55.411182.2f,29.786496.2f,43.643102.2f
79.951744.2f,53.126438.2f,48.139980.2f,34.034796.2f,51.574890.2f,47.903383.2f,46.896226.2f,47.796470.2f,65.293373.2f,67.194661.2f,51.515495.2f,32.196231.2f,74.084211.2f,70.893043.2f,13.777996.2f,16.935640.2f,11.624825.2f,53.011173.2f,35.221632.2f,34.043600.2f
92.099543.2f,67.195369.2f,62.135081.2f,38.308449.2f,42.605044.2f,40.859869.2f,50.588170.2f,44.324733.2f,73.442111.2f,79.808003.2f,61.653152.2f,46.036790.2f,81.856201.2f,83.670480.2f,7.304202.2f,31.042939.2f,15.425521.2f,66.387545.2f,49.545768.2f,24.731386.2f
29.067619.2f,57.743340.2f,34.236341.2f,84.992618.2f,73.828921.2f,66.015646.2f,31.406414.2f,55.057007.2f,13.084288.2f,22.990502.2f,6.139728.2f,54.709756.2f,20.843708.2f,26.824274.2f,61.456385.2f,45.247260.2f,68.592757.2f,66.721984.2f,43.745044.2f,66.988914.2f
78.559986.2f,36.929340.2f,41.083767.2f,22.408656.2f,72.617045.2f,68.775316.2f,61.970636.2f,67.620861.2f,73.396687.2f,65.033082.2f,57.100638.2f,16.181379.2f,82.304017.2f,67.939439.2f,34.575106.2f,18.650040.2f,19.049029.2f,34.084682.2f,25.262779.2f,55.047185.2f
