44.184058.2f,55.808600.2f,18.021028.2f,31.183056.2f,87.211478.2f,16.096326.2f,51.956507.2f,78.033485.2f,97.348785.2f,86.156501.2f,93.178134.2f,68.845872.2f,39.429776.2f,32.121404.2f,93.853502.2f,66.345928.2f,3.238129.2f,29.487855.2f,20.258616.2f,83.674306.2f
38.895412.2f,77.373107.2f,46.359779.2f,61.094542.2f,33.217115.2f,67.613274.2f,28.394612.2f,26.394724.2f,57.968526.2f,31.229146.2f,53.881497.2f,16.407366.2f,46.538193.2f,63.366855.2f,42.334858.2f,39.158093.2f,52.385849.2f,26.235025.2f,36.598430.2f,30.853013.2f
86.959607.2f,53.675311.2f,58.891582.2f,56.957365.2f,72.468893.2f,92.800368.2f,79.904196.2f,41.997466.2f,27.290311.2f,54.123676.2f,24.663060.2f,64.847830.2f,91.671455.2f,58.429701.2f,46.048662.2f,13.940430.2f,74.718122.2f,60.689105.2f,59.453175.2f,73.523012.2f
7.627729.2f,90.431637.2f,49.063645.2f,67.993378.2f,49.953120.2f,51.680848.2f,6.463203.2f,57.595072.2f,89.910786.2f,58.905066.2f,85.783151.2f,33.771396.2f,17.019658.2f,69.959822.2f,72.748512.2f,67.824882.2f,44.107917.2f,26.684413.2f,37.782928.2f,45.252887.2f
75.442103.2f,30.005195.2f,35.847060.2f,30.145372.2f,80.506200.2f,69.678957.2f,72.524932.2f,54.390404.2f,53.348251.2f,66.890012.2f,50.036263.2f,67.288546.2f,77.575332.2f,31.508980.2f,64.659665.2f,24.389225.2f,52.373411.2f,46.557230.2f,40.368779.2f,79.863449.2f
29.267868.2f,78.880841.2f,43.488944.2f,60.156518.2f,37.354700.2f,60.464844.2f,19.479422.2f,35.907813.2f,67.410713.2f,39.554284.2f,63.281711.2f,18.996890.2f,36.942018.2f,62.385785.2f,51.678408.2f,46.620884.2f,46.619622.2f,20.622112.2f,32.581169.2f,33.918548.2f
81.221564.2f,35.086895.2f,44.283104.2f,38.803030.2f,80.272133.2f,78.266721.2f,77.055618.2f,52.217862.2f,46.177637.2f,64.874789.2f,43.190597.2f,68.668494.2f,84.093556.2f,40.061663.2f,60.598151.2f,20.346801.2f,60.764872.2f,52.706517.2f,47.854285.2f,80.177676.2f
53.069787.2f,38.467021.2f,7.503271.2f,17.070953.2f,77.553771.2f,41.588825.2f,54.490840.2f,60.460898.2f,73.810395.2f,70.857085.2f,69.792322.2f,60.426842.2f,52.833067.2f,19.296764.2f,75.037449.2f,42.257216.2f,23.986724.2f,25.633593.2f,14.669730.2f,75.200576.2f
57.534324.2f,35.933283.2f,16.079340.2f,19.749867.2f,74.980276.2f,50.177138.2f,56.998314.2f,55.071014.2f,65.757103.2f,66.205214.2f,61.813518.2f,58.810763.2f,58.503047.2f,21.971066.2f,68.878523.2f,34.147783.2f,32.431497.2f,28.807084.2f,20.468028.2f,73.126562.2f
25.089580.2f,109.231193.2f,69.209509.2f,87.859678.2f,41.065051.2f,71.815665.2f,16.901458.2f,59.815562.2f,94.885161.2f,56.570068.2f,91.124299.2f,31.566643.2f,33.669157.2f,89.916921.2f,72.375243.2f,78.723134.2f,65.123905.2f,45.706363.2f,57.712823.2f,36.097821.2f
46.169479.2f,56.785820.2f,20.851090.2f,32.428328.2f,90.445335.2f,13.381694.2f,54.532824.2f,81.490345.2f,100.623366.2f,89.586053.2f,96.464295.2f,72.069791.2f,40.836972.2f,33.152180.2f,97.309036.2f,69.531835.2f,6.595511.2f,32.819880.2f,23.709808.2f,86.856426.2f
