38.628193.2f,74.111301.2f,30.830948.2f,57.546612.2f,44.216376.2f,9.524762.2f,36.501576.2f,25.750750.2f,16.826359.2f,26.097598.2f,61.142732.2f,26.872547.2f,38.635560.2f,21.383378.2f,10.033370.2f,79.326157.2f,33.208774.2f,31.562123.2f,36.484296.2f,42.118722.2f
79.071998.2f,36.115028.2f,67.243628.2f,68.275846.2f,47.100106.2f,42.134428.2f,64.649528.2f,59.950587.2f,44.128650.2f,64.411380.2f,27.353072.2f,22.172382.2f,69.960452.2f,25.291510.2f,33.050428.2f,65.889490.2f,41.685153.2f,31.263383.2f,15.208655.2f,75.008251.2f
82.076562.2f,37.400963.2f,73.212081.2f,65.738657.2f,44.491069.2f,47.695184.2f,65.277222.2f,61.912263.2f,50.333247.2f,70.071551.2f,31.134755.2f,23.338227.2f,76.489619.2f,31.622067.2f,38.112238.2f,59.851850.2f,40.698171.2f,30.313256.2f,22.484805.2f,76.178863.2f
56.292783.2f,75.121807.2f,18.933881.2f,88.578582.2f,74.492464.2f,21.982507.2f,65.637287.2f,53.573888.2f,15.065370.2f,20.998735.2f,60.945846.2f,51.343022.2f,15.301595.2f,31.133944.2f,30.504431.2f,108.009820.2f,63.561704.2f,59.674458.2f,42.169222.2f,68.251701.2f
70.194254.2f,50.016456.2f,42.003048.2f,85.089108.2f,66.762375.2f,25.830120.2f,69.167933.2f,59.204227.2f,21.542976.2f,41.673534.2f,35.826108.2f,38.786098.2f,40.487974.2f,16.626259.2f,25.588743.2f,95.130847.2f,57.058359.2f,49.562216.2f,19.000698.2f,75.647809.2f
41.925930.2f,73.231052.2f,45.392245.2f,43.973616.2f,29.273872.2f,23.457800.2f,28.424807.2f,21.962057.2f,30.578075.2f,40.323851.2f,61.856487.2f,17.172543.2f,53.590146.2f,26.217162.2f,16.984561.2f,64.500786.2f,18.267163.2f,17.647192.2f,37.918633.2f,37.525207.2f
90.835996.2f,54.948811.2f,92.237536.2f,56.402761.2f,37.998003.2f,66.492414.2f,67.265421.2f,68.624727.2f,70.915229.2f,88.144181.2f,53.598819.2f,35.574126.2f,97.468471.2f,53.569646.2f,56.318992.2f,37.181075.2f,40.995946.2f,33.991825.2f,47.644882.2f,79.125982.2f
94.819298.2f,17.872997.2f,74.413868.2f,89.582591.2f,68.417245.2f,52.748602.2f,84.189626.2f,77.922071.2f,51.782048.2f,73.083133.2f,6.037727.2f,42.428852.2f,73.896918.2f,35.285290.2f,46.273874.2f,84.643321.2f,62.663747.2f,52.339964.2f,19.863533.2f,93.789432.2f
61.562037.2f,67.146975.2f,68.132811.2f,36.229822.2f,15.048712.2f,43.971359.2f,38.587687.2f,39.294482.2f,50.126981.2f,63.303924.2f,59.411679.2f,15.027442.2f,75.411208.2f,37.634652.2f,34.602348.2f,42.911829.2f,12.174968.2f,5.744559.2f,41.035026.2f,50.320025.2f
42.945136.2f,102.344405.2f,71.058940.2f,14.668027.2f,23.780425.2f,56.442057.2f,14.515990.2f,26.173834.2f,63.745082.2f,65.370375.2f,93.140548.2f,44.798357.2f,81.520689.2f,61.318406.2f,52.078633.2f,52.719482.2f,24.749226.2f,35.206990.2f,71.163238.2f,23.041705.2f
101.229146.2f,34.255617.2f,93.506692.2f,76.117700.2f,55.973573.2f,68.097127.2f,81.747867.2f,80.185041.2f,70.476017.2f,90.467120.2f,36.220193.2f,42.157227.2f,96.319080.2f,51.652812.2f,58.535073.2f,58.529949.2f,55.621175.2f,46.151969.2f,40.134839.2f,93.227890.2f
51.802755.2f,66.770039.2f,25.519776.2f,75.126749.2f,59.836799.2f,8.815918.2f,54.662718.2f,43.435639.2f,2.751201.2f,23.870765.2f,52.752875.2f,36.078574.2f,27.973225.2f,16.968733.2f,15.382205.2f,92.815891.2f,49.031395.2f,44.541460.2f,30.525216.2f,59.392897.2f
61.837654.2f,87.250479.2f,80.212433.2f,16.406767.2f,7.022721.2f,59.321963.2f,33.425373.2f,40.685048.2f,66.304033.2f,74.788653.2f,80.438978.2f,35.508931.2f,89.182760.2f,57.199829.2f,51.552634.2f,31.851453.2f,17.725303.2f,24.365765.2f,62.279767.2f,44.580050.2f
54.036229.2f,73.743785.2f,64.083930.2f,31.134373.2f,11.689427.2f,41.438030.2f,30.472417.2f,31.669860.2f,48.177044.2f,58.955614.2f,65.083161.2f,17.581277.2f,72.215427.2f,38.531669.2f,33.084791.2f,45.794914.2f,4.123646.2f,6.728250.2f,44.754020.2f,42.210440.2f
89.191080.2f,36.958102.2f,81.946440.2f,67.518195.2f,46.641069.2f,56.343797.2f,70.524333.2f,68.353973.2f,59.124222.2f,78.718291.2f,34.052547.2f,30.093175.2f,85.297711.2f,40.429771.2f,46.625725.2f,56.143654.2f,44.831296.2f,34.917961.2f,30.631984.2f,81.822416.2f
75.861438.2f,58.907270.2f,40.306903.2f,98.807705.2f,81.465787.2f,34.361015.2f,80.110738.2f,69.018854.2f,27.666419.2f,42.131609.2f,45.300740.2f,54.129015.2f,34.612388.2f,31.509575.2f,38.003716.2f,110.876705.2f,71.313324.2f,64.591703.2f,34.219439.2f,84.940048.2f
62.332307.2f,50.272020.2f,48.977528.2f,63.642790.2f,44.249925.2f,23.590922.2f,52.566334.2f,45.341409.2f,26.202089.2f,45.924580.2f,38.050326.2f,15.795112.2f,52.608388.2f,8.117782.2f,14.634523.2f,72.198891.2f,35.313870.2f,26.825743.2f,13.758015.2f,61.457562.2f
94.107332.2f,60.322539.2f,97.607755.2f,55.722057.2f,38.988342.2f,71.992585.2f,69.340812.2f,71.757342.2f,76.678541.2f,93.355637.2f,59.716403.2f,40.758391.2f,103.185365.2f,59.655580.2f,61.836104.2f,32.116651.2f,43.590348.2f,37.789652.2f,54.133964.2f,81.211616.2f
38.188853.2f,76.633965.2f,23.199245.2f,64.478602.2f,51.891631.2f,6.310573.2f,41.572314.2f,29.845602.2f,11.820968.2f,18.737334.2f,63.116703.2f,33.877792.2f,30.893030.2f,23.552282.2f,14.086115.2f,87.094642.2f,40.891943.2f,39.255213.2f,38.989129.2f,45.477313.2f
94.985377.2f,97.827513.2f,113.145569.2f,39.605261.2f,39.244216.2f,90.509653.2f,66.059508.2f,74.422847.2f,96.987441.2f,107.877455.2f,95.684328.2f,61.715924.2f,121.465877.2f,84.318961.2f,81.543687.2f,5.706851.2f,49.972711.2f,52.365779.2f,84.458360.2f,76.168558.2f
13.087594.2f,106.648603.2f,28.360647.2f,66.131413.2f,63.015688.2f,36.405634.2f,37.149553.2f,26.941946.2f,39.762556.2f,24.066204.2f,93.250267.2f,57.476682.2f,39.369772.2f,53.491884.2f,42.831412.2f,99.316546.2f,53.810253.2f,57.813726.2f,68.927919.2f,32.256319.2f
75.801998.2f,54.416470.2f,42.205842.2f,95.796688.2f,77.941417.2f,32.942479.2f,78.225474.2f,67.511212.2f,26.811193.2f,43.410374.2f,40.654171.2f,50.198150.2f,37.641483.2f,27.771351.2f,35.322601.2f,106.610317.2f,68.010611.2f,60.866626.2f,29.333662.2f,83.677948.2f
64.509558.2f,70.196811.2f,73.410869.2f,32.978944.2f,11.923529.2f,49.569092.2f,39.752542.2f,42.128490.2f,55.821071.2f,68.476058.2f,63.324895.2f,20.719937.2f,80.924430.2f,43.367924.2f,40.315386.2f,37.193629.2f,13.807907.2f,11.203161.2f,46.125792.2f,51.624042.2f
30.494994.2f,87.590246.2f,16.121752.2f,67.931138.2f,58.403172.2f,17.020110.2f,41.761152.2f,29.364581.2f,19.548607.2f,10.501325.2f,73.895397.2f,44.143611.2f,26.493233.2f,34.728768.2f,25.385747.2f,94.559507.2f,47.676848.2f,48.004674.2f,50.094606.2f,42.602230.2f
84.955638.2f,27.617805.2f,65.940064.2f,81.331484.2f,60.379040.2f,43.329332.2f,74.571224.2f,68.071695.2f,42.939475.2f,64.231372.2f,15.366204.2f,33.328074.2f,66.352766.2f,25.681407.2f,36.470836.2f,79.847506.2f,53.854383.2f,43.720312.2f,10.252752.2f,84.007798.2f
34.681060.2f,77.877363.2f,31.776533.2f,54.415463.2f,42.364129.2f,13.550743.2f,32.297141.2f,21.318739.2f,20.698413.2f,26.615406.2f,65.103112.2f,28.108910.2f,40.502521.2f,25.539196.2f,14.048866.2f,78.110007.2f,31.436554.2f,31.210666.2f,40.400156.2f,37.652725.2f
96.937821.2f,15.612254.2f,77.057788.2f,90.280648.2f,69.059778.2f,55.176443.2f,85.704456.2f,79.723346.2f,54.358678.2f,75.667886.2f,5.997138.2f,43.668743.2f,76.616552.2f,37.624115.2f,48.479965.2f,84.099390.2f,63.682022.2f,53.294332.2f,22.174062.2f,95.474426.2f
31.542208.2f,88.686734.2f,49.748077.2f,34.318502.2f,27.736360.2f,34.396433.2f,12.584751.2f,9.161758.2f,41.659162.2f,44.104406.2f,77.640425.2f,31.010591.2f,59.812692.2f,41.631301.2f,31.213883.2f,64.067822.2f,19.224351.2f,26.071165.2f,53.816720.2f,22.054601.2f
68.919735.2f,71.453763.2f,30.106818.2f,99.352698.2f,83.916053.2f,32.552764.2f,77.637896.2f,65.760946.2f,25.231676.2f,33.148563.2f,57.640852.2f,58.578230.2f,22.583208.2f,36.425129.2f,39.306402.2f,115.841601.2f,73.204212.2f,68.045068.2f,43.451630.2f,80.746423.2f
33.596200.2f,92.872873.2f,7.819659.2f,77.004191.2f,68.085270.2f,23.764197.2f,49.956854.2f,37.659306.2f,23.487298.2f,3.045500.2f,78.876416.2f,53.202142.2f,19.073061.2f,41.210871.2f,33.343106.2f,104.271957.2f,57.383991.2f,57.589337.2f,56.097013.2f,49.178596.2f
