76.111988.2f,21.376518.2f,39.025891.2f,33.476538.2f,62.516849.2f,51.662807.2f,41.548872.2f,23.649605.2f,60.786399.2f,44.447069.2f
26.955791.2f,92.029237.2f,44.001973.2f,101.397638.2f,14.132400.2f,69.240124.2f,47.908552.2f,53.651106.2f,40.950522.2f,74.240378.2f
34.006031.2f,78.172462.2f,43.315119.2f,80.771255.2f,57.376213.2f,105.070886.2f,37.533915.2f,59.015055.2f,23.167428.2f,40.715354.2f
13.728038.2f,75.017002.2f,25.431199.2f,82.906450.2f,18.791020.2f,72.844529.2f,26.986485.2f,39.885428.2f,17.656665.2f,51.825712.2f
51.324451.2f,34.720861.2f,16.238699.2f,42.021898.2f,47.928496.2f,67.094928.2f,14.375372.2f,16.839980.2f,33.029178.2f,20.954701.2f
47.220848.2f,68.668592.2f,32.581915.2f,79.774445.2f,19.868543.2f,38.841676.2f,39.533416.2f,31.003396.2f,46.823519.2f,64.727262.2f
86.447479.2f,62.940315.2f,59.027299.2f,74.884224.2f,60.621296.2f,10.815481.2f,65.378454.2f,44.985159.2f,80.348217.2f,81.245447.2f
26.801609.2f,88.629578.2f,48.174390.2f,92.270091.2f,54.246584.2f,107.045329.2f,43.776621.2f,64.771905.2f,25.500190.2f,52.625574.2f
83.756154.2f,9.220833.2f,48.844893.2f,9.153951.2f,79.420584.2f,79.732806.2f,47.003398.2f,40.948652.2f,64.241743.2f,32.169976.2f
97.524880.2f,48.629731.2f,63.965607.2f,59.456062.2f,75.741214.2f,33.987473.2f,68.779554.2f,47.401235.2f,86.727093.2f,76.910487.2f
79.294832.2f,33.005963.2f,51.589380.2f,27.714377.2f,83.471587.2f,97.919842.2f,46.702281.2f,51.407742.2f,58.539182.2f,21.082778.2f
61.243862.2f,41.887780.2f,38.217562.2f,41.519968.2f,68.839208.2f,93.551040.2f,32.013571.2f,43.585790.2f,40.544473.2f,5.818875.2f
28.487127.2f,78.435448.2f,40.436004.2f,81.839730.2f,52.296150.2f,101.385912.2f,35.214624.2f,56.625033.2f,18.986152.2f,42.144837.2f
94.969169.2f,19.279513.2f,61.365183.2f,7.581826.2f,92.456517.2f,91.922567.2f,58.798451.2f,54.376743.2f,74.842975.2f,39.561634.2f
43.317800.2f,42.696572.2f,8.785766.2f,50.123872.2f,40.752673.2f,66.685562.2f,6.501155.2f,17.021851.2f,25.697310.2f,24.568379.2f
85.931582.2f,62.883281.2f,58.593813.2f,74.842299.2f,60.087927.2f,10.629210.2f,64.961628.2f,44.614080.2f,79.880880.2f,80.946513.2f
92.244565.2f,30.160033.2f,62.071235.2f,20.453593.2f,93.995295.2f,101.139589.2f,58.068593.2f,58.705259.2f,71.562172.2f,34.252795.2f
40.698401.2f,46.337068.2f,13.154901.2f,52.294398.2f,43.357058.2f,74.018229.2f,6.464363.2f,24.570023.2f,21.162551.2f,20.589904.2f
16.825484.2f,73.469155.2f,23.878647.2f,81.701481.2f,16.145046.2f,69.574935.2f,26.250133.2f,37.568238.2f,19.457173.2f,51.907792.2f
62.984930.2f,39.999599.2f,29.150760.2f,51.764346.2f,44.651871.2f,38.569875.2f,34.569615.2f,13.220487.2f,51.814546.2f,49.312760.2f
67.189233.2f,111.568390.2f,72.913121.2f,122.904553.2f,43.434081.2f,58.369180.2f,79.041329.2f,74.277617.2f,78.550171.2f,105.757017.2f
103.849284.2f,66.531879.2f,74.078163.2f,77.584481.2f,78.664112.2f,24.724901.2f,79.868209.2f,58.564513.2f,96.232234.2f,91.964135.2f
77.396664.2f,28.335509.2f,41.133984.2f,40.419373.2f,61.049462.2f,44.353535.2f,44.754129.2f,24.638914.2f,63.636967.2f,50.965907.2f
72.366879.2f,71.484141.2f,52.041357.2f,83.555481.2f,44.427523.2f,14.112840.2f,59.070940.2f,42.516078.2f,70.365313.2f,80.239970.2f
39.755375.2f,58.651387.2f,17.839503.2f,68.900517.2f,20.315486.2f,48.354212.2f,24.805739.2f,19.804691.2f,34.189896.2f,50.207726.2f
57.765498.2f,81.008533.2f,48.008885.2f,92.583062.2f,28.677525.2f,33.763181.2f,54.938033.2f,45.144718.2f,60.890645.2f,80.068293.2f
101.111560.2f,30.470362.2f,69.436164.2f,18.673719.2f,101.089135.2f,103.085168.2f,66.044230.2f,64.122422.2f,80.551750.2f,43.596839.2f
58.682605.2f,75.671434.2f,45.064769.2f,87.340263.2f,29.889901.2f,29.712714.2f,52.117624.2f,40.609444.2f,59.793911.2f,76.458650.2f
