68.610227.2f,26.391287.2f,77.812443.2f,89.448611.2f,60.428868.2f,65.221865.2f,67.628906.2f,48.054550.2f,61.800689.2f,65.082449.2f,25.249641.2f,64.553276.2f,68.156106.2f,59.824611.2f,39.860059.2f,80.160636.2f,35.551434.2f,46.079646.2f,16.897317.2f,73.202791.2f,56.927362.2f,37.036422.2f,56.141845.2f,59.998596.2f,38.232364.2f,64.527064.2f,16.234236.2f,12.575611.2f,68.655299.2f,86.016010.2f,21.244517.2f,67.814643.2f,56.263348.2f,39.757783.2f,35.876630.2f,38.154480.2f,68.146077.2f,56.797166.2f,38.787584.2f,22.816440.2f,79.042983.2f,42.303226.2f,63.097720.2f,79.442831.2f,38.290278.2f,78.461103.2f,63.316349.2f,36.301306.2f,30.198309.2f,21.232331.2f
93.373320.2f,61.992346.2f,64.121236.2f,74.517647.2f,74.526011.2f,38.452037.2f,26.864872.2f,6.247598.2f,29.378604.2f,87.164246.2f,20.878459.2f,20.706796.2f,29.273290.2f,60.614961.2f,61.104023.2f,59.611902.2f,25.909314.2f,79.607384.2f,50.045398.2f,83.551208.2f,83.711540.2f,25.522369.2f,56.232869.2f,91.091631.2f,18.304942.2f,41.585174.2f,60.774944.2f,34.344511.2f,77.659707.2f,68.534199.2f,63.007582.2f,90.247140.2f,19.182404.2f,22.816996.2f,41.681450.2f,78.936625.2f,31.271531.2f,17.071397.2f,56.612719.2f,26.253469.2f,61.362145.2f,79.262044.2f,26.825279.2f,48.634602.2f,14.163191.2f,63.197012.2f,73.774313.2f,76.508660.2f,72.822159.2f,44.986681.2f
76.629450.2f,23.563569.2f,107.474559.2f,118.706112.2f,79.105476.2f,98.854995.2f,102.157290.2f,82.195647.2f,96.169040.2f,76.419743.2f,57.748769.2f,98.662421.2f,97.997569.2f,86.052249.2f,59.708674.2f,111.732287.2f,69.385005.2f,50.702480.2f,31.037048.2f,91.911737.2f,65.821626.2f,64.040286.2f,83.330744.2f,63.085089.2f,72.731776.2f,97.555577.2f,18.447217.2f,47.014168.2f,88.985066.2f,116.346418.2f,28.904909.2f,78.227508.2f,90.835377.2f,67.656870.2f,65.686420.2f,33.639733.2f,97.116675.2f,91.301272.2f,61.472063.2f,57.284437.2f,109.873355.2f,43.357719.2f,97.645943.2f,113.220216.2f,72.861083.2f,108.588329.2f,83.748753.2f,12.885031.2f,26.289162.2f,49.223409.2f
47.200669.2f,41.664553.2f,79.471419.2f,90.158511.2f,47.874985.2f,76.406049.2f,85.798665.2f,69.256412.2f,76.438030.2f,45.912797.2f,50.671803.2f,85.121157.2f,93.741518.2f,56.601934.2f,29.136832.2f,85.422123.2f,49.566136.2f,21.670206.2f,38.974300.2f,60.644174.2f,35.749343.2f,64.009984.2f,54.499196.2f,35.561451.2f,55.487218.2f,73.872170.2f,22.096698.2f,33.631470.2f,57.824977.2f,88.677665.2f,5.957907.2f,48.015854.2f,74.055430.2f,66.559017.2f,40.247223.2f,11.389994.2f,94.134312.2f,75.687785.2f,31.776377.2f,41.753115.2f,82.824752.2f,16.005820.2f,79.393962.2f,90.617761.2f,57.331920.2f,80.933477.2f,52.647301.2f,41.446351.2f,6.832619.2f,25.531244.2f
69.429176.2f,19.850021.2f,93.314802.2f,104.695928.2f,68.019343.2f,83.817810.2f,87.329421.2f,67.674970.2f,81.107934.2f,67.915027.2f,43.893413.2f,84.173782.2f,85.575238.2f,72.708216.2f,47.713962.2f,97.102456.2f,54.316179.2f,43.805397.2f,20.908997.2f,81.033143.2f,57.934223.2f,52.364972.2f,69.691131.2f,57.483297.2f,57.714792.2f,82.604299.2f,3.480498.2f,32.010112.2f,77.513104.2f,102.037505.2f,17.687323.2f,70.124756.2f,75.924591.2f,55.715095.2f,51.227252.2f,29.405596.2f,85.067774.2f,76.503956.2f,48.699076.2f,42.269059.2f,95.418969.2f,37.465579.2f,82.650403.2f,98.172440.2f,57.961673.2f,94.309708.2f,72.162026.2f,20.560957.2f,20.330303.2f,34.817058.2f
33.503285.2f,82.179046.2f,35.078554.2f,43.823180.2f,9.889078.2f,47.063799.2f,67.376722.2f,62.845401.2f,53.514225.2f,26.116946.2f,62.857990.2f,72.361779.2f,94.758508.2f,11.375891.2f,19.670367.2f,44.534417.2f,40.123226.2f,38.378908.2f,73.597772.2f,18.146740.2f,29.620245.2f,79.558511.2f,13.054729.2f,40.078604.2f,47.519512.2f,42.129933.2f,65.008382.2f,49.854381.2f,12.593292.2f,44.272431.2f,50.445826.2f,28.786971.2f,58.324598.2f,79.783836.2f,25.563095.2f,52.595895.2f,97.041341.2f,61.763018.2f,18.383261.2f,47.132586.2f,40.442221.2f,44.496642.2f,58.817606.2f,57.698676.2f,51.705376.2f,37.256884.2f,7.987374.2f,87.542338.2f,55.102978.2f,35.533627.2f
103.215107.2f,58.804849.2f,77.245461.2f,87.590101.2f,85.734018.2f,51.258836.2f,36.502416.2f,18.833912.2f,41.786911.2f,97.388973.2f,22.071140.2f,28.058688.2f,21.096056.2f,73.029707.2f,70.655780.2f,72.535023.2f,37.357944.2f,87.149781.2f,47.742305.2f,95.427002.2f,92.952203.2f,16.849034.2f,68.600296.2f,99.504879.2f,30.336253.2f,54.604934.2f,61.793314.2f,39.226367.2f,89.588393.2f,81.544087.2f,67.376245.2f,100.468309.2f,31.317772.2f,13.139149.2f,52.505461.2f,84.040602.2f,21.689202.2f,28.511244.2f,66.539909.2f,33.801403.2f,74.412581.2f,85.790368.2f,38.492617.2f,60.522808.2f,26.088195.2f,76.304290.2f,85.449527.2f,74.075055.2f,76.939710.2f,52.663763.2f
70.739162.2f,23.147450.2f,81.054667.2f,92.692952.2f,63.263443.2f,68.206841.2f,70.003223.2f,50.110089.2f,64.563316.2f,67.438287.2f,26.487094.2f,66.603203.2f,68.940978.2f,63.023554.2f,42.613894.2f,83.344113.2f,38.548527.2f,47.629176.2f,13.976154.2f,76.092796.2f,59.016892.2f,36.979598.2f,59.361756.2f,61.637530.2f,40.931933.2f,67.605295.2f,14.130942.2f,15.462641.2f,71.619905.2f,89.243464.2f,21.867860.2f,70.121082.2f,58.746429.2f,39.925373.2f,39.122302.2f,38.581768.2f,68.748824.2f,59.140031.2f,41.731631.2f,25.596320.2f,82.258784.2f,43.423042.2f,65.702819.2f,82.384540.2f,40.780498.2f,81.695735.2f,66.267620.2f,33.258671.2f,30.237546.2f,24.345582.2f
26.909757.2f,84.241232.2f,40.274014.2f,48.015282.2f,3.027227.2f,53.904386.2f,74.265494.2f,69.291579.2f,60.415150.2f,19.506695.2f,67.881011.2f,79.156776.2f,101.115770.2f,17.640044.2f,20.322992.2f,50.346098.2f,46.197809.2f,35.104058.2f,76.394309.2f,13.689943.2f,24.344103.2f,84.657482.2f,19.860976.2f,34.775288.2f,53.750765.2f,48.923729.2f,66.289114.2f,53.858559.2f,9.562313.2f,49.224214.2f,50.800836.2f,22.055860.2f,65.122096.2f,85.095990.2f,31.034464.2f,50.684649.2f,103.307417.2f,68.529373.2f,20.764057.2f,52.165377.2f,46.035722.2f,41.860056.2f,65.711431.2f,64.268479.2f,57.887664.2f,42.604195.2f,4.313288.2f,88.445261.2f,54.285670.2f,38.739019.2f
48.701872.2f,79.961162.2f,26.053218.2f,37.066680.2f,25.394094.2f,31.712461.2f,51.950460.2f,49.017203.2f,38.025577.2f,41.379370.2f,53.474214.2f,57.286267.2f,80.995154.2f,7.992741.2f,26.297633.2f,32.736617.2f,28.212404.2f,48.855762.2f,69.835404.2f,31.400586.2f,43.339350.2f,69.574702.2f,3.543337.2f,53.522725.2f,34.721613.2f,26.953179.2f,65.174053.2f,43.977335.2f,25.482187.2f,35.234776.2f,53.405019.2f,44.152105.2f,43.277524.2f,69.194027.2f,17.864830.2f,59.975285.2f,83.536269.2f,46.820646.2f,22.150277.2f,38.388459.2f,29.601306.2f,53.580571.2f,43.370992.2f,43.147663.2f,38.968899.2f,27.497623.2f,22.569006.2f,87.888010.2f,60.234885.2f,33.191809.2f
89.268412.2f,68.910625.2f,54.522491.2f,64.656060.2f,68.909432.2f,28.302113.2f,19.034281.2f,4.173767.2f,19.212276.2f,82.670743.2f,27.677932.2f,16.276539.2f,35.505753.2f,53.237171.2f,57.836476.2f,49.540896.2f,21.745209.2f,78.134259.2f,56.761312.2f,76.875700.2f,80.397107.2f,35.398535.2f,49.002791.2f,88.573574.2f,14.128466.2f,31.633826.2f,65.133929.2f,37.058830.2f,70.950151.2f,58.557353.2f,64.773439.2f,85.726315.2f,9.289601.2f,32.897373.2f,37.396217.2f,79.728983.2f,38.232835.2f,8.199606.2f,53.005696.2f,27.369459.2f,51.456445.2f,78.770220.2f,17.097417.2f,38.592339.2f,11.520376.2f,53.464565.2f,67.492251.2f,82.764419.2f,74.561831.2f,44.379162.2f
