78.186867.2f,39.798889.2f,104.016688.2f,77.210801.2f,49.177312.2f,26.607181.2f,42.818482.2f,86.098762.2f,43.531296.2f,31.626329.2f
62.136405.2f,1.364053.2f,76.791563.2f,44.287413.2f,42.541732.2f,14.782439.2f,5.126642.2f,51.139420.2f,19.850343.2f,23.522623.2f
71.013525.2f,12.315498.2f,80.273914.2f,46.008202.2f,54.854893.2f,23.090143.2f,8.546693.2f,50.372720.2f,31.075414.2f,37.069163.2f
29.258025.2f,74.575545.2f,62.431720.2f,64.307192.2f,30.828907.2f,77.909106.2f,77.699238.2f,73.564428.2f,54.263667.2f,52.133978.2f
79.039995.2f,50.566906.2f,107.743772.2f,83.898132.2f,49.637635.2f,38.638721.2f,53.883204.2f,93.395497.2f,50.091633.2f,36.838763.2f
37.890288.2f,63.504436.2f,72.127936.2f,64.822658.2f,21.903010.2f,63.959338.2f,67.003820.2f,74.996731.2f,45.217077.2f,39.107020.2f
7.402290.2f,70.464067.2f,33.742002.2f,43.653997.2f,35.560477.2f,79.068613.2f,72.552885.2f,50.859277.2f,50.045014.2f,55.230485.2f
69.684774.2f,35.555474.2f,66.385051.2f,33.868624.2f,64.982296.2f,49.691925.2f,32.624627.2f,32.336507.2f,43.038121.2f,54.699223.2f
76.499858.2f,13.529991.2f,88.805735.2f,54.983607.2f,56.872627.2f,16.001667.2f,11.492451.2f,60.086596.2f,34.451926.2f,36.669301.2f
91.576738.2f,52.646737.2f,118.218615.2f,91.486451.2f,62.266658.2f,38.281030.2f,55.314289.2f,100.267061.2f,57.859001.2f,45.861339.2f
42.917231.2f,53.750174.2f,75.842576.2f,62.656593.2f,17.971240.2f,52.608240.2f,57.401578.2f,73.047452.2f,37.522532.2f,28.882344.2f
95.498280.2f,46.161715.2f,118.618876.2f,88.872652.2f,67.251512.2f,31.043025.2f,47.971495.2f,96.618756.2f,56.962890.2f,47.440480.2f
81.958563.2f,28.487887.2f,85.264877.2f,51.055577.2f,69.430320.2f,37.976333.2f,24.707227.2f,52.241504.2f,45.452572.2f,52.986749.2f
37.960150.2f,74.612296.2f,71.875144.2f,70.416667.2f,31.413513.2f,75.915352.2f,77.995463.2f,80.150135.2f,55.381180.2f,50.697353.2f
49.328572.2f,47.188757.2f,80.613280.2f,63.212717.2f,20.930313.2f,44.102369.2f,50.943165.2f,73.538098.2f,33.931179.2f,22.690720.2f
48.550179.2f,23.374882.2f,72.040416.2f,46.171408.2f,22.815451.2f,24.826367.2f,27.044451.2f,55.729340.2f,12.442810.2f,1.567149.2f
51.251497.2f,81.254518.2f,85.236578.2f,82.356594.2f,40.434869.2f,80.193073.2f,84.846092.2f,92.324916.2f,63.623796.2f,56.485864.2f
73.804702.2f,16.364244.2f,91.905895.2f,60.210784.2f,49.646308.2f,2.038966.2f,18.127087.2f,67.287659.2f,31.543732.2f,27.795504.2f
91.217124.2f,34.589220.2f,94.878107.2f,60.711137.2f,77.284774.2f,40.986667.2f,30.932420.2f,61.671456.2f,53.363304.2f,59.473748.2f
69.668060.2f,43.229068.2f,62.172303.2f,32.148935.2f,68.557655.2f,57.724482.2f,40.534918.2f,28.076094.2f,48.103295.2f,60.556600.2f
56.250889.2f,29.447433.2f,82.147788.2f,57.254214.2f,27.780124.2f,24.615108.2f,33.213276.2f,66.824974.2f,23.522825.2f,10.197349.2f
52.981126.2f,48.476463.2f,41.925221.2f,15.336287.2f,58.982080.2f,63.550667.2f,47.154910.2f,7.965929.2f,44.138434.2f,57.694272.2f
12.957436.2f,64.113730.2f,21.822541.2f,30.253447.2f,38.606858.2f,74.978830.2f,65.541165.2f,36.362003.2f,45.454527.2f,54.005790.2f
72.021889.2f,40.704296.2f,99.296500.2f,74.305410.2f,42.704179.2f,29.556562.2f,44.098127.2f,83.659497.2f,40.426190.2f,27.460042.2f
38.143769.2f,39.305424.2f,67.401474.2f,49.031956.2f,8.790681.2f,40.830190.2f,42.814925.2f,59.381145.2f,21.950981.2f,15.204372.2f
66.823441.2f,20.827498.2f,71.036598.2f,36.573082.2f,56.047754.2f,34.684543.2f,17.697842.2f,39.206428.2f,32.432111.2f,42.247395.2f
46.227188.2f,73.092195.2f,80.539294.2f,75.310749.2f,32.540339.2f,72.264334.2f,76.678930.2f,85.416092.2f,55.512019.2f,48.344998.2f
85.758440.2f,22.750974.2f,98.727612.2f,64.865017.2f,64.639227.2f,18.920520.2f,21.260990.2f,69.730636.2f,43.297709.2f,43.469156.2f
42.789835.2f,24.855267.2f,65.765493.2f,40.581287.2f,19.066085.2f,29.447747.2f,28.205893.2f,50.382443.2f,7.959354.2f,6.728432.2f
31.462450.2f,65.973882.2f,11.535729.2f,22.962652.2f,52.498717.2f,79.189658.2f,66.356363.2f,23.543757.2f,51.363734.2f,62.829596.2f
