94.408657.2f,80.041354.2f,50.884399.2f,23.086434.2f,26.216733.2f,89.132154.2f,64.858184.2f,60.587599.2f,43.413379.2f,67.327812.2f,93.080329.2f,42.233806.2f,41.058511.2f,79.333148.2f,45.808679.2f,86.778853.2f,79.774497.2f,105.693218.2f,35.434619.2f,58.799009.2f,92.690593.2f,89.638006.2f,50.291123.2f,28.203810.2f,41.509074.2f,58.683459.2f,87.029683.2f,77.297795.2f,78.497886.2f,9.609731.2f
76.500713.2f,80.846955.2f,26.597186.2f,45.177213.2f,26.199428.2f,86.023563.2f,33.374270.2f,54.988299.2f,14.584776.2f,30.006208.2f,86.838304.2f,0.929904.2f,26.260387.2f,85.426748.2f,6.789981.2f,59.574746.2f,76.891743.2f,80.945702.2f,9.708774.2f,28.463056.2f,84.322194.2f,86.138504.2f,19.297041.2f,56.536739.2f,6.446302.2f,17.837559.2f,58.398257.2f,74.143305.2f,38.392463.2f,38.593158.2f
52.960499.2f,16.704900.2f,57.622284.2f,46.493263.2f,55.887902.2f,27.344909.2f,66.532222.2f,28.649783.2f,91.336637.2f,77.484073.2f,34.112859.2f,78.076840.2f,52.709153.2f,10.294637.2f,75.500789.2f,65.706389.2f,22.259743.2f,71.430632.2f,81.779058.2f,64.255768.2f,36.913522.2f,28.187991.2f,65.747982.2f,44.135434.2f,83.952007.2f,92.987346.2f,68.463850.2f,21.996468.2f,90.166186.2f,60.705785.2f
44.617362.2f,61.329802.2f,15.277300.2f,55.876232.2f,40.022026.2f,62.669006.2f,1.083444.2f,37.571920.2f,48.045343.2f,12.160626.2f,61.133155.2f,33.507646.2f,26.023636.2f,69.258637.2f,27.670502.2f,25.179685.2f,55.235087.2f,46.613604.2f,43.794482.2f,6.882862.2f,57.462600.2f,62.481352.2f,16.350999.2f,66.154759.2f,40.495889.2f,36.980317.2f,23.978210.2f,52.834051.2f,24.002023.2f,58.216948.2f
59.335644.2f,48.175895.2f,24.311893.2f,17.707463.2f,13.761858.2f,55.913740.2f,38.626451.2f,25.665790.2f,49.072931.2f,46.128200.2f,58.976784.2f,36.731102.2f,14.363145.2f,50.426238.2f,35.366271.2f,54.679313.2f,46.356137.2f,71.786926.2f,39.413762.2f,33.442184.2f,58.082560.2f,56.294916.2f,29.487435.2f,27.231698.2f,41.962745.2f,53.240468.2f,55.651040.2f,43.698829.2f,59.441021.2f,25.738114.2f
99.769145.2f,83.114282.2f,57.628477.2f,26.015743.2f,32.764917.2f,92.612671.2f,71.773951.2f,65.200766.2f,49.892626.2f,74.493414.2f,96.949875.2f,49.410303.2f,47.560190.2f,81.536026.2f,53.038715.2f,93.171221.2f,83.423846.2f,111.691462.2f,42.310610.2f,65.723729.2f,96.866665.2f,93.167541.2f,57.363105.2f,28.210302.2f,48.448993.2f,65.683868.2f,93.542000.2f,81.048654.2f,85.724856.2f,14.949079.2f
79.731401.2f,97.496861.2f,42.526912.2f,75.622753.2f,56.230357.2f,99.488461.2f,36.100606.2f,72.406976.2f,34.827612.2f,24.807004.2f,98.009710.2f,31.843671.2f,49.579189.2f,104.619135.2f,29.727763.2f,56.655724.2f,91.765835.2f,76.496710.2f,39.191290.2f,36.372105.2f,94.266173.2f,99.323653.2f,34.818643.2f,87.095905.2f,32.962306.2f,15.920638.2f,53.992923.2f,89.265806.2f,18.740129.2f,70.649968.2f
17.733077.2f,21.419503.2f,53.722580.2f,68.614542.2f,67.317277.2f,13.986591.2f,53.831506.2f,29.354757.2f,94.755159.2f,64.946654.2f,8.909354.2f,79.398706.2f,56.058490.2f,31.764034.2f,74.644120.2f,38.828878.2f,15.122376.2f,36.228614.2f,87.130135.2f,55.172220.2f,4.527373.2f,13.283021.2f,61.839559.2f,71.889448.2f,86.598141.2f,88.706512.2f,42.140357.2f,15.941305.2f,74.415655.2f,80.283428.2f
58.241506.2f,47.019031.2f,24.156329.2f,18.466560.2f,14.879968.2f,54.721044.2f,38.324669.2f,24.468704.2f,49.974239.2f,46.068151.2f,57.773919.2f,37.443110.2f,14.492107.2f,49.364331.2f,35.918499.2f,53.889316.2f,45.162542.2f,70.824945.2f,40.356142.2f,33.246419.2f,56.881990.2f,55.100081.2f,29.632365.2f,27.683062.2f,42.792332.2f,53.798638.2f,54.914835.2f,42.502886.2f,59.411830.2f,26.870736.2f
19.673657.2f,57.877694.2f,55.822202.2f,88.397695.2f,78.750752.2f,51.280704.2f,46.097523.2f,51.419013.2f,93.028537.2f,52.982470.2f,45.188052.2f,78.480032.2f,64.090628.2f,68.407165.2f,72.667378.2f,19.842465.2f,50.726906.2f,2.148902.2f,88.603485.2f,51.050063.2f,40.395839.2f,50.535151.2f,60.615175.2f,95.519392.2f,85.515679.2f,80.147441.2f,21.417724.2f,50.268310.2f,55.956179.2f,95.917178.2f
85.029040.2f,83.474947.2f,34.900560.2f,38.435945.2f,22.577022.2f,90.071369.2f,44.973874.2f,58.638272.2f,15.107193.2f,43.300649.2f,91.915218.2f,14.540807.2f,30.166012.2f,86.455248.2f,19.758115.2f,70.578366.2f,80.605016.2f,91.593928.2f,5.971851.2f,39.402204.2f,90.020054.2f,90.315617.2f,29.738183.2f,49.026631.2f,12.061734.2f,29.327516.2f,69.799687.2f,77.854230.2f,52.194709.2f,28.464748.2f
87.555785.2f,85.338611.2f,37.499937.2f,38.848824.2f,23.987719.2f,92.113807.2f,47.668907.2f,60.709092.2f,15.446805.2f,45.915025.2f,94.083154.2f,17.019446.2f,32.459077.2f,88.076435.2f,22.360270.2f,73.258255.2f,82.621628.2f,94.254782.2f,7.543862.2f,42.092474.2f,92.263226.2f,92.374283.2f,32.427964.2f,49.147521.2f,13.777107.2f,31.036894.2f,72.489741.2f,79.876497.2f,54.618270.2f,28.074095.2f
53.731041.2f,55.314248.2f,6.606151.2f,34.175762.2f,18.590655.2f,60.341342.2f,21.342627.2f,29.362180.2f,39.986059.2f,27.970625.2f,61.342991.2f,24.982998.2f,4.162002.2f,60.506878.2f,21.297369.2f,42.218477.2f,51.204307.2f,62.028074.2f,32.042252.2f,15.673023.2f,59.056062.2f,60.466236.2f,11.771249.2f,44.822736.2f,31.893197.2f,38.439983.2f,42.322004.2f,48.457877.2f,41.275015.2f,36.721425.2f
64.181131.2f,47.335864.2f,33.220302.2f,11.268918.2f,18.521992.2f,56.246694.2f,47.430671.2f,28.680035.2f,54.899232.2f,55.048867.2f,60.260327.2f,43.896039.2f,23.221362.2f,47.699344.2f,43.227978.2f,62.078834.2f,46.887859.2f,78.000621.2f,45.010702.2f,42.334216.2f,60.077691.2f,56.748842.2f,38.289369.2f,18.806654.2f,48.387849.2f,60.984835.2f,63.305820.2f,44.427456.2f,68.352987.2f,23.382703.2f
13.153048.2f,25.814181.2f,45.847330.2f,64.739526.2f,61.317232.2f,21.223171.2f,45.162472.2f,24.807758.2f,87.015995.2f,56.215742.2f,17.477822.2f,71.604110.2f,49.132230.2f,36.309499.2f,66.674595.2f,30.656634.2f,18.543663.2f,31.578361.2f,79.724531.2f,46.726263.2f,13.306538.2f,20.699564.2f,53.761897.2f,69.297145.2f,78.861409.2f,80.283719.2f,33.931437.2f,17.998257.2f,65.643373.2f,75.466807.2f
74.191313.2f,51.506236.2f,45.864972.2f,9.474945.2f,27.623015.2f,61.526375.2f,60.174014.2f,38.201973.2f,62.677851.2f,67.539699.2f,66.563544.2f,53.696169.2f,35.605907.2f,49.203517.2f,53.943753.2f,74.222046.2f,52.791891.2f,89.130939.2f,52.807606.2f,55.007692.2f,67.208461.2f,62.160630.2f,50.457728.2f,6.776137.2f,57.123465.2f,71.286447.2f,75.611926.2f,50.683883.2f,80.767275.2f,23.151962.2f
63.641179.2f,70.043265.2f,14.153889.2f,43.379740.2f,24.279381.2f,74.434348.2f,21.171044.2f,44.049667.2f,27.336118.2f,20.737348.2f,74.799063.2f,11.975469.2f,17.211659.2f,75.530273.2f,6.785864.2f,47.085909.2f,65.550008.2f,68.347917.2f,21.735633.2f,15.819123.2f,72.064838.2f,74.488456.2f,6.425863.2f,54.778544.2f,19.282901.2f,23.389529.2f,46.119023.2f,62.834216.2f,32.172219.2f,40.956945.2f
72.453280.2f,87.872983.2f,32.337137.2f,65.704156.2f,46.360893.2f,90.352979.2f,27.424342.2f,62.512007.2f,30.052629.2f,16.942732.2f,89.261453.2f,23.265977.2f,39.234480.2f,94.715602.2f,20.157315.2f,50.482058.2f,82.355435.2f,71.253682.2f,32.079424.2f,26.772430.2f,85.715500.2f,90.233289.2f,24.493648.2f,77.160422.2f,26.082921.2f,11.919510.2f,48.173893.2f,79.800561.2f,17.006618.2f,61.511969.2f
71.011552.2f,50.847200.2f,40.705209.2f,6.670085.2f,22.716489.2f,60.458387.2f,55.086082.2f,35.121048.2f,58.296262.2f,62.326918.2f,65.075224.2f,48.790134.2f,30.389912.2f,49.624943.2f,48.861119.2f,69.844626.2f,51.408379.2f,85.378422.2f,48.385965.2f,49.857858.2f,65.357834.2f,61.039135.2f,45.222457.2f,10.952939.2f,52.473627.2f,66.303683.2f,71.118042.2f,49.135234.2f,75.542086.2f,20.965486.2f
28.099088.2f,66.086701.2f,58.109944.2f,93.160572.2f,82.051451.2f,59.793251.2f,46.691585.2f,57.752118.2f,92.986952.2f,51.873861.2f,53.781772.2f,79.029884.2f,67.225297.2f,76.607529.2f,73.168176.2f,21.515156.2f,58.864197.2f,10.250072.2f,89.422738.2f,52.179018.2f,48.977081.2f,59.059950.2f,61.843541.2f,100.926938.2f,85.816391.2f,78.763843.2f,21.798911.2f,58.252113.2f,52.772272.2f,99.687455.2f
64.851736.2f,65.455953.2f,15.094527.2f,33.240265.2f,14.096660.2f,71.120717.2f,27.543601.2f,39.800407.2f,29.270955.2f,30.016481.2f,72.431936.2f,15.167638.2f,10.795612.2f,69.778064.2f,13.483124.2f,51.614722.2f,61.828415.2f,72.161308.2f,20.828115.2f,21.510500.2f,70.273401.2f,71.290945.2f,12.666855.2f,44.669279.2f,21.385248.2f,31.325832.2f,51.244021.2f,59.069536.2f,42.124460.2f,31.196743.2f
67.265180.2f,86.518303.2f,33.655143.2f,70.766293.2f,51.794482.2f,87.893114.2f,24.612835.2f,62.083131.2f,39.375453.2f,13.156307.2f,86.094275.2f,31.204411.2f,42.376673.2f,94.147017.2f,27.051741.2f,44.146982.2f,80.502876.2f,64.158538.2f,40.746768.2f,26.088090.2f,82.229615.2f,87.685257.2f,27.250913.2f,82.084863.2f,34.952633.2f,21.217775.2f,41.512630.2f,78.084640.2f,7.673948.2f,68.107418.2f
