74.295714.2f,28.737275.2f,75.339295.2f,74.597679.2f,71.376298.2f,55.167037.2f,64.688599.2f,49.416435.2f,51.785000.2f,56.406602.2f
70.469489.2f,47.245897.2f,50.554922.2f,90.512997.2f,91.526918.2f,50.725354.2f,70.448740.2f,34.732304.2f,62.034533.2f,61.745211.2f
39.273053.2f,98.790381.2f,100.572119.2f,21.748998.2f,38.427734.2f,43.876561.2f,16.556996.2f,65.416622.2f,23.100558.2f,23.855001.2f
32.127278.2f,80.680499.2f,82.257812.2f,33.412726.2f,43.877842.2f,26.687449.2f,10.562733.2f,45.900867.2f,5.482964.2f,6.060834.2f
58.917998.2f,65.660116.2f,98.941225.2f,28.493769.2f,26.209907.2f,49.531191.2f,35.863569.2f,62.653955.2f,21.413229.2f,32.689723.2f
60.941024.2f,42.760602.2f,64.476502.2f,69.727370.2f,69.895513.2f,41.455894.2f,54.074498.2f,35.673943.2f,43.045887.2f,45.442945.2f
71.798523.2f,40.827126.2f,93.280727.2f,53.159828.2f,46.919019.2f,56.418786.2f,54.133183.2f,60.663999.2f,38.863557.2f,47.772406.2f
16.792838.2f,103.419552.2f,52.164239.2f,74.949698.2f,87.864256.2f,21.478832.2f,40.337057.2f,30.481708.2f,49.231573.2f,38.268253.2f
62.227043.2f,80.392559.2f,111.023939.2f,13.946955.2f,12.566205.2f,57.729164.2f,36.796873.2f,74.295397.2f,27.094778.2f,37.438298.2f
19.254741.2f,101.296222.2f,84.185872.2f,41.537638.2f,57.012398.2f,29.246163.2f,11.161659.2f,51.594196.2f,26.549925.2f,17.985681.2f
23.908113.2f,94.491294.2f,84.715494.2f,35.839660.2f,50.348037.2f,28.242532.2f,3.472428.2f,50.336310.2f,18.847518.2f,11.682023.2f
44.536042.2f,58.783482.2f,59.276929.2f,61.661048.2f,65.820643.2f,25.125448.2f,39.875086.2f,24.616465.2f,31.808462.2f,31.140595.2f
12.953021.2f,89.976958.2f,61.889449.2f,56.912146.2f,68.840890.2f,7.483216.2f,22.845678.2f,29.204183.2f,29.834435.2f,19.090263.2f
25.117252.2f,107.036388.2f,46.389796.2f,83.457884.2f,96.166648.2f,28.165702.2f,48.849373.2f,31.315970.2f,57.240242.2f,46.461561.2f
46.947586.2f,88.718238.2f,21.591176.2f,94.303154.2f,102.836236.2f,35.121071.2f,62.425512.2f,16.513456.2f,63.872019.2f,56.214660.2f
57.790027.2f,90.793804.2f,112.564812.2f,3.490572.2f,17.616901.2f,57.051374.2f,32.410405.2f,75.975713.2f,27.678220.2f,35.693193.2f
52.104129.2f,88.809555.2f,106.778690.2f,8.851437.2f,22.339080.2f,51.134667.2f,26.622781.2f,70.248901.2f,22.062954.2f,29.763472.2f
71.625499.2f,57.665360.2f,40.213987.2f,98.822466.2f,101.232646.2f,52.794298.2f,75.628623.2f,33.069625.2f,69.176139.2f,67.151460.2f
74.847607.2f,71.136700.2f,28.680316.2f,109.318899.2f,113.187183.2f,57.864881.2f,83.168629.2f,35.830389.2f,78.871229.2f,75.141370.2f
39.710070.2f,64.891637.2f,71.999558.2f,46.316365.2f,51.577098.2f,24.542878.2f,27.124213.2f,35.492226.2f,16.574204.2f,18.722680.2f
28.544483.2f,74.282265.2f,61.367662.2f,54.331272.2f,62.672502.2f,10.754172.2f,25.957745.2f,24.770075.2f,23.624312.2f,17.800509.2f
73.086601.2f,73.333105.2f,116.408924.2f,25.419809.2f,12.595231.2f,66.074964.2f,48.183146.2f,80.105433.2f,36.172394.2f,47.326653.2f
68.977574.2f,38.878870.2f,61.134933.2f,80.784515.2f,80.367323.2f,49.078555.2f,64.493592.2f,38.328384.2f,54.042859.2f,55.784565.2f
46.079680.2f,64.271664.2f,82.764655.2f,37.600173.2f,41.059809.2f,33.902677.2f,27.447681.2f,46.323754.2f,12.605298.2f,21.029127.2f
76.315699.2f,46.127224.2f,102.635472.2f,48.788497.2f,39.828103.2f,62.646019.2f,56.137896.2f,69.168512.2f,40.770719.2f,50.978918.2f
35.101178.2f,99.788096.2f,33.249899.2f,89.389722.2f,100.323440.2f,30.066485.2f,55.429100.2f,22.860398.2f,60.700935.2f,51.075398.2f
76.210906.2f,53.821362.2f,44.729723.2f,100.832074.2f,102.347911.2f,57.087945.2f,79.025293.2f,38.038738.2f,71.737142.2f,70.439255.2f
74.024065.2f,84.255779.2f,122.736936.2f,18.659968.2f,1.712219.2f,69.898214.2f,48.473477.2f,86.067509.2f,39.266686.2f,49.576371.2f
71.057179.2f,69.226902.2f,29.119346.2f,105.027192.2f,108.995100.2f,53.797933.2f,78.932935.2f,31.920750.2f,74.569695.2f,70.876419.2f
72.506665.2f,32.130428.2f,69.279108.2f,77.867199.2f,75.827019.2f,52.922645.2f,65.120683.2f,44.903881.2f,53.204044.2f,56.590600.2f
4.175807.2f,98.899223.2f,67.309592.2f,56.848389.2f,70.570113.2f,16.751193.2f,22.362294.2f,37.261756.2f,33.610300.2f,22.272859.2f
32.880462.2f,87.042908.2f,88.307876.2f,28.269922.2f,41.091046.2f,31.871195.2f,7.483683.2f,52.386564.2f,10.171696.2f,10.589732.2f
10.072790.2f,105.161899.2f,59.447301.2f,69.520567.2f,83.224067.2f,21.436373.2f,35.066271.2f,35.406070.2f,45.612751.2f,34.336354.2f
75.979398.2f,88.315171.2f,14.510754.2f,118.496241.2f,124.381579.2f,62.159403.2f,89.140890.2f,40.140613.2f,87.620970.2f,81.933972.2f
64.322975.2f,90.214647.2f,117.693965.2f,6.393476.2f,11.272180.2f,62.780073.2f,38.850029.2f,80.987837.2f,32.730460.2f,41.584722.2f
74.010947.2f,79.429083.2f,20.793566.2f,112.780079.2f,117.758057.2f,58.498151.2f,84.845828.2f,36.128355.2f,82.014104.2f,77.213771.2f
51.904908.2f,60.687214.2f,43.503763.2f,79.451375.2f,83.748295.2f,32.419485.2f,54.697815.2f,16.677103.2f,49.101138.2f,46.283336.2f
95.372206.2f,7.769649.2f,90.594686.2f,89.214361.2f,82.420623.2f,76.294039.2f,84.403923.2f,69.205393.2f,70.515606.2f,76.451270.2f
74.943766.2f,34.922270.2f,63.351312.2f,85.663672.2f,84.385519.2f,55.025495.2f,70.388700.2f,43.331270.2f,59.610878.2f,61.696034.2f
60.366061.2f,59.260748.2f,95.636483.2f,35.031844.2f,31.807721.2f,48.930384.2f,38.942269.2f,59.885903.2f,23.703191.2f,34.422047.2f
