32.942479.2f,49.450320.2f,23.301623.2f,9.545805.2f,2.488700.2f,41.521282.2f,45.283306.2f,38.563681.2f,31.325471.2f,40.907406.2f,37.331977.2f,41.582821.2f,35.797264.2f,34.719748.2f,47.848226.2f,52.868298.2f,34.658573.2f,31.551163.2f,34.023761.2f,17.861800.2f,42.981229.2f,29.193461.2f,71.240319.2f,25.823229.2f,41.441517.2f,50.749316.2f,35.379268.2f,43.325318.2f,44.304416.2f,30.057280.2f
8.430117.2f,84.851224.2f,61.948704.2f,50.846566.2f,40.468547.2f,48.491332.2f,47.308790.2f,59.882322.2f,35.357501.2f,43.589016.2f,54.058010.2f,81.593535.2f,73.448774.2f,52.203064.2f,24.259638.2f,94.047571.2f,31.888484.2f,72.833056.2f,74.196997.2f,23.439762.2f,67.741894.2f,57.922015.2f,80.670089.2f,44.379846.2f,34.869216.2f,13.881803.2f,70.304441.2f,50.174885.2f,7.846715.2f,12.038616.2f
40.750063.2f,69.673741.2f,58.117100.2f,57.870139.2f,52.588248.2f,19.376247.2f,14.140951.2f,86.443746.2f,67.514170.2f,14.825058.2f,30.386002.2f,75.815391.2f,64.434159.2f,80.299846.2f,17.837998.2f,91.699808.2f,16.727834.2f,76.082422.2f,82.390424.2f,42.249525.2f,44.987972.2f,79.388311.2f,42.821023.2f,70.712936.2f,9.901868.2f,33.275298.2f,86.651424.2f,19.595837.2f,34.187269.2f,43.508433.2f
36.258333.2f,41.368364.2f,19.470865.2f,17.594182.2f,16.924939.2f,27.965452.2f,32.391516.2f,53.088494.2f,44.135747.2f,28.400856.2f,22.765989.2f,39.196157.2f,29.974963.2f,49.279217.2f,42.183696.2f,53.565681.2f,25.420834.2f,35.529388.2f,41.482905.2f,22.852602.2f,29.415494.2f,43.273515.2f,56.660676.2f,40.222392.2f,31.564533.2f,49.431167.2f,47.231996.2f,29.638138.2f,44.063304.2f,34.818675.2f
58.757590.2f,76.297897.2f,52.806823.2f,39.115999.2f,38.921431.2f,82.368203.2f,85.968097.2f,7.059006.2f,31.956165.2f,81.497452.2f,77.650637.2f,60.052461.2f,62.378668.2f,14.714818.2f,82.627050.2f,60.414785.2f,73.794528.2f,42.532574.2f,34.145685.2f,49.162335.2f,80.239482.2f,11.763210.2f,111.313088.2f,21.599125.2f,80.584167.2f,79.283701.2f,17.993728.2f,84.179082.2f,72.421287.2f,54.661276.2f
70.232574.2f,8.407388.2f,21.964454.2f,38.175723.2f,46.006226.2f,42.038900.2f,47.613995.2f,75.182601.2f,74.842248.2f,46.557199.2f,30.933516.2f,21.431070.2f,12.298806.2f,74.369032.2f,70.297467.2f,36.677668.2f,51.862882.2f,34.654116.2f,44.808910.2f,56.882926.2f,17.874834.2f,63.483007.2f,49.631857.2f,67.287423.2f,55.241165.2f,81.004382.2f,59.197110.2f,42.221618.2f,76.570405.2f,68.934284.2f
69.807427.2f,67.384509.2f,67.692860.2f,74.296507.2f,72.842848.2f,29.375233.2f,26.482919.2f,109.058453.2f,93.872672.2f,31.112594.2f,35.726763.2f,80.137669.2f,68.542162.2f,104.067207.2f,48.079331.2f,96.276168.2f,41.783063.2f,86.744719.2f,95.298237.2f,67.714118.2f,42.655085.2f,100.048594.2f,17.785995.2f,94.464167.2f,36.573636.2f,63.436125.2f,103.880201.2f,27.547227.2f,64.483591.2f,71.997051.2f
56.251287.2f,41.332839.2f,19.580198.2f,14.807624.2f,24.281144.2f,58.081553.2f,63.006345.2f,37.076422.2f,45.163353.2f,59.288469.2f,50.132385.2f,25.903445.2f,27.502547.2f,38.217108.2f,71.116971.2f,31.641632.2f,56.060323.2f,9.591182.2f,10.485027.2f,41.415998.2f,48.323098.2f,25.365821.2f,81.598225.2f,33.993340.2f,62.486390.2f,74.613072.2f,19.939899.2f,59.521107.2f,68.119425.2f,52.981587.2f
55.633562.2f,60.789666.2f,56.354448.2f,61.125523.2f,58.863595.2f,15.634043.2f,12.006626.2f,94.884648.2f,79.330830.2f,16.629350.2f,24.234577.2f,70.969252.2f,59.211221.2f,89.721519.2f,35.689565.2f,87.248436.2f,27.305730.2f,75.393205.2f,83.341163.2f,53.174085.2f,35.085146.2f,86.179773.2f,24.770877.2f,80.096803.2f,22.459118.2f,51.116469.2f,90.794910.2f,14.029289.2f,51.324884.2f,57.664703.2f
20.924760.2f,92.815164.2f,67.190559.2f,52.504538.2f,42.088882.2f,65.698343.2f,65.692953.2f,46.572442.2f,21.717050.2f,61.482989.2f,68.821502.2f,85.310734.2f,79.622383.2f,38.729444.2f,45.474315.2f,94.926089.2f,49.699904.2f,72.776991.2f,71.171596.2f,29.652278.2f,80.527144.2f,48.622016.2f,98.797042.2f,33.933222.2f,54.118193.2f,34.141866.2f,62.768578.2f,67.555575.2f,29.070364.2f,19.524872.2f
41.821701.2f,66.691240.2f,40.881178.2f,25.017345.2f,21.810698.2f,65.120712.2f,68.433881.2f,14.592406.2f,19.541962.2f,63.903433.2f,61.346217.2f,53.257616.2f,52.295626.2f,11.537805.2f,64.770268.2f,58.456838.2f,55.831557.2f,37.075992.2f,32.388068.2f,31.205163.2f,65.888293.2f,8.432819.2f,95.246845.2f,7.055925.2f,62.602811.2f,62.368480.2f,22.095967.2f,66.979590.2f,55.455701.2f,37.765598.2f
