79.652334.2f,60.937276.2f,58.069772.2f,11.167368.2f,48.169375.2f,9.999227.2f,44.940676.2f,51.953650.2f,33.608528.2f,16.317098.2f,79.910422.2f,38.062511.2f,33.169555.2f,61.769025.2f,31.546372.2f,15.720092.2f,18.544382.2f,9.955096.2f,35.159821.2f,2.411465.2f,66.370835.2f,26.151806.2f,64.273949.2f,44.893495.2f,3.521538.2f,36.558658.2f,68.954134.2f,62.584886.2f,44.395193.2f,29.545510.2f,33.242145.2f,89.417972.2f,51.235306.2f,68.468148.2f,63.836936.2f,77.152101.2f,24.898043.2f,25.812717.2f,62.184847.2f,38.140089.2f
61.729611.2f,37.819556.2f,62.319597.2f,32.985567.2f,52.766314.2f,42.350608.2f,33.038978.2f,22.366219.2f,63.415079.2f,36.102421.2f,54.476754.2f,6.874089.2f,41.331920.2f,32.907159.2f,2.532983.2f,23.728229.2f,23.746526.2f,23.894672.2f,10.503550.2f,32.931763.2f,58.101664.2f,22.662781.2f,44.437442.2f,25.340737.2f,31.144260.2f,27.746503.2f,41.814186.2f,34.989221.2f,19.426411.2f,41.894671.2f,1.449608.2f,58.501055.2f,24.479056.2f,40.077345.2f,40.469207.2f,49.329518.2f,8.017201.2f,16.653296.2f,46.778453.2f,45.901865.2f
69.955226.2f,26.692279.2f,73.973290.2f,64.726703.2f,67.486951.2f,77.302093.2f,41.984260.2f,30.817539.2f,98.904971.2f,66.034673.2f,52.702174.2f,33.043837.2f,62.950362.2f,13.162859.2f,37.546185.2f,54.894283.2f,53.461316.2f,59.171100.2f,39.543048.2f,67.883968.2f,58.083862.2f,47.956586.2f,34.645972.2f,46.589189.2f,65.177706.2f,56.217103.2f,19.091782.2f,16.480365.2f,38.970991.2f,75.428409.2f,34.773554.2f,23.556201.2f,21.102884.2f,37.623036.2f,47.985952.2f,21.543296.2f,43.243323.2f,50.382948.2f,42.412986.2f,77.406713.2f
94.759640.2f,40.763628.2f,31.230854.2f,17.782672.2f,21.030333.2f,36.185595.2f,20.703449.2f,56.414124.2f,59.652351.2f,14.308756.2f,88.705815.2f,41.084134.2f,7.163675.2f,47.271248.2f,35.003412.2f,15.734679.2f,13.329616.2f,29.909829.2f,43.145675.2f,30.680990.2f,38.202788.2f,11.615426.2f,41.117802.2f,57.607638.2f,25.005391.2f,54.732920.2f,51.299481.2f,46.421989.2f,53.154749.2f,56.217324.2f,33.358248.2f,74.995653.2f,36.837859.2f,74.060246.2f,74.455538.2f,59.301646.2f,30.013784.2f,40.786874.2f,36.689128.2f,63.997529.2f
79.343791.2f,14.369431.2f,62.320967.2f,58.777040.2f,56.428986.2f,73.409549.2f,31.244597.2f,37.430837.2f,96.246041.2f,59.180578.2f,63.491191.2f,34.318724.2f,53.535456.2f,1.685560.2f,36.770346.2f,49.232979.2f,47.289831.2f,56.285099.2f,41.306529.2f,64.215556.2f,45.769067.2f,40.762533.2f,22.365423.2f,51.581649.2f,60.655993.2f,59.289956.2f,8.721470.2f,4.152767.2f,43.692844.2f,76.139699.2f,33.223616.2f,26.485032.2f,12.523964.2f,47.835713.2f,56.727310.2f,15.099880.2f,41.051029.2f,50.751318.2f,30.090194.2f,79.467574.2f
53.818790.2f,78.906551.2f,89.945347.2f,43.889630.2f,79.786904.2f,33.259180.2f,69.457890.2f,46.125520.2f,37.264456.2f,49.274665.2f,61.652485.2f,41.070613.2f,64.894153.2f,73.888391.2f,38.820885.2f,43.281566.2f,45.993128.2f,28.988911.2f,34.228159.2f,30.981244.2f,93.926766.2f,51.777288.2f,84.887152.2f,30.891326.2f,35.899055.2f,18.653829.2f,83.040744.2f,76.226134.2f,36.401716.2f,5.334936.2f,42.655566.2f,97.195403.2f,65.814475.2f,56.270467.2f,46.178017.2f,90.301659.2f,36.666335.2f,24.700220.2f,85.703576.2f,5.123555.2f
60.967231.2f,50.605196.2f,65.772347.2f,26.244456.2f,55.647437.2f,30.139504.2f,41.412455.2f,30.117035.2f,49.633227.2f,30.875585.2f,58.653161.2f,17.259849.2f,41.848132.2f,47.004636.2f,11.993520.2f,19.951387.2f,21.722197.2f,11.944230.2f,13.305149.2f,21.151491.2f,66.345652.2f,25.233468.2f,56.366193.2f,24.310196.2f,21.352436.2f,19.854996.2f,55.690990.2f,48.883643.2f,22.625673.2f,28.279285.2f,15.262873.2f,72.686640.2f,37.963465.2f,46.624731.2f,42.887253.2f,63.376838.2f,8.137277.2f,5.888558.2f,57.262039.2f,33.441645.2f
17.002440.2f,73.901342.2f,108.546709.2f,74.295116.2f,99.112624.2f,74.303309.2f,77.626931.2f,26.612781.2f,85.387259.2f,78.833511.2f,13.208618.2f,39.804666.2f,87.384593.2f,62.041124.2f,45.276555.2f,67.217304.2f,68.283191.2f,59.005562.2f,37.128892.2f,67.099568.2f,101.419610.2f,68.841404.2f,82.209955.2f,23.794299.2f,68.867099.2f,33.243643.2f,70.903377.2f,65.713290.2f,27.076217.2f,53.350886.2f,47.471580.2f,72.223648.2f,61.026876.2f,16.606280.2f,6.057759.2f,74.730058.2f,50.455559.2f,42.999392.2f,87.557285.2f,48.751286.2f
24.696144.2f,71.494210.2f,110.818679.2f,81.114136.2f,101.929020.2f,83.547520.2f,78.664002.2f,28.145863.2f,96.609373.2f,85.192314.2f,4.960102.2f,43.440197.2f,91.552780.2f,58.560223.2f,49.845975.2f,73.060827.2f,73.651591.2f,66.928056.2f,42.805185.2f,75.622507.2f,100.984932.2f,72.893511.2f,79.918981.2f,32.383048.2f,76.603877.2f,43.652987.2f,66.573119.2f,62.308075.2f,32.747313.2f,64.931594.2f,51.143027.2f,63.831052.2f,59.859842.2f,11.161388.2f,14.198153.2f,69.088842.2f,55.934244.2f,50.996665.2f,86.234749.2f,61.064413.2f
42.953905.2f,49.073639.2f,89.050911.2f,64.149541.2f,80.525942.2f,70.622198.2f,56.544709.2f,10.574158.2f,88.020035.2f,67.463344.2f,27.463156.2f,24.857518.2f,71.283777.2f,36.458767.2f,31.721263.2f,55.087082.2f,55.067737.2f,52.412785.2f,27.253868.2f,61.674573.2f,78.446474.2f,52.920496.2f,57.492687.2f,25.140118.2f,61.234713.2f,37.206385.2f,44.992586.2f,40.191273.2f,19.953250.2f,59.142817.2f,31.812661.2f,47.232665.2f,37.312866.2f,11.455939.2f,20.972675.2f,48.598023.2f,38.468973.2f,38.126274.2f,63.684667.2f,58.403006.2f
33.326571.2f,57.865804.2f,91.893029.2f,59.898340.2f,82.566781.2f,62.778711.2f,60.827502.2f,10.135400.2f,77.559366.2f,64.050284.2f,24.870168.2f,23.257091.2f,71.278816.2f,46.745864.2f,29.170490.2f,52.015549.2f,52.761560.2f,45.768704.2f,21.660054.2f,54.588040.2f,84.704940.2f,52.630405.2f,66.057819.2f,12.567992.2f,55.393665.2f,24.893852.2f,55.981253.2f,50.298889.2f,11.520915.2f,47.068526.2f,31.001835.2f,61.170426.2f,44.646146.2f,13.468596.2f,10.747770.2f,60.727646.2f,34.930522.2f,29.955956.2f,71.056500.2f,45.209399.2f
