53.261190.2f,106.631646.2f,72.153372.2f,65.987477.2f,48.111133.2f,45.417537.2f,74.043397.2f,81.052020.2f,17.926350.2f,63.089906.2f,68.429088.2f,83.098925.2f,25.723982.2f,66.510489.2f,29.484737.2f,85.094835.2f,88.637924.2f,53.890597.2f,26.045907.2f,100.872424.2f,62.587397.2f,69.029120.2f,67.503968.2f,92.757070.2f,38.538869.2f,78.298041.2f,87.390109.2f,77.811505.2f,71.406751.2f,70.572860.2f
53.867039.2f,86.048454.2f,66.780309.2f,30.431511.2f,62.310576.2f,49.537852.2f,92.404905.2f,54.079498.2f,22.592262.2f,41.471576.2f,89.834136.2f,81.766725.2f,14.751246.2f,30.579939.2f,21.136039.2f,49.044111.2f,79.735074.2f,66.027033.2f,55.469751.2f,88.363245.2f,26.419180.2f,71.869632.2f,65.070297.2f,80.904538.2f,37.592919.2f,83.041061.2f,68.207374.2f,42.274603.2f,86.172689.2f,32.701206.2f
59.224639.2f,4.571933.2f,43.884435.2f,57.552938.2f,77.082914.2f,66.125213.2f,90.409610.2f,29.800714.2f,96.956223.2f,43.078207.2f,95.201529.2f,49.272915.2f,92.538407.2f,58.113156.2f,77.095999.2f,50.172881.2f,33.249859.2f,73.796476.2f,97.488928.2f,24.854717.2f,61.074403.2f,57.692294.2f,49.756700.2f,26.397454.2f,67.529314.2f,61.530571.2f,18.025087.2f,51.083990.2f,81.331853.2f,61.935799.2f
40.447761.2f,66.256413.2f,33.189387.2f,89.647094.2f,39.180054.2f,45.679582.2f,27.013228.2f,73.502971.2f,91.834725.2f,64.413067.2f,34.666475.2f,20.249663.2f,93.132796.2f,90.656303.2f,75.008783.2f,97.422031.2f,35.760860.2f,33.334213.2f,64.675429.2f,45.885574.2f,90.345254.2f,22.665056.2f,31.406614.2f,42.496213.2f,57.309940.2f,11.566585.2f,57.675863.2f,92.987536.2f,20.890140.2f,97.418785.2f
37.427020.2f,91.725502.2f,56.317903.2f,57.112080.2f,33.978595.2f,29.613981.2f,62.113606.2f,68.065582.2f,21.597544.2f,49.568527.2f,57.593933.2f,67.389810.2f,26.525030.2f,57.808211.2f,19.169048.2f,75.603800.2f,72.829948.2f,39.477780.2f,18.738221.2f,85.168780.2f,54.292556.2f,53.501931.2f,51.671434.2f,77.059063.2f,23.117689.2f,63.124280.2f,72.543745.2f,68.296776.2f,58.225469.2f,62.937089.2f
57.750256.2f,59.590665.2f,60.069583.2f,6.468352.2f,74.123140.2f,58.462539.2f,101.257265.2f,26.648704.2f,57.356058.2f,28.640836.2f,101.636897.2f,75.049065.2f,50.192236.2f,5.921772.2f,44.440342.2f,12.891624.2f,66.092811.2f,75.133308.2f,79.507557.2f,69.537572.2f,9.990993.2f,71.410511.2f,61.772295.2f,64.049274.2f,49.755923.2f,81.660041.2f,46.351971.2f,6.150725.2f,92.949953.2f,6.321939.2f
11.872894.2f,69.556250.2f,30.976047.2f,52.523550.2f,16.545575.2f,4.006393.2f,46.109897.2f,52.320995.2f,42.779507.2f,34.284726.2f,44.699709.2f,41.867339.2f,43.921383.2f,53.476381.2f,26.216708.2f,67.586508.2f,47.646324.2f,19.365023.2f,28.489721.2f,60.430999.2f,51.363539.2f,28.437344.2f,26.090009.2f,52.395717.2f,9.429541.2f,38.816534.2f,51.025796.2f,60.916867.2f,39.453470.2f,60.043833.2f
56.506515.2f,65.885040.2f,61.434901.2f,4.792381.2f,71.586419.2f,56.106728.2f,99.809047.2f,32.486031.2f,49.868900.2f,29.839040.2f,99.534580.2f,76.773182.2f,42.508357.2f,4.043669.2f,38.535743.2f,20.789339.2f,69.315124.2f,73.214471.2f,74.470151.2f,74.091899.2f,3.796615.2f,71.583170.2f,62.360308.2f,68.027124.2f,46.304097.2f,82.253479.2f,51.225735.2f,14.323127.2f,91.861548.2f,5.250772.2f
10.995671.2f,52.152618.2f,9.430830.2f,57.913193.2f,24.687013.2f,18.761946.2f,41.641901.2f,45.863244.2f,64.202820.2f,33.199141.2f,44.435349.2f,19.557832.2f,63.953992.2f,58.928341.2f,45.289727.2f,67.636112.2f,25.785510.2f,21.035591.2f,48.380371.2f,39.165579.2f,58.369213.2f,9.715075.2f,3.554343.2f,31.496803.2f,27.998467.2f,20.597106.2f,36.150959.2f,62.426625.2f,32.623882.2f,65.750122.2f
31.179750.2f,83.732825.2f,40.977891.2f,83.198596.2f,14.978397.2f,30.075825.2f,15.556367.2f,77.315014.2f,67.994139.2f,61.743424.2f,13.354646.2f,40.089875.2f,71.484954.2f,84.182602.2f,56.041058.2f,96.582977.2f,54.171915.2f,13.274965.2f,34.118534.2f,67.462372.2f,82.398952.2f,27.456444.2f,35.257901.2f,61.020853.2f,40.824284.2f,28.858964.2f,68.753688.2f,90.434133.2f,12.822703.2f,90.899027.2f
36.983703.2f,89.674140.2f,55.542837.2f,53.405945.2f,35.531829.2f,29.413073.2f,64.361102.2f,65.138776.2f,19.170881.2f,46.787607.2f,60.187461.2f,67.270525.2f,23.337122.2f,54.087537.2f,15.420216.2f,71.993200.2f,71.873858.2f,40.793584.2f,22.429880.2f,83.930892.2f,50.531931.2f,53.732772.2f,51.181181.2f,75.814414.2f,21.521913.2f,63.711152.2f,70.444779.2f,64.678460.2f,60.029885.2f,59.145117.2f
63.222253.2f,41.840822.2f,44.805578.2f,92.808026.2f,72.895668.2f,71.045553.2f,69.144281.2f,67.388807.2f,115.337067.2f,69.552569.2f,76.611937.2f,34.042253.2f,113.865688.2f,93.658181.2f,95.383144.2f,92.047299.2f,29.867619.2f,67.310389.2f,98.939502.2f,24.043171.2f,95.216186.2f,48.792469.2f,48.981753.2f,29.584837.2f,79.367791.2f,43.231044.2f,47.221458.2f,90.617378.2f,62.253592.2f,99.296618.2f
50.260728.2f,18.432519.2f,38.622551.2f,42.835813.2f,68.992714.2f,56.229123.2f,86.683103.2f,15.003190.2f,82.947863.2f,29.201670.2f,90.364680.2f,48.372520.2f,78.198130.2f,43.433656.2f,63.462813.2f,37.387267.2f,33.806822.2f,66.635070.2f,86.872950.2f,31.236153.2f,46.282301.2f,53.086523.2f,43.782783.2f,28.620545.2f,55.664889.2f,59.416121.2f,10.956318.2f,37.206141.2f,77.484486.2f,47.592034.2f
5.570978.2f,55.159078.2f,13.797747.2f,54.828606.2f,21.763275.2f,13.478584.2f,42.730086.2f,45.389182.2f,58.746379.2f,30.946114.2f,44.529008.2f,25.015183.2f,58.598652.2f,55.844155.2f,39.963263.2f,65.836726.2f,30.497153.2f,19.266846.2f,43.902455.2f,43.627308.2f,54.967659.2f,13.779969.2f,8.676006.2f,35.752923.2f,22.565844.2f,24.970759.2f,38.085948.2f,60.234259.2f,34.060243.2f,62.691079.2f
42.976592.2f,30.796047.2f,23.887596.2f,71.554947.2f,55.689724.2f,50.952816.2f,60.176800.2f,47.671953.2f,93.765606.2f,47.654218.2f,66.307037.2f,18.561098.2f,91.986057.2f,72.444793.2f,73.627208.2f,72.810677.2f,7.793123.2f,50.716806.2f,80.706927.2f,9.987574.2f,73.730692.2f,31.859368.2f,28.969714.2f,9.122578.2f,58.168223.2f,30.938254.2f,27.908679.2f,70.499544.2f,51.684747.2f,78.372051.2f
36.225111.2f,30.665351.2f,28.561877.2f,34.811840.2f,55.150725.2f,41.543236.2f,75.707660.2f,12.244085.2f,68.586189.2f,14.793161.2f,78.455227.2f,41.701710.2f,64.370375.2f,35.648359.2f,48.708513.2f,36.745418.2f,30.725888.2f,53.451459.2f,71.747331.2f,34.528327.2f,37.400467.2f,42.471060.2f,32.519459.2f,28.536845.2f,40.362752.2f,50.761496.2f,12.394933.2f,33.582760.2f,66.611923.2f,41.333884.2f
42.390786.2f,62.009785.2f,32.373508.2f,89.428936.2f,43.439875.2f,48.334154.2f,32.987096.2f,71.672193.2f,94.848987.2f,64.020257.2f,40.636914.2f,17.829906.2f,95.703617.2f,90.428052.2f,77.323043.2f,96.072630.2f,32.180882.2f,37.522880.2f,69.346520.2f,41.230946.2f,90.392149.2f,24.216862.2f,31.686346.2f,38.587398.2f,59.618646.2f,13.268436.2f,54.828069.2f,92.007633.2f,26.728207.2f,97.108449.2f
32.771702.2f,68.466365.2f,30.170665.2f,84.237763.2f,29.144855.2f,37.000339.2f,20.502366.2f,70.878953.2f,82.507044.2f,59.570832.2f,27.040781.2f,21.536074.2f,84.207047.2f,85.253760.2f,66.423614.2f,93.723647.2f,37.502835.2f,23.373274.2f,54.486022.2f,49.460646.2f,84.541051.2f,16.771762.2f,26.703199.2f,44.573024.2f,48.872492.2f,9.013763.2f,57.196883.2f,88.725611.2f,12.392033.2f,92.087729.2f
