42.272534.2f,2.056946.2f,44.253680.2f,61.542854.2f,75.962230.2f,64.375277.2f,26.590536.2f,46.477542.2f,31.512016.2f,38.679130.2f,33.458072.2f,78.319006.2f,12.762586.2f,27.188907.2f,36.772222.2f,63.105481.2f,35.158330.2f,62.857736.2f,21.742713.2f,72.446067.2f
15.292830.2f,56.003557.2f,91.600035.2f,93.083990.2f,105.068959.2f,103.558456.2f,80.246144.2f,91.356614.2f,85.974510.2f,19.706104.2f,72.576490.2f,117.476323.2f,66.452589.2f,57.609043.2f,42.092401.2f,81.650847.2f,39.142714.2f,17.777003.2f,34.355979.2f,114.954612.2f
45.515357.2f,68.149615.2f,74.199109.2f,56.635947.2f,63.047127.2f,72.016501.2f,78.704976.2f,70.608713.2f,87.413118.2f,63.352493.2f,54.268242.2f,82.824808.2f,77.305611.2f,44.160204.2f,29.511114.2f,37.485217.2f,31.736228.2f,42.753363.2f,62.670221.2f,84.754015.2f
14.161547.2f,44.691884.2f,83.311647.2f,88.789371.2f,101.703580.2f,97.657458.2f,69.737953.2f,83.724883.2f,74.815970.2f,6.729749.2f,65.661813.2f,111.830565.2f,54.750615.2f,51.363294.2f,39.564949.2f,79.991342.2f,36.243735.2f,28.761098.2f,22.209841.2f,108.372656.2f
87.576078.2f,79.071317.2f,49.865760.2f,18.503620.2f,9.272979.2f,29.795330.2f,70.018659.2f,44.286839.2f,77.576760.2f,100.131099.2f,45.242973.2f,32.510240.2f,81.772540.2f,52.495316.2f,60.447240.2f,20.614674.2f,63.684103.2f,94.828892.2f,89.815241.2f,39.134974.2f
99.651021.2f,76.911350.2f,35.248450.2f,23.556015.2f,20.769030.2f,12.140696.2f,58.924396.2f,31.031916.2f,64.017526.2f,107.874273.2f,44.498926.2f,2.847195.2f,75.493666.2f,58.065375.2f,73.466107.2f,42.941996.2f,76.066724.2f,111.858608.2f,94.006552.2f,10.512079.2f
65.712548.2f,61.328782.2f,43.857276.2f,18.590464.2f,25.752418.2f,34.516166.2f,58.205076.2f,38.852335.2f,66.736298.2f,78.604940.2f,30.604139.2f,44.513360.2f,66.029269.2f,33.008153.2f,38.609271.2f,3.542718.2f,41.870292.2f,73.545130.2f,69.216934.2f,47.068086.2f
37.873420.2f,10.972915.2f,41.948607.2f,54.932205.2f,69.242897.2f,59.587066.2f,28.982646.2f,43.132719.2f,35.728350.2f,38.340868.2f,27.468547.2f,73.779500.2f,20.286200.2f,18.658300.2f,28.177026.2f,54.766012.2f,26.877965.2f,57.593208.2f,22.627604.2f,68.790822.2f
47.682065.2f,53.140283.2f,51.385556.2f,35.477959.2f,44.732513.2f,49.987419.2f,58.266147.2f,47.664113.2f,67.115728.2f,62.106056.2f,32.083064.2f,61.841416.2f,60.496809.2f,25.187104.2f,21.417485.2f,19.971971.2f,24.794844.2f,54.512552.2f,55.281867.2f,62.717583.2f
62.360074.2f,31.067822.2f,14.555347.2f,34.534291.2f,48.547751.2f,33.946810.2f,17.790421.2f,15.752303.2f,26.228465.2f,65.739869.2f,10.632872.2f,47.650574.2f,30.181815.2f,22.374067.2f,42.237427.2f,44.045466.2f,43.197523.2f,79.646940.2f,50.130658.2f,41.690035.2f
11.563852.2f,52.862984.2f,80.591615.2f,77.186708.2f,88.244580.2f,89.121101.2f,73.765864.2f,79.368513.2f,80.865157.2f,29.494366.2f,60.193856.2f,102.576170.2f,63.716626.2f,45.122497.2f,26.560295.2f,63.927814.2f,24.378163.2f,12.891946.2f,36.315585.2f,101.141853.2f
37.915668.2f,15.438342.2f,39.857388.2f,50.695722.2f,64.932717.2f,56.109636.2f,29.699611.2f,40.491113.2f,37.188929.2f,40.568353.2f,23.732593.2f,70.354908.2f,23.844770.2f,13.906488.2f,24.786582.2f,50.017714.2f,23.926316.2f,56.808420.2f,25.798285.2f,65.792182.2f
80.142598.2f,52.986116.2f,12.023915.2f,20.934760.2f,31.694157.2f,12.644717.2f,35.188512.2f,6.983982.2f,41.186800.2f,86.091820.2f,22.813171.2f,25.773046.2f,51.308891.2f,37.786218.2f,56.018314.2f,39.030201.2f,57.998687.2f,94.992360.2f,71.264814.2f,20.140419.2f
56.493499.2f,51.747342.2f,40.396720.2f,23.030867.2f,33.775121.2f,37.212381.2f,51.143657.2f,36.136395.2f,59.905385.2f,68.726767.2f,23.461212.2f,49.270368.2f,57.120622.2f,23.120956.2f,29.291918.2f,13.025421.2f,32.436431.2f,65.951053.2f,59.073197.2f,49.940043.2f
56.318428.2f,56.784143.2f,47.401856.2f,27.284529.2f,35.730497.2f,42.517773.2f,57.895981.2f,43.034400.2f,66.696848.2f,70.013925.2f,30.352218.2f,53.633644.2f,62.891498.2f,27.978578.2f,29.499211.2f,11.040012.2f,32.841255.2f,63.565425.2f,61.871478.2f,55.254977.2f
98.579274.2f,74.723046.2f,32.549206.2f,23.697971.2f,22.726797.2f,10.418092.2f,56.230686.2f,28.527751.2f,61.161886.2f,106.354379.2f,42.811801.2f,3.974816.2f,73.017622.2f,56.718972.2f,72.664153.2f,43.638196.2f,75.176791.2f,111.262696.2f,92.235398.2f,7.647678.2f
56.420563.2f,53.950472.2f,43.411373.2f,24.624419.2f,34.349782.2f,39.366795.2f,54.090081.2f,39.090275.2f,62.869075.2f,69.308250.2f,26.458029.2f,50.996539.2f,59.649317.2f,25.176917.2f,29.283938.2f,11.586702.2f,32.535193.2f,64.939438.2f,60.301513.2f,52.115643.2f
25.770758.2f,26.594883.2f,51.030148.2f,54.418882.2f,67.726167.2f,63.200732.2f,43.778460.2f,50.505164.2f,51.350881.2f,33.675568.2f,31.697181.2f,77.325760.2f,36.675699.2f,16.898798.2f,12.598198.2f,48.113992.2f,10.632423.2f,43.177913.2f,23.998810.2f,74.235557.2f
10.772794.2f,48.662255.2f,75.531459.2f,72.489695.2f,83.792347.2f,84.211904.2f,68.989289.2f,74.309449.2f,76.216768.2f,29.093471.2f,55.135366.2f,97.734520.2f,59.480312.2f,40.060095.2f,21.643156.2f,59.797883.2f,19.357715.2f,17.933510.2f,33.515812.2f,96.180185.2f
23.466614.2f,34.053297.2f,55.312250.2f,54.535560.2f,67.057623.2f,64.933848.2f,50.335614.2f,54.125443.2f,58.188803.2f,35.316413.2f,34.963397.2f,78.781379.2f,44.105211.2f,19.850802.2f,6.031101.2f,45.461959.2f,3.270074.2f,38.138600.2f,28.931988.2f,76.568516.2f
67.771686.2f,24.284820.2f,31.676722.2f,59.872331.2f,73.420138.2f,55.981996.2f,8.313092.2f,36.396506.2f,6.021192.2f,63.880905.2f,35.281689.2f,67.942372.2f,14.711636.2f,40.038995.2f,56.903375.2f,69.414478.2f,56.377101.2f,88.014320.2f,46.918299.2f,59.863371.2f
73.322870.2f,80.154632.2f,66.332010.2f,37.946440.2f,37.302213.2f,53.680397.2f,80.281500.2f,61.200638.2f,88.942436.2f,89.249721.2f,52.513601.2f,60.199094.2f,86.307764.2f,51.383640.2f,49.002989.2f,19.197717.2f,52.323189.2f,74.859387.2f,83.439703.2f,65.231693.2f
78.601552.2f,51.471566.2f,11.203778.2f,20.999504.2f,32.313993.2f,13.902778.2f,34.022448.2f,5.869674.2f,40.221298.2f,84.505411.2f,21.253040.2f,27.251537.2f,49.925994.2f,36.252641.2f,54.577672.2f,38.533842.2f,56.527258.2f,93.538236.2f,69.682406.2f,21.726645.2f
50.850854.2f,68.271703.2f,69.421648.2f,49.593522.2f,55.239293.2f,65.274168.2f,76.171276.2f,65.451296.2f,84.992616.2f,68.076781.2f,50.353739.2f,75.541897.2f,76.713082.2f,42.172629.2f,30.909798.2f,29.888329.2f,33.703333.2f,50.230164.2f,65.514639.2f,77.954447.2f
