22.738443.2f,87.449605.2f,30.512196.2f,40.276824.2f,37.871011.2f,44.673883.2f,74.738929.2f,48.247240.2f,45.915298.2f,69.880904.2f
54.463341.2f,98.734060.2f,29.260175.2f,66.017353.2f,36.481748.2f,81.757182.2f,94.166939.2f,41.588979.2f,35.472636.2f,85.067407.2f
16.814368.2f,50.464820.2f,63.117347.2f,9.417704.2f,25.419151.2f,33.910415.2f,38.904208.2f,30.654610.2f,33.718475.2f,32.933696.2f
15.300164.2f,54.035361.2f,67.325547.2f,5.585053.2f,38.067531.2f,20.595132.2f,37.993819.2f,44.036763.2f,46.801658.2f,35.973191.2f
34.497175.2f,92.167585.2f,19.587985.2f,49.935637.2f,33.511418.2f,60.024235.2f,82.696883.2f,43.099072.2f,38.865151.2f,75.813097.2f
47.637653.2f,63.168590.2f,61.580988.2f,47.756278.2f,15.912306.2f,71.930815.2f,63.975361.2f,7.936520.2f,6.856819.2f,53.104815.2f
56.914058.2f,41.207688.2f,85.322574.2f,48.335832.2f,33.737569.2f,73.985292.2f,48.619356.2f,24.439930.2f,29.880147.2f,37.183074.2f
40.474671.2f,80.840487.2f,37.522704.2f,49.431331.2f,18.456985.2f,67.952107.2f,76.218475.2f,24.622771.2f,18.928860.2f,67.027424.2f
39.216596.2f,67.536833.2f,87.017082.2f,33.983698.2f,67.671839.2f,12.079116.2f,47.179929.2f,73.707314.2f,76.520439.2f,52.268942.2f
4.886485.2f,63.815901.2f,51.805927.2f,16.842601.2f,27.203732.2f,31.294474.2f,50.953434.2f,35.785045.2f,36.629474.2f,46.080930.2f
68.453364.2f,88.009594.2f,61.494194.2f,72.555161.2f,37.884622.2f,94.967263.2f,90.422530.2f,34.069090.2f,29.574516.2f,79.404324.2f
59.814791.2f,6.515494.2f,105.542827.2f,42.933991.2f,56.828712.2f,61.345732.2f,16.050295.2f,52.902978.2f,59.049712.2f,11.631165.2f
7.307063.2f,68.384684.2f,46.537415.2f,22.102701.2f,26.259991.2f,34.829561.2f,56.061343.2f,35.704425.2f,35.643568.2f,50.822623.2f
38.102256.2f,97.480381.2f,14.486684.2f,54.268050.2f,39.137653.2f,62.465193.2f,87.529153.2f,48.676535.2f,44.333479.2f,80.942607.2f
52.128855.2f,87.698195.2f,40.950854.2f,60.394732.2f,27.163258.2f,79.585759.2f,85.165378.2f,29.810713.2f,23.595330.2f,75.310531.2f
41.122191.2f,102.753010.2f,11.435127.2f,58.053116.2f,45.566097.2f,63.646157.2f,91.929466.2f,55.251959.2f,51.016583.2f,85.881144.2f
20.311444.2f,49.514970.2f,72.186191.2f,5.327020.2f,40.141475.2f,21.663357.2f,32.966995.2f,45.078025.2f,48.425061.2f,31.549043.2f
47.657157.2f,69.211483.2f,56.146494.2f,50.097015.2f,15.889640.2f,73.219166.2f,69.031110.2f,11.994721.2f,7.005535.2f,58.416221.2f
47.448309.2f,22.315668.2f,89.823107.2f,32.666093.2f,40.164394.2f,55.752451.2f,23.528426.2f,36.242500.2f,42.353633.2f,12.050181.2f
37.773300.2f,81.825351.2f,77.776328.2f,40.357964.2f,69.421984.2f,15.169680.2f,61.996352.2f,77.244558.2f,78.789140.2f,65.264312.2f
5.301026.2f,68.972516.2f,47.273074.2f,21.649607.2f,28.765825.2f,32.616587.2f,55.987897.2f,38.117468.2f,38.163465.2f,51.242095.2f
51.599912.2f,74.576168.2f,54.718836.2f,55.161921.2f,20.501289.2f,77.733611.2f,74.658388.2f,17.623154.2f,12.382946.2f,64.023659.2f
64.424703.2f,129.655763.2f,27.149238.2f,82.126249.2f,74.919362.2f,80.003088.2f,116.694435.2f,84.694544.2f,80.439703.2f,112.126547.2f
12.235293.2f,77.364952.2f,48.594531.2f,27.966734.2f,41.955952.2f,26.492793.2f,61.863242.2f,51.433924.2f,51.293030.2f,59.282984.2f
10.844830.2f,76.606851.2f,47.445646.2f,27.314667.2f,39.940658.2f,27.770176.2f,61.502385.2f,49.475136.2f,49.262010.2f,58.550762.2f
46.603865.2f,112.882328.2f,30.502025.2f,64.058980.2f,63.945858.2f,59.414469.2f,98.416887.2f,74.271415.2f,71.205346.2f,94.970645.2f
22.504120.2f,76.289633.2f,63.774250.2f,29.365975.2f,54.452621.2f,12.983449.2f,58.072361.2f,62.841671.2f,63.882642.2f,58.578916.2f
