27.401855.2f,66.807939.2f,61.724652.2f,60.196955.2f,88.246879.2f,16.653191.2f,45.128521.2f,93.278752.2f,94.622628.2f,79.175995.2f,15.471293.2f,19.307663.2f,104.012103.2f,88.105480.2f,44.673878.2f,36.821463.2f,95.193063.2f,78.644869.2f,62.782113.2f,17.626721.2f,89.876106.2f,97.062913.2f,48.259828.2f,69.785998.2f,20.716767.2f,65.513086.2f,39.031875.2f,86.319474.2f,19.652589.2f,63.816029.2f,49.098210.2f,75.582539.2f,28.307385.2f,76.797009.2f,24.717221.2f,60.672478.2f,60.553097.2f,99.004853.2f,29.963919.2f,83.535843.2f
87.160700.2f,53.141677.2f,73.035393.2f,69.382517.2f,48.379883.2f,104.261574.2f,79.612632.2f,56.072779.2f,33.290858.2f,45.068445.2f,101.871177.2f,86.891748.2f,2.296613.2f,56.838310.2f,88.924161.2f,83.128498.2f,10.962157.2f,71.948276.2f,83.381349.2f,90.031516.2f,63.486279.2f,19.573315.2f,62.862399.2f,59.208706.2f,95.862274.2f,60.159767.2f,88.220284.2f,20.174194.2f,91.202033.2f,62.482811.2f,61.188547.2f,55.590391.2f,100.123943.2f,29.864941.2f,88.544032.2f,64.810788.2f,51.767040.2f,58.519978.2f,86.952125.2f,72.198215.2f
63.390940.2f,66.629994.2f,5.677514.2f,3.323828.2f,28.184351.2f,72.239425.2f,71.381126.2f,91.913312.2f,40.440654.2f,72.285209.2f,69.464641.2f,50.555173.2f,66.146625.2f,88.559835.2f,25.415987.2f,27.020931.2f,58.170065.2f,91.726377.2f,16.189730.2f,56.353649.2f,94.237681.2f,49.958048.2f,54.689900.2f,9.046313.2f,44.167239.2f,71.961336.2f,27.918895.2f,54.781070.2f,43.699007.2f,5.076242.2f,53.171314.2f,14.825214.2f,76.635930.2f,42.304155.2f,62.503797.2f,71.580286.2f,56.903664.2f,97.510241.2f,33.771278.2f,95.399700.2f
31.887160.2f,56.262728.2f,35.618160.2f,33.598779.2f,61.432811.2f,36.256722.2f,46.031612.2f,84.583368.2f,68.701842.2f,66.990702.2f,33.573773.2f,15.967882.2f,82.346751.2f,79.882737.2f,23.006101.2f,11.825233.2f,73.372242.2f,75.760685.2f,38.714978.2f,21.654994.2f,83.557184.2f,72.673913.2f,37.680679.2f,42.857499.2f,11.635846.2f,58.039365.2f,17.139251.2f,65.596224.2f,7.631697.2f,36.896818.2f,37.407212.2f,48.663078.2f,42.764445.2f,54.412312.2f,30.055450.2f,54.879934.2f,47.411355.2f,90.586380.2f,6.846605.2f,80.388093.2f
44.466488.2f,56.476173.2f,19.800625.2f,17.010400.2f,44.718617.2f,52.381303.2f,54.715739.2f,84.082433.2f,53.225380.2f,64.977206.2f,49.612416.2f,30.784071.2f,71.237641.2f,79.960650.2f,17.862324.2f,10.326709.2f,62.399406.2f,79.606045.2f,25.812427.2f,36.616811.2f,84.746209.2f,58.969901.2f,40.724293.2f,25.864438.2f,26.129380.2f,60.279416.2f,15.493725.2f,56.088149.2f,24.397684.2f,19.880255.2f,39.655845.2f,31.734703.2f,57.209714.2f,43.773054.2f,43.311476.2f,58.582585.2f,46.677738.2f,90.002537.2f,15.684467.2f,83.804884.2f
67.741945.2f,75.096025.2f,4.508469.2f,9.039062.2f,34.628035.2f,74.527966.2f,77.505992.2f,100.953399.2f,48.340601.2f,81.334763.2f,71.832190.2f,53.515017.2f,75.460826.2f,97.456403.2f,21.239540.2f,27.037020.2f,67.613577.2f,99.803214.2f,6.789317.2f,59.369697.2f,102.978612.2f,58.765932.2f,61.929337.2f,17.484721.2f,43.487436.2f,80.072668.2f,25.519018.2f,64.378387.2f,44.439889.2f,14.676831.2f,60.553815.2f,22.236171.2f,80.251832.2f,51.904598.2f,66.522771.2f,79.290104.2f,65.271918.2f,106.616442.2f,33.840657.2f,103.639102.2f
50.299310.2f,41.147199.2f,31.339025.2f,26.842924.2f,32.281774.2f,64.365917.2f,52.205921.2f,65.457543.2f,33.695355.2f,45.839529.2f,61.629694.2f,43.617495.2f,46.070342.2f,62.234340.2f,42.141705.2f,35.329609.2f,37.188276.2f,66.782406.2f,41.742035.2f,48.241950.2f,68.091271.2f,35.562510.2f,33.220915.2f,23.070595.2f,48.564725.2f,47.206031.2f,40.691678.2f,31.029080.2f,44.553771.2f,21.763172.2f,31.357008.2f,24.982194.2f,64.541680.2f,18.556470.2f,50.527924.2f,47.850917.2f,31.852846.2f,71.017233.2f,39.227267.2f,70.094834.2f
53.441429.2f,47.716065.2f,24.850545.2f,20.408569.2f,28.315694.2f,66.278190.2f,57.112597.2f,72.167873.2f,32.733381.2f,52.553406.2f,63.492234.2f,44.842530.2f,49.953879.2f,68.952766.2f,37.447118.2f,32.140166.2f,41.300476.2f,73.266477.2f,35.366640.2f,49.925858.2f,74.796747.2f,37.193612.2f,38.589116.2f,16.559571.2f,46.910379.2f,53.613172.2f,36.772168.2f,36.222663.2f,43.675851.2f,15.058848.2f,36.806886.2f,19.162769.2f,67.603945.2f,23.557355.2f,53.355579.2f,53.995377.2f,38.287636.2f,77.713301.2f,36.945068.2f,76.658428.2f
92.122076.2f,61.809148.2f,68.387152.2f,65.239783.2f,40.066118.2f,108.554836.2f,86.670688.2f,67.881577.2f,24.480788.2f,55.283839.2f,106.015077.2f,89.679858.2f,13.789190.2f,68.268517.2f,86.198334.2f,81.957273.2f,17.151288.2f,82.555888.2f,78.239097.2f,93.453481.2f,75.017686.2f,12.895179.2f,68.696266.2f,54.039642.2f,96.170059.2f,69.114474.2f,86.334672.2f,26.767043.2f,92.152590.2f,58.254643.2f,66.873109.2f,49.502759.2f,105.688957.2f,32.099414.2f,93.197264.2f,73.303586.2f,58.777225.2f,70.629788.2f,86.576142.2f,83.197965.2f
31.515663.2f,14.032869.2f,74.969708.2f,70.687533.2f,79.657495.2f,48.128004.2f,15.498230.2f,34.844398.2f,75.515776.2f,25.148322.2f,46.845720.2f,43.147506.2f,64.826469.2f,29.615942.2f,74.140381.2f,62.495742.2f,58.357680.2f,21.951223.2f,83.452165.2f,41.680926.2f,31.271594.2f,69.149712.2f,17.530625.2f,71.054387.2f,62.329122.2f,8.165992.2f,69.235749.2f,48.673295.2f,55.823371.2f,68.129524.2f,18.783383.2f,73.581116.2f,39.095221.2f,47.903529.2f,34.102747.2f,2.556939.2f,18.100884.2f,40.426154.2f,60.412542.2f,26.588560.2f
5.799688.2f,45.793141.2f,68.690096.2f,65.649361.2f,87.259814.2f,13.064455.2f,20.232092.2f,69.887242.2f,89.391501.2f,58.343971.2f,11.824969.2f,19.175193.2f,90.538065.2f,64.648290.2f,58.043855.2f,46.894228.2f,82.359958.2f,53.564440.2f,73.446434.2f,13.760689.2f,65.598829.2f,88.147791.2f,30.101736.2f,71.822101.2f,37.587882.2f,42.750856.2f,52.085358.2f,72.653911.2f,32.189703.2f,66.670854.2f,31.664830.2f,76.630924.2f,8.664240.2f,66.037795.2f,5.691507.2f,37.395529.2f,42.172682.2f,75.350017.2f,41.501000.2f,58.437171.2f
