83.193413.2f,40.910127.2f,37.824691.2f,10.955827.2f,57.357106.2f,73.082344.2f,67.306361.2f,80.568465.2f,80.010010.2f,63.226218.2f
62.311873.2f,79.738554.2f,48.115126.2f,49.693362.2f,65.990537.2f,36.625521.2f,67.324071.2f,64.454257.2f,38.583325.2f,44.321363.2f
80.088727.2f,20.603146.2f,31.600046.2f,30.379327.2f,45.706612.2f,77.764816.2f,57.664262.2f,75.790004.2f,86.276898.2f,62.290529.2f
91.691304.2f,25.621515.2f,43.218637.2f,27.566177.2f,57.432225.2f,87.697234.2f,69.503956.2f,87.549729.2f,95.757824.2f,73.466229.2f
63.642001.2f,87.813276.2f,55.151721.2f,57.358829.2f,71.976344.2f,35.422721.2f,72.148494.2f,66.678285.2f,35.188491.2f,47.328146.2f
26.601729.2f,57.322231.2f,22.312437.2f,68.176140.2f,19.202249.2f,37.323979.2f,15.000326.2f,22.116615.2f,47.380361.2f,14.405845.2f
90.414699.2f,79.868012.2f,61.472927.2f,33.426137.2f,82.546558.2f,67.312915.2f,87.945503.2f,91.161176.2f,69.439806.2f,70.652880.2f
84.435116.2f,37.255831.2f,37.915751.2f,13.571437.2f,56.593092.2f,75.720510.2f,67.077235.2f,81.459298.2f,82.944371.2f,64.766927.2f
47.564948.2f,95.941641.2f,58.434544.2f,76.090374.2f,69.345342.2f,16.854182.2f,65.313349.2f,52.604356.2f,12.272023.2f,37.559170.2f
66.601360.2f,100.471905.2f,66.392670.2f,70.226580.2f,81.548295.2f,36.154680.2f,80.050331.2f,70.893633.2f,32.181834.2f,53.374681.2f
13.253125.2f,82.063700.2f,51.111415.2f,97.056197.2f,39.212386.2f,43.765764.2f,26.442314.2f,8.930813.2f,51.374995.2f,29.423350.2f
100.687047.2f,53.769145.2f,56.343789.2f,9.589654.2f,75.812229.2f,87.589505.2f,85.851719.2f,98.495459.2f,93.369646.2f,80.386561.2f
89.207826.2f,78.120732.2f,59.767457.2f,31.960144.2f,80.864536.2f,66.491721.2f,86.361229.2f,89.849052.2f,68.855177.2f,69.357728.2f
33.425546.2f,93.751642.2f,55.094132.2f,82.174556.2f,61.557530.2f,5.363800.2f,55.253452.2f,39.206556.2f,5.097007.2f,28.032264.2f
55.483635.2f,28.237008.2f,13.061452.2f,51.951915.2f,17.608808.2f,61.631266.2f,29.816120.2f,50.064829.2f,71.405427.2f,41.213307.2f
73.278170.2f,102.683268.2f,70.091431.2f,69.192228.2f,86.300657.2f,42.983390.2f,85.530589.2f,77.367966.2f,39.153401.2f,59.353948.2f
98.697022.2f,82.649744.2f,67.724859.2f,33.572699.2f,88.971351.2f,75.882246.2f,95.052675.2f,99.242712.2f,77.942382.2f,78.777232.2f
53.036566.2f,58.130266.2f,25.663449.2f,40.220855.2f,44.905255.2f,38.208259.2f,48.649054.2f,52.578403.2f,45.202182.2f,32.531280.2f
80.409459.2f,111.099272.2f,78.827061.2f,75.882448.2f,94.964968.2f,49.781975.2f,93.942115.2f,84.875816.2f,44.686872.2f,67.428269.2f
47.369274.2f,36.613678.2f,16.587101.2f,61.592028.2f,6.994877.2f,58.189378.2f,19.544117.2f,41.297972.2f,68.225554.2f,36.065747.2f
100.688947.2f,75.582369.2f,65.239441.2f,25.246892.2f,86.486883.2f,80.301721.2f,93.795919.2f,100.461584.2f,83.472140.2f,80.318575.2f
99.416713.2f,50.097703.2f,54.228816.2f,9.622353.2f,73.276567.2f,87.431331.2f,83.606107.2f,96.969730.2f,93.551356.2f,79.262991.2f
95.318211.2f,14.692841.2f,48.060592.2f,44.728676.2f,56.233523.2f,96.602455.2f,69.067560.2f,90.081160.2f,105.476751.2f,79.291505.2f
29.386284.2f,84.520085.2f,45.843411.2f,75.080710.2f,52.707886.2f,3.915755.2f,47.189938.2f,33.862621.2f,13.856095.2f,19.493047.2f
24.798678.2f,85.019287.2f,46.352819.2f,78.306409.2f,51.213945.2f,6.214915.2f,44.677331.2f,29.665744.2f,15.658920.2f,17.625477.2f
27.943005.2f,60.123786.2f,22.074519.2f,63.523486.2f,26.822970.2f,30.070426.2f,24.307471.2f,25.831673.2f,40.106064.2f,9.169350.2f
53.193439.2f,63.226873.2f,30.376236.2f,42.644828.2f,48.903245.2f,35.455469.2f,51.698040.2f,53.461189.2f,41.680977.2f,33.024262.2f
111.112052.2f,86.731198.2f,77.133869.2f,36.127473.2f,98.401963.2f,89.058521.2f,105.493343.2f,111.280468.2f,91.249423.2f,90.946059.2f
10.896434.2f,78.638241.2f,46.792580.2f,92.480069.2f,35.983827.2f,40.423879.2f,23.482936.2f,4.699812.2f,48.509395.2f,24.911976.2f
88.223235.2f,94.531635.2f,69.698809.2f,51.696585.2f,89.483441.2f,60.866903.2f,92.349843.2f,90.538143.2f,60.265401.2f,70.390189.2f
