0.72,0.45,0.07,0.54,0.68,0.62,0.37,0.10,0.47,0.07
0.66,0.10,0.27,0.26,0.67,0.73,0.47,0.24,0.65,0.26
0.78,0.45,0.11,0.55,0.74,0.69,0.44,0.12,0.54,0.07
0.78,0.36,0.13,0.49,0.75,0.73,0.47,0.12,0.60,0.08
0.26,0.50,0.39,0.42,0.20,0.19,0.06,0.40,0.17,0.43
0.61,0.12,0.22,0.24,0.60,0.66,0.40,0.19,0.58,0.22
0.38,0.34,0.24,0.30,0.35,0.37,0.12,0.24,0.30,0.28
0.79,0.16,0.42,0.33,0.80,0.88,0.63,0.39,0.81,0.40
0.18,0.65,0.57,0.54,0.09,0.08,0.23,0.58,0.22,0.61
0.34,0.25,0.33,0.16,0.35,0.44,0.24,0.32,0.42,0.36
0.74,0.15,0.30,0.33,0.74,0.79,0.54,0.26,0.71,0.27
0.23,0.46,0.65,0.28,0.31,0.51,0.46,0.63,0.59,0.68
0.68,0.10,0.49,0.21,0.71,0.83,0.61,0.45,0.79,0.48
0.36,0.31,0.57,0.13,0.42,0.60,0.47,0.55,0.63,0.59
0.19,0.39,0.51,0.23,0.23,0.40,0.31,0.50,0.45,0.55
0.73,0.50,0.11,0.58,0.68,0.61,0.38,0.14,0.46,0.11
0.63,0.65,0.30,0.66,0.55,0.41,0.27,0.33,0.23,0.34
0.51,0.21,0.16,0.25,0.50,0.53,0.28,0.14,0.45,0.19
0.17,0.46,0.61,0.28,0.24,0.45,0.40,0.60,0.52,0.64
0.35,0.44,0.28,0.39,0.30,0.28,0.02,0.29,0.20,0.33
0.82,0.65,0.26,0.72,0.76,0.64,0.45,0.29,0.47,0.26
0.92,0.29,0.49,0.47,0.93,1.00,0.75,0.46,0.92,0.46
0.53,0.07,0.30,0.13,0.54,0.62,0.39,0.27,0.57,0.31
0.30,0.67,0.52,0.58,0.21,0.03,0.18,0.53,0.10,0.57
0.32,0.78,0.63,0.68,0.23,0.04,0.30,0.64,0.18,0.68
0.19,0.59,0.50,0.48,0.10,0.11,0.17,0.52,0.19,0.55
0.70,0.52,0.13,0.59,0.65,0.56,0.34,0.16,0.41,0.15
0.76,0.15,0.36,0.33,0.77,0.84,0.58,0.32,0.76,0.33
0.68,0.15,0.22,0.30,0.67,0.71,0.46,0.19,0.63,0.21
0.40,0.47,0.26,0.43,0.34,0.28,0.03,0.28,0.18,0.31
0.67,0.24,0.12,0.36,0.65,0.66,0.40,0.08,0.55,0.10
0.39,0.64,0.42,0.58,0.31,0.14,0.13,0.45,0.00,0.47
0.64,0.39,0.00,0.46,0.60,0.55,0.30,0.04,0.42,0.04
0.39,0.20,0.45,0.03,0.43,0.57,0.40,0.43,0.58,0.47
0.85,0.22,0.46,0.39,0.86,0.94,0.69,0.43,0.86,0.43
0.12,0.68,0.64,0.55,0.04,0.15,0.31,0.65,0.30,0.69
0.62,0.43,0.06,0.49,0.58,0.52,0.27,0.09,0.37,0.10
0.41,0.29,0.58,0.12,0.47,0.65,0.51,0.56,0.67,0.60
0.32,0.55,0.39,0.48,0.24,0.16,0.05,0.40,0.10,0.43
0.32,0.29,0.50,0.11,0.36,0.52,0.38,0.48,0.55,0.52
0.68,0.55,0.17,0.60,0.62,0.52,0.31,0.20,0.36,0.19
0.77,0.49,0.12,0.59,0.72,0.66,0.42,0.14,0.51,0.10
0.66,0.04,0.41,0.20,0.68,0.78,0.55,0.37,0.73,0.40
0.45,0.13,0.33,0.08,0.46,0.56,0.35,0.31,0.53,0.35
0.29,0.49,0.71,0.31,0.37,0.58,0.53,0.70,0.66,0.74
0.85,0.28,0.32,0.46,0.85,0.88,0.61,0.29,0.77,0.28
0.71,0.52,0.13,0.59,0.66,0.57,0.35,0.16,0.41,0.14
0.70,0.45,0.06,0.53,0.66,0.59,0.35,0.09,0.45,0.07
0.26,0.72,0.59,0.61,0.17,0.00,0.25,0.60,0.17,0.64
0.81,0.22,0.34,0.40,0.82,0.86,0.60,0.31,0.77,0.31
0.48,0.35,0.67,0.21,0.55,0.74,0.61,0.65,0.77,0.69
0.68,0.54,0.16,0.60,0.62,0.53,0.31,0.19,0.36,0.18
0.20,0.44,0.41,0.33,0.18,0.26,0.14,0.41,0.28,0.46
0.37,0.32,0.25,0.27,0.34,0.38,0.14,0.25,0.32,0.29
0.64,0.03,0.42,0.17,0.66,0.77,0.54,0.38,0.72,0.41
0.83,0.67,0.28,0.74,0.77,0.64,0.46,0.31,0.47,0.29
0.14,0.70,0.64,0.57,0.06,0.14,0.31,0.65,0.29,0.69
0.52,0.28,0.63,0.16,0.58,0.75,0.60,0.60,0.77,0.64
0.71,0.11,0.32,0.29,0.72,0.78,0.53,0.29,0.71,0.30
0.34,0.75,0.58,0.66,0.25,0.03,0.26,0.60,0.13,0.63
0.85,0.23,0.40,0.42,0.86,0.91,0.65,0.36,0.82,0.36
0.25,0.42,0.37,0.32,0.22,0.27,0.11,0.37,0.27,0.41
0.85,0.68,0.29,0.75,0.79,0.67,0.48,0.32,0.50,0.29
0.76,0.56,0.17,0.64,0.71,0.61,0.39,0.20,0.45,0.18
0.62,0.43,0.06,0.49,0.57,0.51,0.26,0.09,0.37,0.10
0.41,0.26,0.55,0.09,0.46,0.63,0.48,0.53,0.65,0.57
0.31,0.79,0.64,0.68,0.22,0.05,0.31,0.66,0.20,0.69
0.23,0.73,0.62,0.61,0.14,0.05,0.28,0.63,0.22,0.67
0.23,0.38,0.54,0.20,0.28,0.46,0.37,0.53,0.51,0.57
0.04,0.54,0.60,0.38,0.10,0.32,0.33,0.60,0.42,0.64
0.54,0.34,0.07,0.38,0.51,0.48,0.22,0.08,0.37,0.12
0.27,0.40,0.61,0.22,0.34,0.54,0.45,0.60,0.60,0.64
0.31,0.42,0.65,0.24,0.39,0.59,0.50,0.64,0.65,0.68
0.56,0.05,0.41,0.09,0.59,0.70,0.48,0.39,0.67,0.42
0.58,0.57,0.23,0.58,0.51,0.40,0.21,0.26,0.23,0.27
0.42,0.52,0.29,0.49,0.35,0.26,0.05,0.31,0.13,0.34
0.37,0.26,0.51,0.08,0.42,0.58,0.43,0.49,0.60,0.53
0.14,0.51,0.65,0.34,0.23,0.44,0.42,0.64,0.53,0.69
0.33,0.42,0.29,0.36,0.29,0.28,0.04,0.30,0.22,0.34
0.75,0.44,0.08,0.54,0.71,0.66,0.41,0.09,0.51,0.05
0.49,0.30,0.13,0.32,0.46,0.46,0.20,0.13,0.37,0.17
0.79,0.23,0.27,0.40,0.78,0.81,0.55,0.24,0.71,0.23
0.35,0.47,0.72,0.29,0.43,0.64,0.57,0.70,0.71,0.75
0.64,0.12,0.23,0.26,0.64,0.69,0.43,0.20,0.61,0.22
0.84,0.26,0.32,0.44,0.83,0.87,0.60,0.29,0.76,0.28
0.71,0.65,0.28,0.69,0.64,0.51,0.34,0.31,0.34,0.30
0.44,0.22,0.22,0.22,0.43,0.48,0.23,0.21,0.42,0.25
0.55,0.47,0.14,0.49,0.49,0.42,0.18,0.17,0.28,0.19
0.33,0.32,0.29,0.25,0.31,0.37,0.15,0.29,0.33,0.33
0.09,0.66,0.63,0.52,0.01,0.18,0.30,0.64,0.32,0.68
0.49,0.14,0.24,0.17,0.49,0.56,0.31,0.22,0.50,0.26
0.73,0.67,0.29,0.71,0.66,0.52,0.36,0.32,0.35,0.31
0.44,0.30,0.18,0.30,0.41,0.42,0.17,0.18,0.34,0.22
0.69,0.33,0.06,0.43,0.67,0.65,0.39,0.03,0.52,0.02
0.23,0.36,0.40,0.24,0.23,0.35,0.20,0.40,0.36,0.44
0.10,0.65,0.61,0.51,0.01,0.16,0.28,0.62,0.30,0.66
0.50,0.59,0.30,0.58,0.43,0.30,0.15,0.33,0.13,0.35
0.71,0.15,0.27,0.32,0.72,0.76,0.51,0.24,0.68,0.25
0.81,0.36,0.17,0.50,0.78,0.77,0.51,0.15,0.64,0.12
0.30,0.49,0.35,0.42,0.24,0.21,0.02,0.37,0.16,0.40
