0.22,0.61,0.35,0.95,0.15,0.77,0.57,0.13,0.15,0.67,0.78,0.31,0.39,0.30,0.81,0.33,0.50,0.40,0.16,0.72,0.66,0.57,0.77,0.36,0.73,0.70,0.86,0.48,0.62,0.18
0.49,0.76,0.35,0.65,0.54,0.81,0.56,0.55,0.63,0.74,0.05,0.62,0.71,0.37,0.71,0.38,0.43,0.71,0.52,0.30,0.47,0.61,0.40,0.33,0.01,0.03,0.80,0.45,0.29,0.56
0.55,0.44,0.47,0.18,0.70,0.42,0.28,0.66,0.64,0.38,0.44,0.52,0.55,0.55,0.28,0.47,0.28,0.54,0.69,0.12,0.13,0.33,0.03,0.60,0.43,0.40,0.36,0.30,0.19,0.59
0.33,0.31,0.28,0.36,0.50,0.36,0.11,0.44,0.42,0.28,0.46,0.29,0.34,0.37,0.29,0.27,0.06,0.33,0.48,0.19,0.07,0.16,0.18,0.43,0.42,0.39,0.37,0.08,0.12,0.37
0.43,0.37,0.36,0.27,0.59,0.39,0.19,0.54,0.52,0.33,0.42,0.40,0.45,0.45,0.28,0.36,0.16,0.43,0.57,0.10,0.05,0.24,0.07,0.50,0.40,0.36,0.36,0.19,0.10,0.47
0.32,0.61,0.18,0.59,0.40,0.68,0.42,0.39,0.46,0.60,0.21,0.45,0.55,0.22,0.60,0.21,0.28,0.54,0.38,0.25,0.36,0.46,0.34,0.22,0.16,0.13,0.69,0.29,0.18,0.39
0.56,0.28,0.53,0.17,0.73,0.22,0.19,0.67,0.61,0.20,0.63,0.46,0.45,0.62,0.07,0.52,0.29,0.43,0.72,0.30,0.14,0.21,0.22,0.68,0.61,0.57,0.15,0.30,0.32,0.58
0.07,0.40,0.20,0.71,0.21,0.54,0.33,0.12,0.05,0.44,0.63,0.09,0.20,0.22,0.57,0.16,0.26,0.21,0.20,0.51,0.42,0.33,0.54,0.31,0.58,0.55,0.63,0.24,0.40,0.02
0.21,0.34,0.34,0.74,0.32,0.50,0.35,0.24,0.10,0.41,0.76,0.08,0.11,0.36,0.56,0.30,0.33,0.12,0.31,0.60,0.47,0.32,0.61,0.45,0.71,0.68,0.60,0.31,0.50,0.14
0.60,0.29,0.57,0.16,0.77,0.20,0.22,0.71,0.65,0.21,0.67,0.49,0.47,0.66,0.04,0.56,0.33,0.46,0.76,0.34,0.18,0.24,0.26,0.73,0.65,0.62,0.11,0.34,0.36,0.62
