0.17,0.73,0.65,0.37,0.59,0.12,0.54,0.35,0.04,0.50,0.38,0.35,0.40,0.22,0.59,0.60,0.50,0.18,0.15,0.38
0.55,0.09,0.61,0.35,0.68,0.49,0.07,0.43,0.69,0.34,0.27,0.35,0.21,0.68,0.44,0.11,0.49,0.53,0.77,0.52
0.23,0.54,0.64,0.28,0.62,0.06,0.33,0.16,0.23,0.28,0.16,0.25,0.20,0.24,0.53,0.38,0.32,0.09,0.31,0.38
0.42,0.56,0.02,0.29,0.12,0.56,0.53,0.75,0.69,0.78,0.60,0.32,0.50,0.83,0.09,0.66,0.89,0.69,0.79,0.21
0.38,0.22,0.45,0.16,0.50,0.36,0.11,0.40,0.56,0.38,0.23,0.17,0.12,0.60,0.29,0.23,0.52,0.44,0.65,0.33
0.47,0.14,0.55,0.27,0.61,0.42,0.02,0.39,0.61,0.33,0.22,0.27,0.14,0.63,0.38,0.14,0.48,0.47,0.70,0.44
0.57,0.76,1.00,0.64,0.98,0.39,0.57,0.20,0.41,0.30,0.38,0.61,0.48,0.22,0.88,0.53,0.16,0.25,0.39,0.75
0.33,0.41,0.64,0.27,0.65,0.20,0.20,0.14,0.38,0.18,0.01,0.25,0.09,0.36,0.50,0.23,0.28,0.20,0.45,0.42
0.05,0.71,0.50,0.29,0.42,0.19,0.54,0.46,0.21,0.58,0.43,0.27,0.41,0.39,0.46,0.63,0.62,0.32,0.31,0.23
0.34,0.28,0.50,0.16,0.53,0.28,0.10,0.31,0.48,0.30,0.14,0.15,0.03,0.51,0.35,0.21,0.43,0.35,0.57,0.33
0.45,0.35,0.71,0.35,0.73,0.31,0.16,0.17,0.49,0.10,0.05,0.33,0.13,0.44,0.56,0.13,0.24,0.30,0.55,0.51
0.36,0.65,0.79,0.44,0.77,0.18,0.45,0.12,0.23,0.28,0.25,0.41,0.33,0.12,0.68,0.45,0.24,0.04,0.25,0.53
0.18,0.79,0.66,0.41,0.59,0.19,0.61,0.43,0.07,0.57,0.46,0.39,0.47,0.26,0.61,0.67,0.57,0.25,0.15,0.39
